System,Content_solvent_percent,Refractive_index_nD
PG/IPA (5:3),0,1.33260
PG/IPA (5:3),1,1.33356
PG/IPA (5:3),2,1.33458
PG/IPA (5:3),3,1.33560
PG/IPA (5:3),4,1.33663
PG/IPA (5:3),5,1.33765
PG/IPA (5:3),6,1.33868
PG/IPA (5:3),7,1.33971
PG/IPA (5:3),8,1.34073
PG/IPA (5:3),9,1.34176
PG/IPA (5:3),10,1.34278
PG/IPA (5:3),12.5,1.34532
PG/IPA (5:3),15,1.34785
PG/IPA (5:3),20,1.35284
PG/IPA (5:3),25,1.35771
PG/IPA (5:3),30,1.36245
PG/IPA (5:3),35,1.36701
PG/IPA (5:3),40,1.37137
PG/IPA (5:3),45,1.37552
PG/IPA (5:3),50,1.37945
PG/IPA (5:3),60,1.38665
PG/IPA (5:3),70,1.39302
PG/IPA (5:3),80,1.39862
PG/IPA (5:3),90,1.40321
PG/IPA (5:3),100,1.40706
PG/IPA (5:2),0,1.33260
PG/IPA (5:2),1,1.33355
PG/IPA (5:2),2,1.33458
PG/IPA (5:2),3,1.33561
PG/IPA (5:2),4,1.33665
PG/IPA (5:2),5,1.33768
PG/IPA (5:2),6,1.33872
PG/IPA (5:2),7,1.33976
PG/IPA (5:2),8,1.34080
PG/IPA (5:2),9,1.34184
PG/IPA (5:2),10,1.34288
PG/IPA (5:2),12.5,1.34548
PG/IPA (5:2),15,1.34806
PG/IPA (5:2),20,1.35320
PG/IPA (5:2),25,1.35827
PG/IPA (5:2),30,1.36323
PG/IPA (5:2),35,1.36804
PG/IPA (5:2),40,1.37267
PG/IPA (5:2),45,1.37711
PG/IPA (5:2),50,1.38136
PG/IPA (5:2),60,1.38922
PG/IPA (5:2),70,1.39626
PG/IPA (5:2),80,1.40252
PG/IPA (5:2),90,1.40779
PG/IPA (5:2),100,1.41241
IPA (100),0,1.33260
IPA (100),1,1.33359
IPA (100),2,1.33457
IPA (100),3,1.33554
IPA (100),4,1.33651
IPA (100),5,1.33746
IPA (100),6,1.33841
IPA (100),7,1.33935
IPA (100),8,1.34027
IPA (100),9,1.34119
IPA (100),10,1.34209
IPA (100),12.5,1.34429
IPA (100),15,1.34640
IPA (100),20,1.35034
IPA (100),25,1.35395
IPA (100),30,1.35725
IPA (100),35,1.36025
IPA (100),40,1.36292
IPA (100),45,1.36524
IPA (100),50,1.36730
IPA (100),60,1.37062
IPA (100),70,1.37316
IPA (100),80,1.37519
IPA (100),90,1.37624
IPA (100),100,1.37610
