SeqNo,Date,UTC Time,Nr,ProbeNr,m_SL120,m_Wasser,m_IPA,m_PG,m_MG,m_vorher,m_nachher,Pumpe_pct,Rho_M,Rho_S,Rho_Sp,C_M,C_S,C_Sp,T_M,T_S,Per_M,Per_S,RunT_M,RunT_S,N,Stabil,SensOK,Gueltig
          1,2012-01-23,00:14:28.362,          1,          0,   0.000000E+0,   1.000000E+2,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   1.000000E+2,   9.970609E+2,   1.130288E-3,   5.249023E-3,   1.495739E+3,   1.202353E-2,   4.479980E-2,   2.464088E+1,   4.382846E-3,   1.496219E+3,   6.385954E-4,   7.021508E+0,   3.291966E-5,   100,1,1,1
          2,2012-01-23,00:14:58.458,          2,          0,   0.000000E+0,   1.000000E+2,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   1.000000E+2,   9.970598E+2,   1.170192E-3,   4.638672E-3,   1.495749E+3,   1.044954E-2,   4.321289E-2,   2.464495E+1,   3.775247E-3,   1.496220E+3,   5.380613E-4,   7.021479E+0,   2.872056E-5,   100,1,1,1
          3,2012-01-23,00:15:06.871,          3,          0,   0.000000E+0,   1.000000E+2,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   1.000000E+2,   9.970596E+2,   1.176809E-3,   4.638672E-3,   1.495752E+3,   1.034916E-2,   4.284668E-2,   2.464603E+1,   3.716595E-3,   1.496220E+3,   5.300458E-4,   7.021470E+0,   2.840971E-5,   100,1,1,1
          4,2026-08-20,09:18:06.037,          1,          0,   1.003600E+2,   1.006870E+3,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   1.000000E+2,   1.004935E+3,   6.024943E-4,   3.051758E-3,   1.543003E+3,   9.023429E-3,   4.394531E-2,   2.370149E+1,   3.078766E-3,   1.497912E+3,   8.050053E-4,   6.891023E+0,   2.394567E-5,   100,1,1,1
          5,2026-08-20,09:24:02.749,          2,          0,   1.003600E+2,   1.006870E+3,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   1.000000E+2,   1.004939E+3,   7.044451E-4,   2.929688E-3,   1.542997E+3,   7.206327E-3,   4.016113E-2,   2.373992E+1,   4.290980E-3,   1.497922E+3,   9.035594E-4,   6.891049E+0,   1.927731E-5,   100,1,1,1
          6,2026-08-20,09:26:07.117,          3,          0,   1.003600E+2,   1.006870E+3,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   1.000000E+2,   1.004940E+3,   7.123410E-4,   3.051758E-3,   1.542991E+3,   7.771788E-3,   3.881836E-2,   2.375398E+1,   3.282262E-3,   1.497925E+3,   8.760545E-4,   6.891068E+0,   2.086574E-5,   100,1,1,1
          7,2026-08-20,11:32:24.579,          1,          1,   1.003600E+2,   1.006870E+3,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   1.000000E+2,   1.005290E+3,   1.352826E-3,   4.943848E-3,   1.541424E+3,   1.041913E-2,   4.553223E-2,   2.372909E+1,   1.413905E-3,   1.498006E+3,   4.556416E-4,   6.895253E+0,   2.809287E-5,   100,1,1,1
          8,2026-08-20,11:42:02.944,          2,          1,   1.003600E+2,   1.006870E+3,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   1.000000E+2,   1.005355E+3,   4.100476E-3,   1.470947E-2,   1.541047E+3,   2.449650E-2,   9.643555E-2,   2.361622E+1,   8.507211E-3,   1.497996E+3,   8.300083E-4,   6.896232E+0,   6.335228E-5,   100,0,1,0
          9,2026-08-20,11:52:10.626,          3,          1,   1.003600E+2,   1.006870E+3,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   1.000000E+2,   1.005407E+3,   4.100963E-3,   1.440430E-2,   1.540782E+3,   2.505425E-2,   9.265137E-2,   2.354464E+1,   8.219684E-3,   1.497994E+3,   8.296818E-4,   6.896921E+0,   6.495976E-5,   100,0,1,0
         10,2026-08-20,11:52:25.555,          4,          1,   1.003600E+2,   1.006870E+3,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   1.000000E+2,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,     0,0,1,0
         11,2026-08-20,11:54:25.557,          5,          1,   1.003600E+2,   1.006870E+3,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   1.000000E+2,   1.005423E+3,   3.187256E-3,   1.092529E-2,   1.540691E+3,   1.515166E-2,   6.555176E-2,   2.351149E+1,   5.927483E-3,   1.497991E+3,   3.783404E-4,   6.897154E+0,   3.918599E-5,   100,0,1,0
         12,2026-08-20,11:56:25.559,          6,          1,   1.003600E+2,   1.006870E+3,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   1.000000E+2,   1.005436E+3,   3.810688E-3,   1.293945E-2,   1.540620E+3,   2.488237E-2,   1.016846E-1,   2.348755E+1,   8.073735E-3,   1.497989E+3,   1.009231E-3,   6.897338E+0,   6.460313E-5,   100,0,1,0
         13,2026-08-20,12:06:08.289,          7,          1,   1.003600E+2,   1.006870E+3,   4.015000E+1,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   1.000000E+2,   9.990446E+2,   3.992499E-2,   1.965332E-1,   1.572356E+3,   1.521285E-1,   6.082764E-1,   2.434576E+1,   2.937690E-2,   1.496648E+3,   1.245824E-2,   6.814262E+0,   3.936504E-4,   100,0,1,0
         14,2026-08-20,12:08:08.291,          8,          1,   1.003600E+2,   1.006870E+3,   4.015000E+1,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   1.000000E+2,   9.990505E+2,   4.014613E-2,   1.531982E-1,   1.571906E+3,   1.086098E-1,   4.274902E-1,   2.434135E+1,   1.313539E-2,   1.496635E+3,   9.172156E-3,   6.815417E+0,   2.764152E-4,   100,0,1,0
         15,2026-08-20,12:10:08.293,          9,          1,   1.003600E+2,   1.006870E+3,   4.015000E+1,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   1.000000E+2,   9.990530E+2,   8.086706E-2,   3.322754E-1,   1.571665E+3,   1.730756E-1,   1.010498E+0,   2.429788E+1,   8.551191E-3,   1.496625E+3,   1.765049E-2,   6.816027E+0,   4.439820E-4,   100,0,1,0
         16,2026-08-20,12:12:08.294,         10,          1,   1.003600E+2,   1.006870E+3,   4.015000E+1,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   1.000000E+2,   9.992921E+2,   6.010251E-2,   2.545776E-1,   1.571253E+3,   8.578891E-2,   3.741455E-1,   2.424398E+1,   1.634290E-2,   1.496669E+3,   1.277461E-2,   6.817075E+0,   2.167475E-4,   100,0,1,0
         17,2026-08-20,12:14:08.296,         11,          1,   1.003600E+2,   1.006870E+3,   4.015000E+1,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   1.000000E+2,   9.994417E+2,   4.398330E-2,   2.298584E-1,   1.570984E+3,   6.117566E-2,   2.178955E-1,   2.416846E+1,   1.834950E-2,   1.496688E+3,   1.092934E-2,   6.817746E+0,   1.529526E-4,   100,0,1,0
         18,2026-08-20,12:16:08.298,         12,          1,   1.003600E+2,   1.006870E+3,   4.015000E+1,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   1.000000E+2,   9.994970E+2,   7.472640E-2,   3.393555E-1,   1.570849E+3,   3.224536E-2,   1.621094E-1,   2.410360E+1,   1.423024E-2,   1.496687E+3,   1.634002E-2,   6.818077E+0,   7.983372E-5,   100,0,1,0
         19,2026-08-20,12:18:08.300,         13,          1,   1.003600E+2,   1.006870E+3,   4.015000E+1,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   1.000000E+2,   9.995633E+2,   1.306258E-2,   4.284668E-2,   1.570704E+3,   4.945930E-2,   2.075195E-1,   2.403886E+1,   2.076840E-2,   1.496689E+3,   2.124380E-3,   6.818432E+0,   1.221448E-4,   100,0,1,0
         20,2026-08-20,12:20:08.302,         14,          1,   1.003600E+2,   1.006870E+3,   4.015000E+1,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   1.000000E+2,   9.996129E+2,   9.706391E-3,   3.479004E-2,   1.570538E+3,   3.119711E-2,   1.301270E-1,   2.394936E+1,   1.781276E-2,   1.496681E+3,   9.501228E-4,   6.818836E+0,   7.606436E-5,   100,0,1,0
         21,2026-08-20,12:22:08.304,         15,          1,   1.003600E+2,   1.006870E+3,   4.015000E+1,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   1.000000E+2,   9.996426E+2,   7.244701E-3,   2.783203E-2,   1.570443E+3,   2.649933E-2,   9.753418E-2,   2.389672E+1,   1.020618E-2,   1.496679E+3,   7.543010E-4,   6.819066E+0,   6.589015E-5,   100,0,1,0
         22,2026-08-20,12:24:08.306,         16,          1,   1.003600E+2,   1.006870E+3,   4.015000E+1,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   1.000000E+2,   9.996674E+2,   7.222514E-3,   2.850342E-2,   1.570347E+3,   3.095584E-2,   1.275635E-1,   2.385612E+1,   1.159485E-2,   1.496677E+3,   1.201592E-3,   6.819304E+0,   7.697795E-5,   100,0,1,0
         23,2026-08-20,12:26:08.308,         17,          1,   1.003600E+2,   1.006870E+3,   4.015000E+1,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   1.000000E+2,   9.996983E+2,   7.676615E-3,   3.082275E-2,   1.570217E+3,   3.773323E-2,   1.420898E-1,   2.380157E+1,   1.671878E-2,   1.496672E+3,   2.357753E-3,   6.819623E+0,   9.304310E-5,   100,0,1,0
         24,2026-08-20,12:28:08.310,         18,          1,   1.003600E+2,   1.006870E+3,   4.015000E+1,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   1.000000E+2,   9.997319E+2,   9.771835E-3,   3.417969E-2,   1.570082E+3,   2.867530E-2,   1.235352E-1,   2.373520E+1,   1.390105E-2,   1.496666E+3,   6.920407E-4,   6.819954E+0,   7.056820E-5,   100,0,1,0
         25,2026-08-20,12:30:08.312,         19,          1,   1.003600E+2,   1.006870E+3,   4.015000E+1,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   1.000000E+2,   9.997532E+2,   6.247028E-3,   2.679443E-2,   1.570002E+3,   2.168832E-2,   9.948730E-2,   2.369327E+1,   7.533138E-3,   1.496664E+3,   6.807474E-4,   6.820149E+0,   5.427905E-5,   100,0,1,0
         26,2026-08-20,12:32:08.314,         20,          1,   1.003600E+2,   1.006870E+3,   4.015000E+1,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   1.000000E+2,   9.997723E+2,   4.955480E-3,   1.947021E-2,   1.569930E+3,   2.063340E-2,   9.436035E-2,   2.366834E+1,   7.561989E-3,   1.496664E+3,   1.018140E-3,   6.820327E+0,   5.149590E-5,   100,0,1,0
         27,2026-08-20,12:34:08.316,         21,          1,   1.003600E+2,   1.006870E+3,   4.015000E+1,   0.000000E+0,   0.000000E+0,   0.000000E+0,   0.000000E+0,   1.000000E+2,   9.997943E+2,   6.920050E-3,   2.514648E-2,   1.569840E+3,   2.849143E-2,   1.147461E-1,   2.363219E+1,   1.081243E-2,   1.496662E+3,   9.888647E-4,   6.820550E+0,   7.086881E-5,   100,0,1,0
//END
