SeqNo,Date,UTC Time,Nr,ProbeNr,m_SL120,m_Wasser,m_IPA,m_PG,m_MG,m_vorher,m_nachher,Pumpe_pct,Rho_M,Rho_S,Rho_Sp,C_M,C_S,C_Sp,T_M,T_S,Per_M,Per_S,RunT_M,RunT_S,N,Stabil,SensOK,Gueltig,Source_File,Source_Path,Source_Row,Measurement_Time_UTC,Experiment_Key,Phase,Experiment_Elapsed_h,Phase_Elapsed_h,m_Al_nom_g,m_IPA_nom_g,m_PG_nom_g,m_Water_nom_g,m_MG_nom_g,m_Total_nom_g,Selection_Method,IPA_Evaporation_Rate_g_h,IPA_Loss_g,m_IPA_eff_g,m_Total_eff_g,Al_wt_pct_eff,IPA_wt_pct_eff,PG_wt_pct_eff,MG_wt_pct_eff,Water_wt_pct_eff,Composition_Sum_wt_pct,Rho_Physics_kg_m3,C_Physics_m_s,Simulation_Status,A_Rho_kg_m3,A_C_m_s,A_Rho_Field_kg_m3,A_C_Field_m_s,Calibration_Distance,Calibration_Extrapolation,Calibration_Outside_Axes,Calibration_MG_Axis_Used,Rho_Hybrid_kg_m3,C_Hybrid_m_s,Selected_For_Evaluation,Training_Overlap
917,2026-09-09,08:32:55.948,23,11,91.0,910.03,0.0,0.0,0.0,0.0,0.0,100.0,1005.778,0.002336849,0.008117676,1540.126,0.01262357,0.05664062,22.629,0.003450384,1497.897,0.0002904585,6.898429,3.310932e-05,100,1,1,1,Kennfeld_v2 (21)_korrigiert.csv,C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (21)_korrigiert.csv,918,2026-09-09 08:32:55.948000+00:00,C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (21)_korrigiert.csv|Probe=11,1,0.0,0.0,18.2,36.4,36.4,910.03,0.0,1001.03,quality flags,0.809937025291373,0.0,36.4,1001.03,1.8181273288512831,3.6362546577025663,3.6362546577025663,0.0,90.9093633557436,100.00000000000001,1005.7369835481107,1539.7138862692002,ok,0.04101645188927705,0.4121137307997742,-0.1729250529108751,1.060269743225585,0.0013960837223007025,False,,True,1005.5640584951999,1540.7741560124257,True,False
918,2026-09-09,08:34:55.950,24,11,91.0,910.03,0.0,0.0,0.0,0.0,0.0,100.0,1005.788,0.003000061,0.01171875,1540.068,0.0145227,0.08532715,22.61056,0.005564599,1497.895,0.0005274197,6.898581,3.770565e-05,100,0,1,0,Kennfeld_v2 (21)_korrigiert.csv,C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (21)_korrigiert.csv,919,2026-09-09 08:34:55.950000+00:00,C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (21)_korrigiert.csv|Probe=11,1,0.033333888888888885,0.033333888888888885,18.2,36.4,36.4,910.03,0.0,1001.03,not selected,0.809937025291373,0.026998350808059814,36.37300164919194,1001.0030016491919,1.8181763661062738,3.6336556023574342,3.6363527322125475,0.0,90.91181529932375,100.0,1005.7474100108072,1539.6575320269435,ok,0.04058998919276746,0.41046797305648397,-0.1684644660054183,1.4998678312456872,0.0005433081339332794,False,,True,1005.5789455448019,1541.1573998581891,False,False
919,2026-09-09,08:36:55.952,25,11,91.0,910.03,0.0,0.0,0.0,0.0,0.0,100.0,1005.798,0.002113516,0.007141113,1540.02,0.01383427,0.05639648,22.59217,0.004035047,1497.894,0.0003332413,6.898703,3.632207e-05,100,1,1,1,Kennfeld_v2 (21)_korrigiert.csv,C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (21)_korrigiert.csv,920,2026-09-09 08:36:55.952000+00:00,C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (21)_korrigiert.csv|Probe=11,1,0.06666777777777777,0.06666777777777777,18.2,36.4,36.4,910.03,0.0,1001.03,quality flags,0.809937025291373,0.05399670161611963,36.34600329838388,1000.9760032983838,1.8182254060065324,3.6310564068087245,3.6364508120130647,0.0,90.91426737517169,100.00000000000001,1005.7578207787014,1539.6012346557181,ok,0.04017922129855833,0.4187653442818373,-0.16411675646313564,1.6994911698509172,0.0003164780029107749,False,,True,1005.5937040222383,1541.300725825569,True,False
920,2026-09-09,08:38:55.955,26,11,91.0,910.03,0.0,0.0,0.0,0.0,0.0,100.0,1005.806,0.002107493,0.008605957,1539.98,0.01296224,0.06274414,22.57681,0.003722038,1497.893,0.0002439278,6.898806,3.393428e-05,100,1,1,1,Kennfeld_v2 (21)_korrigiert.csv,C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (21)_korrigiert.csv,921,2026-09-09 08:38:55.955000+00:00,C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (21)_korrigiert.csv|Probe=11,1,0.10000194444444445,0.10000194444444445,18.2,36.4,36.4,910.03,0.0,1001.03,quality flags,0.809937025291373,0.08099527740668648,36.31900472259331,1000.9490047225933,1.8182744489609655,3.6284570493837394,3.636548897921931,0.0,90.91671960373337,100.0,1005.7672826518158,1539.5504853202085,ok,0.038717348184263756,0.4295146797915095,-0.15680600946808734,0.8529372760712071,0.0011680009722731329,False,,True,1005.6104766423476,1540.4034225962798,True,False
921,2026-09-09,08:40:55.957,27,11,91.0,910.03,0.0,0.0,0.0,0.0,0.0,100.0,1005.816,0.002448683,0.008666992,1539.929,0.01396912,0.06005859,22.55807,0.004832083,1497.891,0.0003580561,6.898938,3.637055e-05,100,1,1,1,Kennfeld_v2 (21)_korrigiert.csv,C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (21)_korrigiert.csv,922,2026-09-09 08:40:55.957000+00:00,C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (21)_korrigiert.csv|Probe=11,1,0.13333583333333335,0.13333583333333335,18.2,36.4,36.4,910.03,0.0,1001.03,quality flags,0.809937025291373,0.10799362821474631,36.292006371785256,1000.9220063717852,1.8183234941524247,3.625857573392672,3.6366469883048493,0.0,90.91917194415007,100.00000000000001,1005.7778030229309,1539.4934777207761,ok,0.03819697706910574,0.43552227922396014,-0.15092200031020706,0.7624937670262822,0.0011884289816355695,False,,True,1005.6268810226208,1540.2559714878023,True,False
922,2026-09-09,08:42:55.959,28,11,91.0,910.03,0.0,0.0,0.0,0.0,0.0,100.0,1005.824,0.002094585,0.008239746,1539.884,0.01136003,0.05407715,22.54031,0.004105289,1497.89,0.0002829858,6.899053,2.958395e-05,100,1,1,1,Kennfeld_v2 (21)_korrigiert.csv,C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (21)_korrigiert.csv,923,2026-09-09 08:42:55.959000+00:00,C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (21)_korrigiert.csv|Probe=11,1,0.1666697222222222,0.1666697222222222,18.2,36.4,36.4,910.03,0.0,1001.03,quality flags,0.809937025291373,0.1349919790228061,36.26500802097719,1000.8950080209771,1.8183725419897945,3.6232579571639882,3.636745083979589,0.0,90.92162441686663,100.0,1005.7880164859356,1539.4382430473966,ok,0.035983514064355404,0.4457569526034604,-0.1359047599186586,0.7328368208832494,0.0003396369524892596,False,,True,1005.652111726017,1540.1710798682798,True,False
923,2026-09-09,08:44:55.961,29,11,91.0,910.03,0.0,0.0,0.0,0.0,0.0,100.0,1005.832,0.001786605,0.007141113,1539.849,0.01033044,0.04858398,22.52745,0.002938768,1497.889,0.0001380196,6.899146,2.711288e-05,100,1,1,1,Kennfeld_v2 (21)_korrigiert.csv,C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (21)_korrigiert.csv,924,2026-09-09 08:44:55.961000+00:00,C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (21)_korrigiert.csv|Probe=11,1,0.20000361111111112,0.20000361111111112,18.2,36.4,36.4,910.03,0.0,1001.03,quality flags,0.809937025291373,0.16199032983086595,36.238009670169134,1000.8680096701692,1.8184215924732887,3.6206582006863406,3.6368431849465774,0.0,90.9240770218938,100.0,1005.7966957286002,1539.3920275980038,ok,0.035304271399809295,0.4569724019961541,-0.17535666227237606,0.7799538229752988,0.0004315819549547911,False,,True,1005.6213390663278,1540.1719814209791,True,False
924,2026-09-09,08:46:55.963,30,11,91.0,910.03,0.0,0.0,0.0,0.0,0.0,100.0,1005.839,0.002392613,0.00958252,1539.808,0.01442496,0.05480957,22.51431,0.004133843,1497.888,0.0003610451,6.89925,3.77351e-05,100,1,1,1,Kennfeld_v2 (21)_korrigiert.csv,C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (21)_korrigiert.csv,925,2026-09-09 08:46:55.963000+00:00,C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (21)_korrigiert.csv|Probe=11,1,0.2333375,0.2333375,18.2,36.4,36.4,910.03,0.0,1001.03,quality flags,0.809937025291373,0.18898868063892577,36.21101131936107,1000.8410113193611,1.8184706456031219,3.618058303948378,3.6369412912062438,0.0,90.92652975924226,100.0,1005.805462840397,1539.3452760965654,ok,0.03353715960304271,0.46272390343460756,-0.16520587421429966,0.7729481154486566,0.0012859110704862193,False,,True,1005.6402569661827,1540.118224212014,True,False
925,2026-09-09,08:48:55.965,31,11,91.0,910.03,0.0,0.0,0.0,0.0,0.0,100.0,1005.847,0.001583852,0.007080078,1539.772,0.01030107,0.05090332,22.50046,0.002305934,1497.887,0.0001496308,6.899343,2.721616e-05,100,1,1,1,Kennfeld_v2 (21)_korrigiert.csv,C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (21)_korrigiert.csv,926,2026-09-09 08:48:55.965000+00:00,C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (21)_korrigiert.csv|Probe=11,1,0.2666713888888889,0.2666713888888889,18.2,36.4,36.4,910.03,0.0,1001.03,quality flags,0.809937025291373,0.21598703144698558,36.18401296855301,1000.814012968553,1.818519701379508,3.615458266938751,3.637039402759016,0.0,90.92898262892272,100.0,1005.814452422408,1539.297192109647,ok,0.032547577592026755,0.4748078903528494,-0.16759086396600562,0.7870566779287392,0.002140286280057038,False,,True,1005.646861558442,1540.084248787576,True,False
926,2026-09-09,08:50:55.967,32,11,91.0,910.03,0.0,0.0,0.0,0.0,0.0,100.0,1005.854,0.001653226,0.006408691,1539.741,0.01122285,0.05749512,22.49051,0.002316906,1497.887,9.134906e-05,6.899424,2.964579e-05,100,1,1,1,Kennfeld_v2 (21)_korrigiert.csv,C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (21)_korrigiert.csv,927,2026-09-09 08:50:55.967000+00:00,C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (21)_korrigiert.csv|Probe=11,1,0.3000052777777778,0.3000052777777778,18.2,36.4,36.4,910.03,0.0,1001.03,quality flags,0.809937025291373,0.2429853822550454,36.157014617744956,1000.787014617745,1.818568759802661,3.612858089646106,3.637137519605322,0.0,90.93143563094591,100.0,1005.8222213019363,1539.2563057362477,ok,0.031778698063703814,0.48469426375231706,-0.1742328292091846,0.8103501166356543,0.0029947075868792384,False,,True,1005.6479884727272,1540.0666558528833,True,False
