SeqNo,Date,UTC Time,Nr,ProbeNr,m_SL120,m_Wasser,m_IPA,m_PG,m_MG,m_vorher,m_nachher,Pumpe_pct,Rho_M,Rho_S,Rho_Sp,C_M,C_S,C_Sp,T_M,T_S,Per_M,Per_S,RunT_M,RunT_S,N,Stabil,SensOK,Gueltig,Source_File,Source_Path,Source_Row,Measurement_Time_UTC,Experiment_Key,Phase,Experiment_Elapsed_h,Phase_Elapsed_h,m_Al_nom_g,m_IPA_nom_g,m_PG_nom_g,m_Water_nom_g,m_MG_nom_g,m_Total_nom_g,Selection_Method,IPA_Evaporation_Rate_g_h,IPA_Loss_g,m_IPA_eff_g,m_Total_eff_g,Al_wt_pct_eff,IPA_wt_pct_eff,PG_wt_pct_eff,MG_wt_pct_eff,Water_wt_pct_eff,Composition_Sum_wt_pct,Rho_Physics_kg_m3,C_Physics_m_s,Simulation_Status,A_Rho_kg_m3,A_C_m_s,A_Rho_Field_kg_m3,A_C_Field_m_s,Calibration_Distance,Calibration_Extrapolation,Calibration_Outside_Axes,Calibration_MG_Axis_Used,Rho_Hybrid_kg_m3,C_Hybrid_m_s,Selected_For_Evaluation,Training_Overlap
505,2026-09-02,09:51:05.602,29,8,90.96,909.66,0.0,0.0,0.0,0.0,0.0,100.0,1003.929,0.3548576,1.596619,1543.209,0.1012917,0.4604492,23.52763,0.005304439,1497.637,0.08414511,6.890426,0.0002713935,100,0,0,0,Kennfeld_v2 (17)_korrigiert.csv,C:\Users\nikla\OneDrive\Documents\01_Uni\01_Master\00_Masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (17)_korrigiert.csv,506,2026-02-09 09:51:05.602000+00:00,C:\Users\nikla\OneDrive\Documents\01_Uni\01_Master\00_Masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (17)_korrigiert.csv|Probe=8,1,0.0,0.0,18.192,36.384,36.384,909.66,0.0,1000.62,not selected,2.0,0.0,36.384,1000.62,1.8180727948671824,3.636145589734365,3.636145589734365,0.0,90.90963602566408,100.0,1006.0001149633489,1540.5094794284428,ok,-2.0711149633489185,2.6995205715572865,-1.2447354737163487,2.439172451080924,0.01594271723417041,False,,True,1004.7553794896326,1542.9486518795236,False,False
506,2026-09-02,09:53:05.604,30,8,90.96,909.66,0.0,0.0,0.0,0.0,0.0,100.0,1004.063,0.2891738,1.492065,1543.204,0.0364981,0.1700439,23.55634,0.004992205,1497.676,0.06918192,6.890447,9.698714e-05,100,0,1,0,Kennfeld_v2 (17)_korrigiert.csv,C:\Users\nikla\OneDrive\Documents\01_Uni\01_Master\00_Masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (17)_korrigiert.csv,507,2026-02-09 09:53:05.604000+00:00,C:\Users\nikla\OneDrive\Documents\01_Uni\01_Master\00_Masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (17)_korrigiert.csv|Probe=8,1,0.033333888888888885,0.033333888888888885,18.192,36.384,36.384,909.66,0.0,1000.62,not selected,2.0,0.06666777777777777,36.31733222222222,1000.5533322222223,1.818193934709676,3.629724778544455,3.636387869419352,0.0,90.91569341732651,99.99999999999999,1006.0026997758342,1540.505128313967,ok,-1.9396997758342422,2.698871686033044,-1.2449280483791796,2.438666301691502,0.0143634273776073,False,,True,1004.7577717274551,1542.9437946156584,False,False
507,2026-09-02,09:55:05.606,31,8,90.96,909.66,0.0,0.0,0.0,0.0,0.0,100.0,1004.112,0.2861418,1.163391,1543.24,0.03323476,0.1678467,23.57332,0.00528142,1497.691,0.06811795,6.890354,8.834294e-05,100,0,1,0,Kennfeld_v2 (17)_korrigiert.csv,C:\Users\nikla\OneDrive\Documents\01_Uni\01_Master\00_Masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (17)_korrigiert.csv,508,2026-02-09 09:55:05.606000+00:00,C:\Users\nikla\OneDrive\Documents\01_Uni\01_Master\00_Masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (17)_korrigiert.csv|Probe=8,1,0.06666777777777777,0.06666777777777777,18.192,36.384,36.384,909.66,0.0,1000.62,not selected,2.0,0.13333555555555554,36.250664444444446,1000.4866644444445,1.818315090696561,3.62330311164856,3.636630181393122,0.0,90.92175161626174,99.99999999999999,1006.0089689595186,1540.4800877650061,ok,-1.896968959518631,2.7599122349938625,-1.244948342592278,2.438171381511362,0.013017588103828607,False,,True,1004.7640206169264,1542.9182591465176,False,False
508,2026-09-02,09:57:05.608,32,8,90.96,909.66,0.0,0.0,0.0,0.0,0.0,100.0,1004.117,0.2743791,0.9459839,1543.208,0.06838103,0.5063477,23.59739,0.008917946,1497.698,0.06753185,6.890447,0.0001820053,100,0,1,0,Kennfeld_v2 (17)_korrigiert.csv,C:\Users\nikla\OneDrive\Documents\01_Uni\01_Master\00_Masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (17)_korrigiert.csv,509,2026-02-09 09:57:05.608000+00:00,C:\Users\nikla\OneDrive\Documents\01_Uni\01_Master\00_Masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (17)_korrigiert.csv|Probe=8,1,0.10000166666666666,0.10000166666666666,18.192,36.384,36.384,909.66,0.0,1000.62,not selected,2.0,0.2000033333333333,36.183996666666665,1000.4199966666666,1.8184362628310653,3.6168805888756075,3.6368725256621306,0.0,90.9278106226312,100.0,1006.0130221837127,1540.4675237108722,ok,-1.8960221837127165,2.740476289127855,-1.2446562521002422,2.4376932505103417,0.011984293853984865,False,,True,1004.7683659316124,1542.9052169613826,False,False
509,2026-09-02,09:59:05.610,33,8,90.96,909.66,0.0,0.0,0.0,0.0,0.0,100.0,1004.306,0.1652424,0.961792,1543.317,0.1187908,0.4781494,23.64104,0.008422258,1497.753,0.04031609,6.890169,0.0003165478,100,0,1,0,Kennfeld_v2 (17)_korrigiert.csv,C:\Users\nikla\OneDrive\Documents\01_Uni\01_Master\00_Masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (17)_korrigiert.csv,510,2026-02-09 09:59:05.610000+00:00,C:\Users\nikla\OneDrive\Documents\01_Uni\01_Master\00_Masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (17)_korrigiert.csv|Probe=8,1,0.13333555555555554,0.13333555555555554,18.192,36.384,36.384,909.66,0.0,1000.62,not selected,2.0,0.2666711111111111,36.11732888888889,1000.3533288888889,1.8185574511164164,3.61045721005448,3.637114902232833,0.0,90.93387043659627,100.0,1006.0109465995129,1540.4893557109747,ok,-1.704946599512823,2.8276442890253293,-1.2438410114517764,2.437266446329625,0.011349429481203942,False,,True,1004.7671055880611,1542.9266221573043,False,False
510,2026-09-02,10:01:05.612,34,8,90.96,909.66,0.0,0.0,0.0,0.0,0.0,100.0,1002.564,0.66148,2.753784,1545.573,2.847548,10.03589,23.67241,0.005639081,1497.338,0.1612804,6.884175,0.007562673,100,0,1,0,Kennfeld_v2 (17)_korrigiert.csv,C:\Users\nikla\OneDrive\Documents\01_Uni\01_Master\00_Masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (17)_korrigiert.csv,511,2026-02-09 10:01:05.612000+00:00,C:\Users\nikla\OneDrive\Documents\01_Uni\01_Master\00_Masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (17)_korrigiert.csv|Probe=8,1,0.16666944444444445,0.16666944444444445,18.192,36.384,36.384,909.66,0.0,1000.62,not selected,2.0,0.3333388888888889,36.05066111111111,1000.2866611111111,1.8186786555558443,3.6040329750140128,3.6373573111116886,0.0,90.93993105831845,100.0,1006.0127274134056,1540.4895365146378,ok,-3.4487274134056634,5.083463485362245,-1.2422341766913052,2.4370491260628055,0.011181268220442766,False,,True,1004.7704932367143,1542.9265856407008,False,False
511,2026-09-02,10:03:05.614,35,8,90.96,909.66,0.0,0.0,0.0,0.0,0.0,100.0,1003.144,0.4871319,1.983704,1543.208,0.08576621,0.5050049,23.69095,0.004471845,1497.483,0.1170752,6.890473,0.0002292494,100,0,1,0,Kennfeld_v2 (17)_korrigiert.csv,C:\Users\nikla\OneDrive\Documents\01_Uni\01_Master\00_Masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (17)_korrigiert.csv,512,2026-02-09 10:03:05.614000+00:00,C:\Users\nikla\OneDrive\Documents\01_Uni\01_Master\00_Masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (17)_korrigiert.csv|Probe=8,1,0.2000033333333333,0.2000033333333333,18.192,36.384,36.384,909.66,0.0,1000.62,not selected,2.0,0.4000066666666666,35.98399333333333,1000.2199933333334,1.818799876152579,3.597607883582997,3.637599752305158,0.0,90.94599248795926,100.0,1006.0185350247685,1540.4671762894243,ok,-2.8745350247685337,2.740823710575796,-1.2396148097384367,2.4375066886713364,0.011500492911768115,False,,True,1004.7789202150301,1542.9046829780957,False,False
512,2026-09-02,10:05:05.616,36,8,90.96,909.66,0.0,0.0,0.0,0.0,0.0,100.0,1003.477,0.3731662,1.693481,1543.19,0.05429772,0.229126,23.70748,0.00577204,1497.566,0.0901075,6.890524,0.0001452041,100,0,1,0,Kennfeld_v2 (17)_korrigiert.csv,C:\Users\nikla\OneDrive\Documents\01_Uni\01_Master\00_Masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (17)_korrigiert.csv,513,2026-02-09 10:05:05.616000+00:00,C:\Users\nikla\OneDrive\Documents\01_Uni\01_Master\00_Masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (17)_korrigiert.csv|Probe=8,1,0.23333722222222222,0.23333722222222222,18.192,36.384,36.384,909.66,0.0,1000.62,not selected,2.0,0.46667444444444445,35.91732555555556,1000.1533255555555,1.8189211129098515,3.5911819355901806,3.637842225819703,0.0,90.95205472568027,100.0,1006.0249785029852,1540.4412855107212,ok,-2.5479785029851882,2.748714489278882,-1.2360677088330017,2.4395134397435903,0.011991375252878866,False,,True,1004.7889107941521,1542.8807989504649,False,False
513,2026-09-02,10:07:05.618,37,8,90.96,909.66,0.0,0.0,0.0,0.0,0.0,100.0,1003.429,0.5566572,2.311829,1543.142,0.07839199,0.4764404,23.72359,0.003444181,1497.558,0.1346805,6.890656,0.0002094503,100,0,1,0,Kennfeld_v2 (17)_korrigiert.csv,C:\Users\nikla\OneDrive\Documents\01_Uni\01_Master\00_Masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (17)_korrigiert.csv,514,2026-02-09 10:07:05.618000+00:00,C:\Users\nikla\OneDrive\Documents\01_Uni\01_Master\00_Masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (17)_korrigiert.csv|Probe=8,1,0.2666711111111111,0.2666711111111111,18.192,36.384,36.384,909.66,0.0,1000.62,not selected,2.0,0.5333422222222222,35.850657777777776,1000.0866577777778,1.8190423658308936,3.58475513086426,3.6380847316617873,0.0,90.95811777164306,100.0,1006.0315596107218,1540.4146552018985,ok,-2.602559610721869,2.7273447981015124,-1.2322596462123878,2.443923244447047,0.011607931940108385,False,,True,1004.7992999645095,1542.8585784463455,False,False
514,2026-09-02,10:09:05.620,38,8,90.96,909.66,0.0,0.0,0.0,0.0,0.0,100.0,1003.958,0.6082623,2.052185,1543.128,0.0798654,0.4157715,23.7365,0.004117853,1497.688,0.1467441,6.890697,0.0002137889,100,0,1,0,Kennfeld_v2 (17)_korrigiert.csv,C:\Users\nikla\OneDrive\Documents\01_Uni\01_Master\00_Masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (17)_korrigiert.csv,515,2026-02-09 10:09:05.620000+00:00,C:\Users\nikla\OneDrive\Documents\01_Uni\01_Master\00_Masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (17)_korrigiert.csv|Probe=8,1,0.300005,0.300005,18.192,36.384,36.384,909.66,0.0,1000.62,not selected,2.0,0.60001,35.78399,1000.01999,1.819163634918938,3.5783274692338902,3.638327269837876,0.0,90.96418162600929,100.0,1006.0391487290292,1540.382416686883,ok,-2.0811487290292234,2.7455833131168674,-1.2292630730393905,2.4505775319311964,0.01169327074606683,False,,True,1004.8098856559898,1542.8329942188143,False,False
