SeqNo,Date,UTC Time,Nr,ProbeNr,m_SL120,m_Wasser,m_IPA,m_PG,m_MG,m_vorher,m_nachher,Pumpe_pct,Rho_M,Rho_S,Rho_Sp,C_M,C_S,C_Sp,T_M,T_S,Per_M,Per_S,RunT_M,RunT_S,N,Stabil,SensOK,Gueltig,Source_File,Source_Path,Source_Row,Measurement_Time_UTC,Experiment_Key,Phase,Experiment_Elapsed_h,Phase_Elapsed_h,m_Al_nom_g,m_IPA_nom_g,m_PG_nom_g,m_Water_nom_g,m_MG_nom_g,m_Total_nom_g,Selection_Method,IPA_Evaporation_Rate_g_h,IPA_Loss_g,m_IPA_eff_g,m_Total_eff_g,Al_wt_pct_eff,IPA_wt_pct_eff,PG_wt_pct_eff,MG_wt_pct_eff,Water_wt_pct_eff,Composition_Sum_wt_pct,Rho_Physics_kg_m3,C_Physics_m_s,Simulation_Status,A_Rho_kg_m3,A_C_m_s,A_Rho_Field_kg_m3,A_C_Field_m_s,Calibration_Distance,Calibration_Extrapolation,Calibration_Outside_Axes,Calibration_MG_Axis_Used,Rho_Hybrid_kg_m3,C_Hybrid_m_s,Selected_For_Evaluation,Training_Overlap
629,2026-09-07,09:08:25.839,27,9,90.96,909.63,0.0,0.0,0.0,0.0,0.0,100.0,1005.543,0.0006053919,0.002563477,1540.252,0.007210524,0.03344727,22.3999,0.006397493,1497.794,0.001257914,6.898029,1.81523e-05,100,1,1,1,Kennfeld_v2 (18)_korrigiert.csv,C:\Users\nikla\OneDrive\Documents\01_Uni\01_Master\00_Masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (18)_korrigiert.csv,630,2026-07-09 09:08:25.839000+00:00,C:\Users\nikla\OneDrive\Documents\01_Uni\01_Master\00_Masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (18)_korrigiert.csv|Probe=9,1,0.0,0.0,18.192,36.384,36.384,909.63,0.0,1000.59,quality flags,1.5,0.0,36.384,1000.59,1.8181273048901148,3.6362546097802295,3.6362546097802295,0.0,90.90936347554943,100.0,1006.3540211891356,1538.4698182183572,ok,-0.8110211891355448,1.7821817816427483,-1.253619902148161,2.4617215502440835,0.027163935836718917,False,,True,1005.1004012869873,1540.9315397686014,True,False
630,2026-09-07,09:10:25.841,28,9,90.96,909.63,0.0,0.0,0.0,0.0,0.0,100.0,1005.542,0.0009716341,0.004150391,1540.276,0.008652131,0.04467773,22.42177,0.005218286,1497.798,0.0009719462,6.897971,2.212768e-05,100,1,1,1,Kennfeld_v2 (18)_korrigiert.csv,C:\Users\nikla\OneDrive\Documents\01_Uni\01_Master\00_Masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (18)_korrigiert.csv,631,2026-07-09 09:10:25.841000+00:00,C:\Users\nikla\OneDrive\Documents\01_Uni\01_Master\00_Masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (18)_korrigiert.csv|Probe=9,1,0.033333888888888885,0.033333888888888885,18.192,36.384,36.384,909.63,0.0,1000.59,quality flags,1.5,0.05000083333333333,36.333999166666665,1000.5399991666667,1.8182181637067802,3.6314389426638267,3.6364363274135605,0.0,90.91390656621583,100.0,1006.3558096680345,1538.4686610469025,ok,-0.8138096680344233,1.807338953097542,-1.2535876187327588,2.460485736609531,0.024508780800407585,False,,True,1005.1022220493016,1540.9291467835121,True,False
631,2026-09-07,09:12:25.843,29,9,90.96,909.63,0.0,0.0,0.0,0.0,0.0,100.0,1005.54,0.0005939396,0.002807617,1540.292,0.006238205,0.03063965,22.44124,0.003730904,1497.802,0.0007123146,6.897932,1.631107e-05,100,1,1,1,Kennfeld_v2 (18)_korrigiert.csv,C:\Users\nikla\OneDrive\Documents\01_Uni\01_Master\00_Masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (18)_korrigiert.csv,632,2026-07-09 09:12:25.843000+00:00,C:\Users\nikla\OneDrive\Documents\01_Uni\01_Master\00_Masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (18)_korrigiert.csv|Probe=9,1,0.06666777777777777,0.06666777777777777,18.192,36.384,36.384,909.63,0.0,1000.59,quality flags,1.5,0.10000166666666666,36.28399833333334,1000.4899983333333,1.8183090316050285,3.6266227942085427,3.636618063210057,0.0,90.91845011097637,100.0,1006.3583547901451,1538.4630405484927,ok,-0.818354790145122,1.8289594515072167,-1.2535597523294164,2.4593101722828354,0.022036225421051686,False,,True,1005.1047950378156,1540.9223507207755,True,False
632,2026-09-07,09:14:25.845,30,9,90.96,909.63,0.0,0.0,0.0,0.0,0.0,100.0,1005.54,0.0004779922,0.002075195,1540.302,0.006389807,0.03466797,22.45623,0.00364117,1497.805,0.0007818153,6.897912,1.66553e-05,100,1,1,1,Kennfeld_v2 (18)_korrigiert.csv,C:\Users\nikla\OneDrive\Documents\01_Uni\01_Master\00_Masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (18)_korrigiert.csv,633,2026-07-09 09:14:25.845000+00:00,C:\Users\nikla\OneDrive\Documents\01_Uni\01_Master\00_Masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (18)_korrigiert.csv|Probe=9,1,0.10000166666666666,0.10000166666666666,18.192,36.384,36.384,909.63,0.0,1000.59,quality flags,1.5,0.15000249999999998,36.2339975,1000.4399975,1.818399908586222,3.621806164342205,3.636799817172444,0.0,90.92299410989914,100.0,1006.3623082595714,1538.4491126609764,ok,-0.8223082595714004,1.8528873390234821,-1.2535370327586874,2.458303648862361,0.019814911738423587,False,,True,1005.1087712268127,1540.9074163098387,True,False
633,2026-09-07,09:16:25.847,31,9,90.96,909.63,0.0,0.0,0.0,0.0,0.0,100.0,1005.54,0.0004587281,0.00201416,1540.31,0.00615256,0.02770996,22.46985,0.003738742,1497.807,0.000821111,6.897893,1.603653e-05,100,1,1,1,Kennfeld_v2 (18)_korrigiert.csv,C:\Users\nikla\OneDrive\Documents\01_Uni\01_Master\00_Masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (18)_korrigiert.csv,634,2026-07-09 09:16:25.847000+00:00,C:\Users\nikla\OneDrive\Documents\01_Uni\01_Master\00_Masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (18)_korrigiert.csv|Probe=9,1,0.13333555555555554,0.13333555555555554,18.192,36.384,36.384,909.63,0.0,1000.59,quality flags,1.5,0.2000033333333333,36.183996666666665,1000.3899966666667,1.818490794651722,3.6169890529926296,3.636981589303444,0.0,90.92753856305221,100.0,1006.3666948313603,1538.4326456243048,ok,-0.826694831360328,1.8773543756951767,-1.2535205969416479,2.4576436519182527,0.01793860254032036,False,,True,1005.1131742344187,1540.890289276223,True,False
634,2026-09-07,09:18:25.849,32,9,90.96,909.63,0.0,0.0,0.0,0.0,0.0,100.0,1005.54,0.0004918654,0.002319336,1540.323,0.006105707,0.03259277,22.4846,0.003700477,1497.811,0.0007951776,6.897863,1.592138e-05,100,1,1,1,Kennfeld_v2 (18)_korrigiert.csv,C:\Users\nikla\OneDrive\Documents\01_Uni\01_Master\00_Masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (18)_korrigiert.csv,635,2026-07-09 09:18:25.849000+00:00,C:\Users\nikla\OneDrive\Documents\01_Uni\01_Master\00_Masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (18)_korrigiert.csv|Probe=9,1,0.16666944444444445,0.16666944444444445,18.192,36.384,36.384,909.63,0.0,1000.59,quality flags,1.5,0.2500041666666667,36.13399583333334,1000.3399958333333,1.8185816898028908,3.6121714600876187,3.6371633796057816,0.0,90.93208347050371,100.0,1006.3707309023727,1538.4182688183107,ok,-0.830730902372693,1.9047311816893853,-1.253512213200088,2.4576022963844997,0.016525437061896874,False,,True,1005.1172186891725,1540.8758711146952,True,False
635,2026-09-07,09:20:25.851,33,9,90.96,909.63,0.0,0.0,0.0,0.0,0.0,100.0,1005.54,0.0004766836,0.002258301,1540.331,0.005403562,0.02600098,22.49834,0.00328032,1497.813,0.0006347407,6.897844,1.42906e-05,100,1,1,1,Kennfeld_v2 (18)_korrigiert.csv,C:\Users\nikla\OneDrive\Documents\01_Uni\01_Master\00_Masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (18)_korrigiert.csv,636,2026-07-09 09:20:25.851000+00:00,C:\Users\nikla\OneDrive\Documents\01_Uni\01_Master\00_Masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (18)_korrigiert.csv|Probe=9,1,0.2000033333333333,0.2000033333333333,18.192,36.384,36.384,909.63,0.0,1000.59,quality flags,1.5,0.30000499999999997,36.083995,1000.289995,1.818672594041091,3.607353385554956,3.637345188082182,0.0,90.93662883232177,100.0,1006.3750871471273,1538.4020209774203,ok,-0.8350871471272967,1.9289790225795969,-1.2535146244917676,2.4585597460479,0.015701184469296272,False,,True,1005.1215725226355,1540.8605807234683,True,False
636,2026-09-07,09:22:25.853,34,9,90.96,909.63,0.0,0.0,0.0,0.0,0.0,100.0,1005.54,0.0005686777,0.002563477,1540.339,0.005824553,0.03393555,22.51012,0.003419458,1497.816,0.0007348674,6.897827,1.525553e-05,100,1,1,1,Kennfeld_v2 (18)_korrigiert.csv,C:\Users\nikla\OneDrive\Documents\01_Uni\01_Master\00_Masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (18)_korrigiert.csv,637,2026-07-09 09:22:25.853000+00:00,C:\Users\nikla\OneDrive\Documents\01_Uni\01_Master\00_Masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (18)_korrigiert.csv|Probe=9,1,0.23333722222222222,0.23333722222222222,18.192,36.384,36.384,909.63,0.0,1000.59,quality flags,1.5,0.35000583333333335,36.033994166666666,1000.2399941666667,1.8187635073676856,3.6025348293224155,3.637527014735371,0.0,90.94117464857452,99.99999999999999,1006.3800610832154,1538.3821471604901,ok,-0.8400610832154598,1.9568528395097928,-1.2535320514960384,2.4609679650134004,0.015559931671561635,False,,True,1005.1265290317194,1540.8431151255036,True,False
637,2026-09-07,09:24:25.855,35,9,90.96,909.63,0.0,0.0,0.0,0.0,0.0,100.0,1005.54,0.0005525211,0.002746582,1540.348,0.005709718,0.03283691,22.5228,0.003206155,1497.818,0.0006579363,6.897806,1.500212e-05,100,1,1,1,Kennfeld_v2 (18)_korrigiert.csv,C:\Users\nikla\OneDrive\Documents\01_Uni\01_Master\00_Masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (18)_korrigiert.csv,638,2026-07-09 09:24:25.855000+00:00,C:\Users\nikla\OneDrive\Documents\01_Uni\01_Master\00_Masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (18)_korrigiert.csv|Probe=9,1,0.2666711111111111,0.2666711111111111,18.192,36.384,36.384,909.63,0.0,1000.59,quality flags,1.5,0.4000066666666666,35.98399333333333,1000.1899933333334,1.8188544297840372,3.597715791317754,3.6377088595680744,0.0,90.94572091933013,100.0,1006.3847565545996,1538.3639383180016,ok,-0.8447565545995985,1.9840616819983552,-1.2535708574705018,2.46520846395318,0.01611984966744199,False,,True,1005.131185697129,1540.8291467819547,True,False
638,2026-09-07,09:26:25.857,36,9,90.96,909.63,0.0,0.0,0.0,0.0,0.0,100.0,1005.54,0.0004359952,0.001831055,1540.356,0.005139723,0.02502441,22.53539,0.003130744,1497.821,0.0006396258,6.897788,1.358393e-05,100,1,1,1,Kennfeld_v2 (18)_korrigiert.csv,C:\Users\nikla\OneDrive\Documents\01_Uni\01_Master\00_Masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (18)_korrigiert.csv,639,2026-07-09 09:26:25.857000+00:00,C:\Users\nikla\OneDrive\Documents\01_Uni\01_Master\00_Masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (18)_korrigiert.csv|Probe=9,1,0.300005,0.300005,18.192,36.384,36.384,909.63,0.0,1000.59,quality flags,1.5,0.4500075,35.9339925,1000.1399925000001,1.8189453612915094,3.5928962714687165,3.637890722583019,0.0,90.95026764465675,100.0,1006.3894837554394,1538.3455630867352,ok,-0.8494837554394508,2.0104369132648117,-1.2536402040852657,2.4713255821662234,0.01731323419593784,False,,True,1005.1358435513541,1540.8168886689014,True,False
