SeqNo,Date,UTC Time,Nr,ProbeNr,m_SL120,m_Wasser,m_IPA,m_PG,m_MG,m_vorher,m_nachher,Pumpe_pct,Rho_M,Rho_S,Rho_Sp,C_M,C_S,C_Sp,T_M,T_S,Per_M,Per_S,RunT_M,RunT_S,N,Stabil,SensOK,Gueltig,Source_File,Source_Path,Source_Row,Measurement_Time_UTC,Experiment_Key,Phase,Experiment_Elapsed_h,Phase_Elapsed_h,m_Al_nom_g,m_IPA_nom_g,m_PG_nom_g,m_Water_nom_g,m_MG_nom_g,m_Total_nom_g,Selection_Method,IPA_Evaporation_Rate_g_h,IPA_Loss_g,m_IPA_eff_g,m_Total_eff_g,Al_wt_pct_eff,IPA_wt_pct_eff,PG_wt_pct_eff,MG_wt_pct_eff,Water_wt_pct_eff,Composition_Sum_wt_pct,Rho_Physics_kg_m3,C_Physics_m_s,Simulation_Status,A_Rho_kg_m3,A_C_m_s,A_Rho_Field_kg_m3,A_C_Field_m_s,Calibration_Distance,Calibration_Extrapolation,Calibration_Outside_Axes,Calibration_MG_Axis_Used,Rho_Hybrid_kg_m3,C_Hybrid_m_s,Selected_For_Evaluation,Training_Overlap
287,2026-08-28,10:11:02.995,8,5,90.53,909.5,0.0,0.0,0.0,0.0,0.0,100.0,1004.247,0.003263978,0.01312256,1545.125,0.01317991,0.06323242,24.95557,0.003110597,1498.007,0.001360134,6.885703,3.508912e-05,100,0,1,0,Kennfeld_v2 (14)_korrigiert.csv,C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (14)_korrigiert.csv,288,2026-08-28 10:11:02.995000+00:00,C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (14)_korrigiert.csv|Probe=5,1,0.0,0.0,18.106,36.212,36.212,909.5,0.0,1000.03,not selected,0.7602918321154785,0.0,36.212,1000.03,1.8105456836294913,3.6210913672589826,3.6210913672589826,0.0,90.94727158185255,100.0,1005.5142643089725,1542.7560664661075,ok,-1.2672643089725852,2.3689335338924593,-0.7900248455544227,2.162300146564457,0.017261008783804866,False,,True,1004.7242394634181,1544.918366612672,False,False
288,2026-08-28,10:13:02.997,9,5,90.53,909.5,0.0,0.0,0.0,0.0,0.0,100.0,1004.254,0.001395056,0.005981445,1545.125,0.01136028,0.05310059,24.96773,0.003027856,1498.012,0.0008076932,6.885708,3.031487e-05,100,1,1,1,Kennfeld_v2 (14)_korrigiert.csv,C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (14)_korrigiert.csv,289,2026-08-28 10:13:02.997000+00:00,C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (14)_korrigiert.csv|Probe=5,1,0.033333888888888885,0.033333888888888885,18.106,36.212,36.212,909.5,0.0,1000.03,quality flags,0.7602918321154785,0.02534348345486712,36.186656516545135,1000.0046565165451,1.8105915689504029,3.6186488013564992,3.6211831379008057,0.0,90.9495764917923,100.0,1005.5148935677634,1542.7555031710772,ok,-1.2608935677633326,2.36949682892282,-0.7902229353053669,2.1617950745617187,0.01622529483476346,False,,True,1004.724670632458,1544.917298245639,True,False
289,2026-08-28,10:15:02.999,10,5,90.53,909.5,0.0,0.0,0.0,0.0,0.0,100.0,1004.257,0.001117127,0.005187988,1545.133,0.01245403,0.06982422,24.98028,0.003771347,1498.015,0.0009243626,6.885691,3.270728e-05,100,1,1,1,Kennfeld_v2 (14)_korrigiert.csv,C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (14)_korrigiert.csv,290,2026-08-28 10:15:02.999000+00:00,C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (14)_korrigiert.csv|Probe=5,1,0.06666777777777777,0.06666777777777777,18.106,36.212,36.212,909.5,0.0,1000.03,quality flags,0.7602918321154785,0.05068696690973424,36.161313033090266,999.9793130330902,1.8106374565971504,3.616206111645197,3.6212749131943007,0.0,90.95188151856335,100.0,1005.5154018100545,1542.7555738231108,ok,-1.258401810054579,2.37742617688923,-0.790409008315993,2.161322099224844,0.015189569988686044,False,,True,1004.7249928017385,1544.9168959223357,True,False
290,2026-08-28,10:17:03.001,11,5,90.53,909.5,0.0,0.0,0.0,0.0,0.0,100.0,1004.258,0.001036132,0.004882812,1545.173,0.02380729,0.09643555,24.99618,0.004499258,1498.019,0.001078029,6.885589,6.23744e-05,100,1,1,1,Kennfeld_v2 (14)_korrigiert.csv,C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (14)_korrigiert.csv,291,2026-08-28 10:17:03.001000+00:00,C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (14)_korrigiert.csv|Probe=5,1,0.10000166666666666,0.10000166666666666,18.106,36.212,36.212,909.5,0.0,1000.03,quality flags,0.7602918321154785,0.07603045036460136,36.135969549635405,999.9539695496354,1.8106833465699104,3.6137632981156638,3.6213666931398207,0.0,90.9541866621746,100.0,1005.5148623523158,1542.7611465736707,ok,-1.2568623523158067,2.411853426329344,-0.7905829657412452,2.1608811254164544,0.014153843381503824,False,,True,1004.7242793865746,1544.922027699087,True,False
291,2026-08-28,10:19:03.003,12,5,90.53,909.5,0.0,0.0,0.0,0.0,0.0,100.0,1004.26,0.001331343,0.00769043,1545.201,0.01395706,0.07250977,25.01133,0.003429224,1498.022,0.0007736919,6.885518,3.703267e-05,100,1,1,1,Kennfeld_v2 (14)_korrigiert.csv,C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (14)_korrigiert.csv,292,2026-08-28 10:19:03.003000+00:00,C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (14)_korrigiert.csv|Probe=5,1,0.13333555555555554,0.13333555555555554,18.106,36.212,36.212,909.5,0.0,1000.03,quality flags,0.7602918321154785,0.10137393381946848,36.11062606618054,999.9286260661805,1.81072923886886,3.611320360758483,3.62145847773772,0.0,90.95649192263494,100.0,1005.5144167139929,1542.765472815046,ok,-1.254416713992896,2.435527184954026,-0.790744722566156,2.1604720549956475,0.01311812703629698,False,,True,1004.7236719914267,1544.9259448700416,True,False
292,2026-08-28,10:21:03.005,13,5,90.53,909.5,0.0,0.0,0.0,0.0,0.0,100.0,1004.262,0.0007749931,0.004760742,1545.2,0.01173072,0.0501709,25.02415,0.00302171,1498.025,0.0006998827,6.885524,3.141189e-05,100,1,1,1,Kennfeld_v2 (14)_korrigiert.csv,C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (14)_korrigiert.csv,293,2026-08-28 10:21:03.005000+00:00,C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (14)_korrigiert.csv|Probe=5,1,0.16666944444444445,0.16666944444444445,18.106,36.212,36.212,909.5,0.0,1000.03,quality flags,0.7602918321154785,0.12671741727433564,36.08528258272567,999.9032825827256,1.8107751334941764,3.6088772995642406,3.621550266988353,0.0,90.95879729995323,100.0,1005.5146826718102,1542.765960962774,ok,-1.2526826718102484,2.434039037226057,-0.7908942077538527,2.160094786861022,0.01208243710069709,False,,True,1004.7237884640564,1544.926055749635,True,False
293,2026-08-28,10:23:03.007,14,5,90.53,909.5,0.0,0.0,0.0,0.0,0.0,100.0,1004.263,0.0009880165,0.004272461,1545.202,0.01263011,0.06188965,25.03624,0.003199688,1498.028,0.0007485321,6.885522,3.362369e-05,100,1,1,1,Kennfeld_v2 (14)_korrigiert.csv,C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (14)_korrigiert.csv,294,2026-08-28 10:23:03.007000+00:00,C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (14)_korrigiert.csv|Probe=5,1,0.2000033333333333,0.2000033333333333,18.106,36.212,36.212,909.5,0.0,1000.03,quality flags,0.7602918321154785,0.15206090072920272,36.0599390992708,999.8779390992707,1.810821030446036,3.6064341145235197,3.621642060892072,0.0,90.96110279413838,100.00000000000001,1005.5151871244126,1542.7652440196575,ok,-1.2521871244125578,2.4367559803424683,-0.7910313643535632,2.159749216994034,0.011046795780119157,False,,True,1004.724155760059,1544.9249932366515,True,False
294,2026-08-28,10:25:03.009,15,5,90.53,909.5,0.0,0.0,0.0,0.0,0.0,100.0,1004.262,0.001029109,0.005432129,1545.206,0.01141117,0.05786133,25.05002,0.003411956,1498.031,0.000675977,6.885513,3.03345e-05,100,1,1,1,Kennfeld_v2 (14)_korrigiert.csv,C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (14)_korrigiert.csv,295,2026-08-28 10:25:03.009000+00:00,C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (14)_korrigiert.csv|Probe=5,1,0.23333722222222222,0.23333722222222222,18.106,36.212,36.212,909.5,0.0,1000.03,quality flags,0.7602918321154785,0.17740438418406987,36.03459561581593,999.8525956158159,1.8108669297246156,3.603990805626902,3.621733859449231,0.0,90.96340840519926,100.00000000000001,1005.5151421381258,1542.7672973758122,ok,-1.2531421381258951,2.4387026241877265,-0.7911561495682989,2.1594352385026694,0.010011234470335771,False,,True,1004.7239859885575,1544.926732614315,True,False
295,2026-08-28,10:27:03.011,16,5,90.53,909.5,0.0,0.0,0.0,0.0,0.0,100.0,1004.263,0.0009137811,0.004638672,1545.215,0.01215453,0.05969238,25.0636,0.003342895,1498.034,0.000656882,6.885495,3.243927e-05,100,1,1,1,Kennfeld_v2 (14)_korrigiert.csv,C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (14)_korrigiert.csv,296,2026-08-28 10:27:03.011000+00:00,C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (14)_korrigiert.csv|Probe=5,1,0.2666711111111111,0.2666711111111111,18.106,36.212,36.212,909.5,0.0,1000.03,quality flags,0.7602918321154785,0.20274786763893696,36.00925213236107,999.8272521323611,1.8109128313300924,3.60154737286497,3.621825662660185,0.0,90.96571413314476,100.0,1005.5151630928625,1542.7690152702198,ok,-1.2521630928624745,2.4459847297800934,-0.7912685347821014,2.159152741665419,0.008975799057057096,False,,True,1004.7238945580804,1544.9281680118852,True,False
296,2026-08-28,10:29:03.013,17,5,90.53,909.5,0.0,0.0,0.0,0.0,0.0,100.0,1004.265,0.0009237159,0.005004883,1545.203,0.01077309,0.05224609,25.0743,0.002720046,1498.036,0.0006616548,6.885529,2.874068e-05,100,1,1,1,Kennfeld_v2 (14)_korrigiert.csv,C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (14)_korrigiert.csv,297,2026-08-28 10:29:03.013000+00:00,C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (14)_korrigiert.csv|Probe=5,1,0.300005,0.300005,18.106,36.212,36.212,909.5,0.0,1000.03,quality flags,0.7602918321154785,0.22809135109380413,35.9839086489062,999.8019086489062,1.8109587352626435,3.5991038162283036,3.621917470525287,0.0,90.96801997798377,100.0,1005.5161225107807,1542.7660006597132,ok,-1.2511225107807604,2.436999340286775,-0.7913685055469615,2.158901613975534,0.007940559358032045,False,,True,1004.7247540052338,1544.9249022736888,True,False
297,2026-08-28,10:31:03.015,18,5,90.53,909.5,0.0,0.0,0.0,0.0,0.0,100.0,1004.264,0.0008123144,0.004455566,1545.211,0.01349023,0.06323242,25.08686,0.003406729,1498.039,0.0007367851,6.885511,3.557325e-05,100,1,1,1,Kennfeld_v2 (14)_korrigiert.csv,C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (14)_korrigiert.csv,298,2026-08-28 10:31:03.015000+00:00,C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (14)_korrigiert.csv|Probe=5,1,0.3333388888888889,0.3333388888888889,18.106,36.212,36.212,909.5,0.0,1000.03,quality flags,0.7602918321154785,0.2534348345486713,35.95856516545133,999.7765651654513,1.8110046415224457,3.596660135707483,3.6220092830448913,0.0,90.97032593972519,100.0,1005.5164771600809,1542.7660336190374,ok,-1.2524771600808435,2.444966380962569,-0.7914560615297271,2.158681740185534,0.00690562704755416,False,,True,1004.7250210985511,1544.924715359223,True,False
298,2026-08-28,10:33:03.017,19,5,90.53,909.5,0.0,0.0,0.0,0.0,0.0,100.0,1004.264,0.001330817,0.006103516,1545.218,0.01154376,0.05334473,25.09972,0.003459717,1498.041,0.0006237373,6.885496,3.07545e-05,100,1,1,1,Kennfeld_v2 (14)_korrigiert.csv,C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (14)_korrigiert.csv,299,2026-08-28 10:33:03.017000+00:00,C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (14)_korrigiert.csv|Probe=5,1,0.36667277777777774,0.36667277777777774,18.106,36.212,36.212,909.5,0.0,1000.03,quality flags,0.7602918321154785,0.2787783180035383,35.933221681996464,999.7512216819964,1.8110505501096759,3.5942163312930866,3.6221011002193517,0.0,90.9726320183779,100.0,1005.5167349480587,1542.7665528650841,ok,-1.2527349480586736,2.451447134915952,-0.7915312164195245,2.1584930023519684,0.005871192506584771,False,,True,1004.7252037316391,1544.925045867436,True,False
299,2026-08-28,10:35:03.019,20,5,90.53,909.5,0.0,0.0,0.0,0.0,0.0,100.0,1004.264,0.0006981351,0.003112793,1545.222,0.01064679,0.0534668,25.11229,0.002675061,1498.044,0.0005662215,6.885489,2.823062e-05,100,1,1,1,Kennfeld_v2 (14)_korrigiert.csv,C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (14)_korrigiert.csv,300,2026-08-28 10:35:03.019000+00:00,C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (14)_korrigiert.csv|Probe=5,1,0.4000066666666666,0.4000066666666666,18.106,36.212,36.212,909.5,0.0,1000.03,quality flags,0.7602918321154785,0.30412180145840545,35.907878198541596,999.7258781985415,1.8110964610245113,3.591772402975692,3.6221929220490225,0.0,90.97493821395078,100.0,1005.5170879537558,1542.7665907843275,ok,-1.2530879537557666,2.455409215672489,-0.7915939977964231,2.1583352798803883,0.004837608839995008,False,,True,1004.7254939559593,1544.924926064208,True,False
300,2026-08-28,10:37:03.021,21,5,90.53,909.5,0.0,0.0,0.0,0.0,0.0,100.0,1004.265,0.0008900638,0.004211426,1545.23,0.01118492,0.0534668,25.12297,0.003214425,1498.046,0.0008155794,6.885471,2.948482e-05,100,1,1,1,Kennfeld_v2 (14)_korrigiert.csv,C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (14)_korrigiert.csv,301,2026-08-28 10:37:03.021000+00:00,C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (14)_korrigiert.csv|Probe=5,1,0.43334055555555556,0.43334055555555556,18.106,36.212,36.212,909.5,0.0,1000.03,quality flags,0.7602918321154785,0.3294652849132726,35.88253471508673,999.7005347150867,1.8111423742671284,3.589328350745876,3.622284748534257,0.0,90.97724452645274,100.0,1005.5180570332287,1542.7635263512832,ok,-1.2530570332287425,2.4664736487168284,-0.7916444469622671,2.158208449570528,0.0038056123383566386,False,,True,1004.7264125862664,1544.9217348008538,True,False
