Experiment_Key,Source_File,ProbeNr,Phase,N_Selected,Selection_Method,Al_wt_pct,IPA_wt_pct,PG_wt_pct,MG_wt_pct,Water_wt_pct,Temperature_Mean_C,Temperature_Min_C,Temperature_Max_C,IPA_Loss_Mean_g,A_Rho_kg_m3,A_Rho_Robust_SD_kg_m3,A_Rho_SE_kg_m3,A_C_m_s,A_C_Robust_SD_m_s,A_C_SE_m_s
C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (21)_korrigiert.csv|Probe=3,Kennfeld_v2 (21)_korrigiert.csv,3,1,8,automatic low-noise fallback,1.8114023158861485,3.565344111166162,3.622804631772297,0.0,91.00044894117539,22.65525875,22.55394,22.821,0.5741366081693595,-0.7176708145322407,0.004358462324979476,0.0015409491327695367,1.69939816263538,0.008339011744414801,0.0029482858764349833
C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (21)_korrigiert.csv|Probe=3,Kennfeld_v2 (21)_korrigiert.csv,3,2,12,quality flags,2.1959394827609193,4.127269564840852,4.391878965521839,0.0,89.2849119868764,22.22952083333333,22.18006,22.27102,2.694811832406458,-0.8675859914864432,0.0022435710344837047,0.0006476631703526071,2.646646419623331,0.02087775651562137,0.006026889172184731
C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (21)_korrigiert.csv|Probe=3,Kennfeld_v2 (21)_korrigiert.csv,3,3,10,quality flags,1.8109246654520004,3.330276070504483,3.6218493309040007,0.0,91.23694993313951,22.294864999999998,22.24244,22.33696,3.6007654052849682,-0.7568690759282162,0.0088661058141054,0.0028037088348634486,2.3563862034519616,0.06585912889480773,0.020826485202220028
C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (21)_korrigiert.csv|Probe=3,Kennfeld_v2 (21)_korrigiert.csv,3,4,5,automatic low-noise fallback,1.776782260162897,3.1984173228314603,5.5079932271764145,0.0,89.51680718982924,22.61696,22.5917,22.65433,4.470155768455703,-1.1508842237572479,0.003231855898073027,0.001445329896314984,4.564102340675963,0.016274206347301364,0.00727804633448488
C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (21)_korrigiert.csv|Probe=3,Kennfeld_v2 (21)_korrigiert.csv,3,5,6,automatic low-noise fallback,1.7501706185852137,4.6482567770598875,5.425497614258437,0.0,88.17607499009648,22.801328333333334,22.7458,22.86873,5.411714850208322,-1.0726995216689528,0.006173972461213179,0.0025205137026612493,4.770405363726226,0.02180958910595184,0.00890372746822413
C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (21)_korrigiert.csv|Probe=3,Kennfeld_v2 (21)_korrigiert.csv,3,6,6,quality flags,1.59684886440206,4.191781436576101,4.950202918586389,0.0,89.26116678043547,22.605334999999997,22.59798,22.61215,6.101750304707373,-1.0077875293670406,0.002568510436804786,0.001048589994864144,4.344360280991747,0.013835671826904058,0.0056483893707526146
C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (21)_korrigiert.csv|Probe=4,Kennfeld_v2 (21)_korrigiert.csv,4,1,16,quality flags,1.8110292115235462,3.580252525627733,3.6220584230470925,0.0,90.98665983980162,22.760874375,22.71082,22.81611,0.4178264338472746,-0.248833705210727,0.009938293299235542,0.0024845733248088854,1.3410479231633108,0.026767475631207478,0.006691868907801869
C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (21)_korrigiert.csv|Probe=4,Kennfeld_v2 (21)_korrigiert.csv,4,2,6,quality flags,1.7775133700634687,5.364646145238729,3.5550267401269373,0.0,89.30281374457087,23.304415000000002,23.2947,23.31269,1.6010301420850885,-0.20994949368110838,0.00123433372452032,0.0005039146328973135,1.7048998296506854,0.018060252455431736,0.007373067190275791
C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (21)_korrigiert.csv|Probe=4,Kennfeld_v2 (21)_korrigiert.csv,4,3,5,automatic low-noise fallback,1.5770074274460226,4.698641191548312,3.1540148548920452,0.0,90.57033652611362,23.230914,23.20985,23.24759,2.29968389379641,-0.22994927501279108,0.001525993241009797,0.0006824449240206251,1.7574458017339112,0.0286533052184936,0.012814147649720229
C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (21)_korrigiert.csv|Probe=4,Kennfeld_v2 (21)_korrigiert.csv,4,4,15,quality flags,1.5366974623877256,4.513208880062307,5.694829994852403,0.0,88.25526366269757,23.714244000000004,23.7044,23.73244,3.0692383920998507,-0.6542715892555103,0.010355392469288594,0.002673750838466428,4.667908018321638,0.017257191405606928,0.004455787661081959
C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (21)_korrigiert.csv|Probe=4,Kennfeld_v2 (21)_korrigiert.csv,4,5,7,automatic low-noise fallback,2.2823859728435227,5.79167904554553,7.084797647968509,0.0,84.84113733364244,24.133621428571427,24.08165,24.18428,4.995666373247467,-0.3316282073138674,0.019840720138604214,0.007499087331311103,6.732741652525159,0.07888283622900746,0.029814909624769986
C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (21)_korrigiert.csv|Probe=4,Kennfeld_v2 (21)_korrigiert.csv,4,6,12,quality flags,2.0338743734140894,5.11053939647457,6.313388072165243,0.0,86.54219815794609,24.292518333333334,24.14592,24.43066,5.690469808166324,-0.34258533013268033,0.010647319211240446,0.003073616306378773,5.313782912736258,0.010498251606017344,0.0030305841953772675
C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (21)_korrigiert.csv|Probe=4,Kennfeld_v2 (21)_korrigiert.csv,4,7,8,quality flags,1.8953081562097311,4.7138703691360355,5.883262045534325,0.0,87.50755942911991,24.510577500000004,24.41445,24.60681,6.4060505554840645,-0.34366275787530676,0.0028695681384079894,0.0010145455448725732,4.8579429357647825,0.036983077788653174,0.013075492546753121
C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (21)_korrigiert.csv|Probe=4,Kennfeld_v2 (21)_korrigiert.csv,4,8,5,automatic low-noise fallback,1.8708854557653265,5.941715346670016,5.807451077221201,0.0,86.37994812034346,25.151332000000004,25.11826,25.18564,7.162871280183351,-0.36210326994458897,0.02918477128469528,0.013236191850609275,5.764775890824103,0.07377375336667358,0.032992625496637215
C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (21)_korrigiert.csv|Probe=4,Kennfeld_v2 (21)_korrigiert.csv,4,9,8,quality flags,1.8675498709741496,5.884380869422255,5.797097025117697,0.22503014392101273,86.2259420905649,25.2734775,25.1976,25.3471,7.862850316916055,-0.2740728822826621,0.007071307127009591,0.0025000846106806225,5.664443459888133,0.023803833171857598,0.008415925927026896
