Experiment_Key,Source_File,ProbeNr,Phase,N_Selected,Selection_Method,Al_wt_pct,IPA_wt_pct,PG_wt_pct,MG_wt_pct,Water_wt_pct,Temperature_Mean_C,Temperature_Min_C,Temperature_Max_C,IPA_Loss_Mean_g,A_Rho_kg_m3,A_Rho_Robust_SD_kg_m3,A_Rho_SE_kg_m3,A_C_m_s,A_C_Robust_SD_m_s,A_C_SE_m_s
C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (14)_korrigiert.csv|Probe=3,Kennfeld_v2 (14)_korrigiert.csv,3,1,8,automatic low-noise fallback,1.8113994294892657,3.5654977759195505,3.6227988589785314,0.0,91.00030393561266,22.65525875,22.55394,22.821,0.5725445109983003,-1.260632130959678,0.004434492780586086,0.001567829958137605,2.5158237078879564,0.008412241424841068,0.0029741764782417516
C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (14)_korrigiert.csv|Probe=3,Kennfeld_v2 (14)_korrigiert.csv,3,2,12,quality flags,2.195923369526701,4.127973054063926,4.391846739053402,0.0,89.28425683735598,22.22952083333333,22.18006,22.27102,2.68733904242257,-1.5280842121936196,0.00216079612249282,0.0006237681114925647,3.6398295274162584,0.022641315650824487,0.0065359848429054025
C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (14)_korrigiert.csv|Probe=3,Kennfeld_v2 (14)_korrigiert.csv,3,3,10,quality flags,1.810910023436485,3.3310576820340265,3.62182004687297,0.0,91.23621224765654,22.294864999999998,22.24244,22.33696,3.5907803802337335,-1.2990797926500022,0.008886620401196069,0.002810196116909889,3.1662603698867087,0.065631680216535,0.020754559614806357
C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (14)_korrigiert.csv|Probe=3,Kennfeld_v2 (14)_korrigiert.csv,3,4,5,automatic low-noise fallback,1.7767647619512332,3.1993706498772565,5.507938983033226,0.0,89.51592560513829,22.61696,22.5917,22.65433,4.457759899159291,-1.6844776125386258,0.0032786263079303676,0.0014662462594702919,5.363035909381722,0.016083141698630118,0.007192599625979675
C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (14)_korrigiert.csv|Probe=3,Kennfeld_v2 (14)_korrigiert.csv,3,5,6,automatic low-noise fallback,1.7501500645482502,4.649376589742099,5.425433897111478,0.0,88.17503944859818,22.801328333333334,22.7458,22.86873,5.396708010754089,-1.595318768018011,0.006120429973486534,0.002498655073579664,5.560670529283828,0.02206909713785708,0.009009671178611086
C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (14)_korrigiert.csv|Probe=3,Kennfeld_v2 (14)_korrigiert.csv,3,6,6,quality flags,1.5968295721741603,4.192938937469495,4.95014311302496,0.0,89.2600883773314,22.605334999999997,22.59798,22.61215,6.08482997727936,-1.483759683034729,0.0025844799770951454,0.0010551095323871771,5.060319305130831,0.01373457439734168,0.0056071165179634825
C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (14)_korrigiert.csv|Probe=4,Kennfeld_v2 (14)_korrigiert.csv,4,1,16,quality flags,1.811027449386113,3.5803463423620188,3.622054898772226,0.0,90.98657130947964,22.760874375,22.71082,22.81611,0.4168540663171668,-0.7917258655650053,0.010000582670584322,0.0025001456676460804,2.1580033188271512,0.02706418588347949,0.006766046470869872
C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (14)_korrigiert.csv|Probe=4,Kennfeld_v2 (14)_korrigiert.csv,4,2,6,quality flags,1.7775068667505496,5.364992383601661,3.555013733501099,0.0,89.30248701614669,23.304415000000002,23.2947,23.31269,1.5973042176371,-0.7389003972770071,0.0012621035419334134,0.0005152516133827025,2.5102387889792226,0.018187290758426136,0.0074249303602966854
C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (14)_korrigiert.csv|Probe=4,Kennfeld_v2 (14)_korrigiert.csv,4,3,5,automatic low-noise fallback,1.5770000747775785,4.699085526357004,3.154000149555157,0.0,90.56991424931027,23.230914,23.20985,23.24759,2.2943320592385783,-0.6984224193248337,0.001492217397063042,0.0006673399074081514,2.4668127133530557,0.028479964116140698,0.012736627152089062
C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (14)_korrigiert.csv|Probe=4,Kennfeld_v2 (14)_korrigiert.csv,4,4,15,quality flags,1.5366881444160052,4.513787877061445,5.694795463484882,0.0,88.25472851503768,23.714244000000004,23.7044,23.73244,3.0620956469002283,-1.1127779679208363,0.010401284360435031,0.002685600073808836,5.364910719348039,0.017038190601755786,0.004399241896673859
