SeqNo,Date,UTC Time,Nr,ProbeNr,m_SL120,m_Wasser,m_IPA,m_PG,m_MG,m_vorher,m_nachher,Pumpe_pct,Rho_M,Rho_S,Rho_Sp,C_M,C_S,C_Sp,T_M,T_S,Per_M,Per_S,RunT_M,RunT_S,N,Stabil,SensOK,Gueltig,Source_File,Source_Path,Source_Row,Measurement_Time_UTC,Experiment_Key,Phase,Experiment_Elapsed_h,Phase_Elapsed_h,m_Al_nom_g,m_IPA_nom_g,m_PG_nom_g,m_Water_nom_g,m_MG_nom_g,m_Total_nom_g,Selected_For_Calibration,Selection_Method,IPA_Evaporation_Rate_g_h,IPA_Loss_g,m_IPA_eff_g,m_Total_eff_g,Al_wt_pct_eff,IPA_wt_pct_eff,PG_wt_pct_eff,MG_wt_pct_eff,Water_wt_pct_eff,Composition_Sum_wt_pct,Rho_Physics_kg_m3,C_Physics_m_s,Simulation_Status,A_Rho_kg_m3,A_C_m_s
167,2026-08-27,08:21:42.504,1,4,90.51,909.45,0.0,0.0,0.0,0.0,0.0,100.0,1005.412,0.006453838,0.02374268,1541.195,0.04207953,0.1810303,22.69697,0.00235366,1497.822,0.001939161,6.895585,0.000113237,100,0,1,0,Kennfeld_v2 (14)_korrigiert.csv,C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (14)_korrigiert.csv,168,2026-08-27 08:21:42.504000+00:00,C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (14)_korrigiert.csv|Probe=4,1,0.0,0.0,18.102,36.204,36.204,909.45,0.0,999.96,False,not selected,1.3163594670674208,0.0,36.204,999.96,1.8102724108964359,3.6205448217928717,3.6205448217928717,0.0,90.94863794551782,100.0,1006.2200825420701,1538.8115772693739,ok,-0.8080825420701103,2.38342273062608
168,2026-08-27,08:23:42.506,2,4,90.51,909.45,0.0,0.0,0.0,0.0,0.0,100.0,1005.43,0.002727923,0.01074219,1541.082,0.02549733,0.1032715,22.70407,0.001796501,1497.828,0.0009767929,6.895888,6.863462e-05,100,0,1,0,Kennfeld_v2 (14)_korrigiert.csv,C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (14)_korrigiert.csv,169,2026-08-27 08:23:42.506000+00:00,C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (14)_korrigiert.csv|Probe=4,1,0.033333888888888885,0.033333888888888885,18.102,36.204,36.204,909.45,0.0,999.96,False,not selected,1.3163594670674208,0.04387938021306239,36.16012061978694,999.916120619787,1.8103518511912455,3.616315396272788,3.620703702382491,0.0,90.95262905015348,100.0,1006.2254657312151,1538.7881169370698,ok,-0.7954657312151312,2.293883062930263
169,2026-08-27,08:25:42.507,3,4,90.51,909.45,0.0,0.0,0.0,0.0,0.0,100.0,1005.44,0.002691666,0.009521484,1541.023,0.02032704,0.09973145,22.71082,0.002235276,1497.832,0.001175432,6.896049,5.469877e-05,100,1,1,1,Kennfeld_v2 (14)_korrigiert.csv,C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (14)_korrigiert.csv,170,2026-08-27 08:25:42.507000+00:00,C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (14)_korrigiert.csv|Probe=4,1,0.06666749999999999,0.06666749999999999,18.102,36.204,36.204,909.45,0.0,999.96,True,quality flags,1.3163594670674208,0.08775839477071726,36.116241605229284,999.8722416052293,1.8104312977964492,3.612085634785403,3.6208625955928984,0.0,90.95662047182525,100.0,1006.230960869569,1538.7640169133108,ok,-0.7909608695689485,2.2589830866891134
170,2026-08-27,08:27:42.510,4,4,90.51,909.45,0.0,0.0,0.0,0.0,0.0,100.0,1005.448,0.002297311,0.008850098,1540.978,0.02302956,0.1134033,22.7204,0.001824217,1497.835,0.000789593,6.896172,6.200865e-05,100,1,1,1,Kennfeld_v2 (14)_korrigiert.csv,C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (14)_korrigiert.csv,171,2026-08-27 08:27:42.510000+00:00,C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (14)_korrigiert.csv|Probe=4,1,0.10000166666666666,0.10000166666666666,18.102,36.204,36.204,909.45,0.0,999.96,True,quality flags,1.3163594670674208,0.1316381406391872,36.07236185936081,999.8283618593608,1.8105107526992006,3.6078554315340448,3.621021505398401,0.0,90.96061231036835,100.0,1006.2355727455796,1538.745114197059,ok,-0.7875727455796095,2.232885802941155
171,2026-08-27,08:29:42.512,5,4,90.51,909.45,0.0,0.0,0.0,0.0,0.0,100.0,1005.456,0.002075649,0.007507324,1540.919,0.01618988,0.07250977,22.72723,0.001707074,1497.839,0.0008585331,6.89633,4.366728e-05,100,1,1,1,Kennfeld_v2 (14)_korrigiert.csv,C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (14)_korrigiert.csv,172,2026-08-27 08:29:42.512000+00:00,C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (14)_korrigiert.csv|Probe=4,1,0.13333555555555554,0.13333555555555554,18.102,36.204,36.204,909.45,0.0,999.96,True,quality flags,1.3163594670674208,0.17551752085224956,36.02848247914775,999.7844824791478,1.810590213914182,3.603624892217627,3.621180427828364,0.0,90.96460446603983,100.0,1006.2410478535353,1538.7211656502523,ok,-0.785047853535275,2.1978343497478363
172,2026-08-27,08:31:42.513,6,4,90.51,909.45,0.0,0.0,0.0,0.0,0.0,100.0,1005.463,0.00198125,0.008239746,1540.872,0.01796841,0.08105469,22.73334,0.001372374,1497.842,0.0006508324,6.896458,4.84009e-05,100,1,1,1,Kennfeld_v2 (14)_korrigiert.csv,C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (14)_korrigiert.csv,173,2026-08-27 08:31:42.513000+00:00,C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (14)_korrigiert.csv|Probe=4,1,0.16666916666666667,0.16666916666666667,18.102,36.204,36.204,909.45,0.0,999.96,True,quality flags,1.3163594670674208,0.21939653540990448,35.984603464590094,999.7406034645901,1.810669681442138,3.5993940167965417,3.621339362884276,0.0,90.96859693887704,100.0,1006.2467506449617,1538.6958986442764,ok,-0.7837506449617422,2.176101355723631
173,2026-08-27,08:33:42.516,7,4,90.51,909.45,0.0,0.0,0.0,0.0,0.0,100.0,1005.47,0.001763186,0.006591797,1540.819,0.01639983,0.07788086,22.73572,0.0007430151,1497.844,0.0006217844,6.896601,4.400299e-05,100,1,1,1,Kennfeld_v2 (14)_korrigiert.csv,C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (14)_korrigiert.csv,174,2026-08-27 08:33:42.516000+00:00,C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (14)_korrigiert.csv|Probe=4,1,0.2000033333333333,0.2000033333333333,18.102,36.204,36.204,909.45,0.0,999.96,True,quality flags,1.3163594670674208,0.2632762812783744,35.94072371872163,999.6967237187216,1.810749157270745,3.5951626994462416,3.62149831454149,0.0,90.97258982874152,100.0,1006.2536230877306,1538.663787988369,ok,-0.7836230877305752,2.155212011630965
174,2026-08-27,08:35:42.518,8,4,90.51,909.45,0.0,0.0,0.0,0.0,0.0,100.0,1005.476,0.001288379,0.006164551,1540.781,0.01447927,0.07019043,22.73976,0.001534271,1497.846,0.0006425465,6.896703,3.907911e-05,100,1,1,1,Kennfeld_v2 (14)_korrigiert.csv,C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (14)_korrigiert.csv,175,2026-08-27 08:35:42.518000+00:00,C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (14)_korrigiert.csv|Probe=4,1,0.23333722222222222,0.23333722222222222,18.102,36.204,36.204,909.45,0.0,999.96,True,quality flags,1.3163594670674208,0.3071556614914368,35.896844338508565,999.6528443385085,1.8108286394141635,3.5909310458934636,3.621657278828327,0.0,90.97658303586405,100.0,1006.259978227595,1538.6347274386073,ok,-0.7839782275949574,2.146272561392607
175,2026-08-27,08:37:42.520,9,4,90.51,909.45,0.0,0.0,0.0,0.0,0.0,100.0,1005.481,0.001475198,0.005310059,1540.745,0.01445697,0.0682373,22.74515,0.001621311,1497.848,0.0006974785,6.896802,3.904071e-05,100,1,1,1,Kennfeld_v2 (14)_korrigiert.csv,C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (14)_korrigiert.csv,176,2026-08-27 08:37:42.520000+00:00,C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (14)_korrigiert.csv|Probe=4,1,0.2666711111111111,0.2666711111111111,18.102,36.204,36.204,909.45,0.0,999.96,True,quality flags,1.3163594670674208,0.3510350417044991,35.8529649582955,999.6089649582956,1.8109081285355648,3.586699020830742,3.6218162570711296,0.0,90.98057659356256,100.0,1006.2659132763933,1538.6081478869478,ok,-0.784913276393354,2.1368521130521003
176,2026-08-27,08:39:42.522,10,4,90.51,909.45,0.0,0.0,0.0,0.0,0.0,100.0,1005.485,0.001089701,0.004882812,1540.721,0.01457188,0.0670166,22.7523,0.002388577,1497.851,0.0007512548,6.896869,3.936912e-05,100,1,1,1,Kennfeld_v2 (14)_korrigiert.csv,C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (14)_korrigiert.csv,177,2026-08-27 08:39:42.522000+00:00,C:\dev\masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (14)_korrigiert.csv|Probe=4,1,0.300005,0.300005,18.102,36.204,36.204,909.45,0.0,999.96,True,quality flags,1.3163594670674208,0.3949144219175616,35.80908557808244,999.5650855780825,1.8109876246358683,3.5824666242091507,3.6219752492717365,0.0,90.98457050188324,100.0,1006.2713001198114,1538.584801508262,ok,-0.786300119811358,2.136198491738014
