SeqNo,Date,UTC Time,Nr,ProbeNr,m_SL120,m_Wasser,m_IPA,m_PG,m_MG,m_vorher,m_nachher,Pumpe_pct,Rho_M,Rho_S,Rho_Sp,C_M,C_S,C_Sp,T_M,T_S,Per_M,Per_S,RunT_M,RunT_S,N,Stabil,SensOK,Gueltig,Source_record,Timestamp,Phase,Phase_elapsed_min,Exclusion_reason,Used
87,2026-08-21,09:35:18.227,22,3,90.5,909.3,0.0,0.0,0.0,0.0,0.0,100.0,1004.825,0.00965446,0.03692627,1542.249,0.04472328,0.1865234,23.03746,0.005983352,1497.754,0.0009524195,6.892856,0.0001180896,100,0,1,0,87,2026-08-21 09:35:18.227000+00:00,1,0.0,,True
88,2026-08-21,09:37:18.230,23,3,90.5,909.3,0.0,0.0,0.0,0.0,0.0,100.0,1004.849,0.005016189,0.01696777,1542.107,0.03962072,0.1787109,23.01571,0.005516862,1497.755,0.0004018463,6.893231,0.0001046074,100,0,1,0,88,2026-08-21 09:37:18.230000+00:00,1,2.00005,,True
89,2026-08-21,09:39:18.232,24,3,90.5,909.3,0.0,0.0,0.0,0.0,0.0,100.0,1004.877,0.01009229,0.0345459,1541.944,0.05414213,0.2143555,22.98473,0.01242856,1497.754,0.0009254171,6.893659,0.0001416167,100,0,1,0,89,2026-08-21 09:39:18.232000+00:00,1,4.000083333333333,,True
90,2026-08-21,09:41:18.234,25,3,90.5,909.3,0.0,0.0,0.0,0.0,0.0,100.0,1004.915,0.009593928,0.03015137,1541.721,0.05724676,0.2277832,22.92246,0.01789627,1497.749,0.001646254,6.894238,0.0001485698,100,0,1,0,90,2026-08-21 09:41:18.234000+00:00,1,6.000116666666667,,True
91,2026-08-21,09:43:18.236,26,3,90.5,909.3,0.0,0.0,0.0,0.0,0.0,100.0,1004.942,0.005729487,0.02191162,1541.556,0.03550616,0.1622314,22.87024,0.0105288,1497.745,0.0008337185,6.894664,9.243513e-05,100,0,1,0,91,2026-08-21 09:43:18.236000+00:00,1,8.00015,,True
92,2026-08-21,09:45:18.238,27,3,90.5,909.3,0.0,0.0,0.0,0.0,0.0,100.0,1004.962,0.004276433,0.01800537,1541.441,0.02920001,0.1343994,22.83823,0.005514212,1497.744,0.0002025274,6.894963,7.68127e-05,100,0,1,0,92,2026-08-21 09:45:18.238000+00:00,1,10.000183333333332,,True
93,2026-08-21,09:47:18.240,28,3,90.5,909.3,0.0,0.0,0.0,0.0,0.0,100.0,1004.976,0.003633458,0.01135254,1541.354,0.0237383,0.1071777,22.821,0.003436239,1497.744,0.0003818233,6.895192,6.276666e-05,100,0,1,0,93,2026-08-21 09:47:18.240000+00:00,1,12.000216666666667,,True
94,2026-08-21,09:49:18.242,29,3,90.5,909.3,0.0,0.0,0.0,0.0,0.0,100.0,1004.994,0.005740904,0.0189209,1541.248,0.03594041,0.1450195,22.80038,0.008786435,1497.743,0.0007952013,6.895471,9.401724e-05,100,0,1,0,94,2026-08-21 09:49:18.242000+00:00,1,14.00025,,True
95,2026-08-21,09:51:18.244,30,3,90.5,909.3,0.0,0.0,0.0,0.0,0.0,100.0,1005.018,0.005696333,0.019104,1541.097,0.03832928,0.151001,22.75437,0.01299034,1497.739,0.001383548,6.895862,9.936278e-05,100,0,1,0,95,2026-08-21 09:51:18.244000+00:00,1,16.000283333333336,,True
96,2026-08-21,09:53:18.246,31,3,90.5,909.3,0.0,0.0,0.0,0.0,0.0,100.0,1005.036,0.003411736,0.0135498,1540.989,0.02571304,0.1124268,22.71111,0.007560941,1497.734,0.0005963009,6.896141,6.698331e-05,100,0,1,0,96,2026-08-21 09:53:18.246000+00:00,1,18.000316666666667,,True
