SeqNo,Date,UTC Time,Nr,ProbeNr,m_SL120,m_Wasser,m_IPA,m_PG,m_MG,m_vorher,m_nachher,Pumpe_pct,Rho_M,Rho_S,Rho_Sp,C_M,C_S,C_Sp,T_M,T_S,Per_M,Per_S,RunT_M,RunT_S,N,Stabil,SensOK,Gueltig,Source_record,Timestamp,Phase,Phase_elapsed_min,Exclusion_reason,Used,Elapsed_h,none_Loss_IPA_g,none_Loss_Water_g,none_Al_mass_g,none_Al_wt_pct,none_IPA_mass_g,none_IPA_wt_pct,none_PG_mass_g,none_PG_wt_pct,none_MG_mass_g,none_MG_wt_pct,none_Water_mass_g,none_Water_wt_pct,none_Rho_physics,none_Rho_base_prediction,none_Rho_fit_with_offset,none_Rho_residual,none_C_physics,none_C_base_prediction,none_C_fit_with_offset,none_C_residual,ipa_Loss_IPA_g,ipa_Loss_Water_g,ipa_Al_mass_g,ipa_Al_wt_pct,ipa_IPA_mass_g,ipa_IPA_wt_pct,ipa_PG_mass_g,ipa_PG_wt_pct,ipa_MG_mass_g,ipa_MG_wt_pct,ipa_Water_mass_g,ipa_Water_wt_pct,ipa_Rho_physics,ipa_Rho_base_prediction,ipa_Rho_fit_with_offset,ipa_Rho_residual,ipa_C_physics,ipa_C_base_prediction,ipa_C_fit_with_offset,ipa_C_residual,mixed_Loss_IPA_g,mixed_Loss_Water_g,mixed_Al_mass_g,mixed_Al_wt_pct,mixed_IPA_mass_g,mixed_IPA_wt_pct,mixed_PG_mass_g,mixed_PG_wt_pct,mixed_MG_mass_g,mixed_MG_wt_pct,mixed_Water_mass_g,mixed_Water_wt_pct,mixed_Rho_physics,mixed_Rho_base_prediction,mixed_Rho_fit_with_offset,mixed_Rho_residual,mixed_C_physics,mixed_C_base_prediction,mixed_C_fit_with_offset,mixed_C_residual
658,2026-09-07,10:38:16.054,56,9,90.96,1009.71,0.0,15.01,0.0,0.0,0.0,100.0,1005.748,0.005477304,0.01751709,1543.975,0.0110114,0.05419922,22.97371,0.002749398,1497.963,0.001790285,6.888231,2.980093e-05,100,0,1,0,658,2026-09-07 10:38:16.054000+00:00,3,0.0,,True,0.0,0.0,0.0,18.192,1.6305750752904058,36.384,3.2611501505808116,51.394,4.606517997992255,0.0,0.0,1009.71,90.50175677613652,1006.5742335763854,1006.5742335763854,1005.7867541261999,-0.03875412619981944,1541.4252835983045,1541.4252835983045,1543.833911329473,0.14108867052686946,0.0,0.0,18.192,1.6305750752904058,36.384,3.2611501505808116,51.394,4.606517997992255,0.0,0.0,1009.71,90.50175677613652,1006.5742335763854,1006.5742335763854,1005.7612230547661,-0.01322305476605834,1541.4252835983045,1541.4252835983045,1543.9566755458968,0.018324454103094467,0.0,0.0,18.192,1.6305750752904058,36.384,3.2611501505808116,51.394,4.606517997992255,0.0,0.0,1009.71,90.50175677613652,1006.5742335763854,1006.5742335763854,1005.7571636807226,-0.009163680722508616,1541.4252835983045,1541.4252835983045,1543.9354240624214,0.03957593757854738
659,2026-09-07,10:40:16.056,57,9,90.96,1009.71,0.0,15.01,0.0,0.0,0.0,100.0,1005.757,0.0007340887,0.00378418,1543.957,0.009543575,0.04577637,22.98405,0.003043793,1497.966,0.000622839,6.888281,2.567214e-05,100,1,1,1,659,2026-09-07 10:40:16.056000+00:00,3,2.000033333333333,,True,0.033333888888888885,0.0,0.0,18.192,1.6305750752904058,36.384,3.2611501505808116,51.394,4.606517997992255,0.0,0.0,1009.71,90.50175677613652,1006.5708463493728,1006.5708463493728,1005.7833668991873,-0.026366899187337367,1541.442315403165,1541.442315403165,1543.8509431343334,0.10605686566668737,0.018206902453366883,0.0,18.192,1.6306016852554708,36.365793097546636,3.2595714330755996,51.394,4.6065931734839305,0.0,0.0,1009.71,90.503233708185,1006.5736804634686,1006.5736804634686,1005.7606699418493,-0.0036699418493526537,1541.428653739012,1541.428653739012,1543.9600456866042,-0.0030456866040822206,0.018159974716257347,0.05230532657630741,18.192,1.630678067386105,36.365840025283745,3.259728327358287,51.394,4.606808959720837,0.0,0.0,1009.6576946734237,90.50278464553477,1006.5741304684377,1006.5741304684377,1005.7570605727749,-6.057277494164737e-05,1541.431029963018,1541.431029963018,1543.941170427135,0.015829572865186492
660,2026-09-07,10:42:16.058,58,9,90.96,1009.71,0.0,15.01,0.0,0.0,0.0,100.0,1005.757,0.0006906429,0.003540039,1543.956,0.00854353,0.03259277,22.99597,0.003414179,1497.969,0.0007319943,6.888286,2.287838e-05,100,1,1,1,660,2026-09-07 10:42:16.058000+00:00,3,4.000066666666666,,True,0.06666777777777777,0.0,0.0,18.192,1.6305750752904058,36.384,3.2611501505808116,51.394,4.606517997992255,0.0,0.0,1009.71,90.50175677613652,1006.5669415379157,1006.5669415379157,1005.7794620877302,-0.022462087730218627,1541.4619390104747,1541.4619390104747,1543.8705667416432,0.08543325835671567,0.036413804906733765,0.0,18.192,1.630628296089066,36.347586195093264,3.2579926640421824,51.394,4.606668351429279,0.0,0.0,1009.71,90.50471068843946,1006.5726102725894,1006.5726102725894,1005.7595997509701,-0.002599750970148307,1541.4346200167745,1541.4346200167745,1543.9660119643668,-0.010011964366867687,0.036319949432514695,0.10461065315261482,18.192,1.6307810724932155,36.34768005056748,3.258306324511032,51.394,4.607099958207801,0.0,0.0,1009.6053893468475,90.50381264478796,1006.5735104488824,1006.5735104488824,1005.7564405532196,0.0005594467803575753,1541.4393695965068,1541.4393695965068,1543.9495100606237,0.006489939376251641
661,2026-09-07,10:44:16.060,59,9,90.96,1009.71,0.0,15.01,0.0,0.0,0.0,100.0,1005.757,0.0006544575,0.003295898,1543.953,0.008548569,0.03820801,23.00769,0.002855695,1497.972,0.0005843941,6.888297,2.280422e-05,100,1,1,1,661,2026-09-07 10:44:16.060000+00:00,3,6.0001,,True,0.10000166666666666,0.0,0.0,18.192,1.6305750752904058,36.384,3.2611501505808116,51.394,4.606517997992255,0.0,0.0,1009.71,90.50175677613652,1006.5631022429782,1006.5631022429782,1005.7756227927927,-0.018622792792712062,1541.4812221472762,1541.4812221472762,1543.8898498784447,0.06315012155528166,0.05462070736010065,0.0,18.192,1.6306549077912338,36.3293792926399,3.2564138434780383,51.394,4.606743531828422,0.0,0.0,1009.71,90.5061877169023,1006.5716060982437,1006.5716060982437,1005.7585955766244,-0.0015955766244815095,1541.4402500482574,1541.4402500482574,1543.9716419958497,-0.018641995849748128,0.054479924148772035,0.15691597972892224,18.192,1.630884090614204,36.32952007585123,3.2568841420050076,51.394,4.607390993460114,0.0,0.0,1009.5530840202711,90.50484077392066,1006.5729566152756,1006.5729566152756,1005.7558867196128,0.0011132803871305441,1541.4473701583352,1541.4473701583352,1543.957510622452,-0.0045106224520168325
662,2026-09-07,10:46:16.062,60,9,90.96,1009.71,0.0,15.01,0.0,0.0,0.0,100.0,1005.757,0.0006895786,0.003112793,1543.955,0.009133289,0.04443359,23.01843,0.002398741,1497.974,0.0005815476,6.888296,2.408954e-05,100,1,1,1,662,2026-09-07 10:46:16.062000+00:00,3,8.000133333333332,,True,0.13333555555555554,0.0,0.0,18.192,1.6305750752904058,36.384,3.2611501505808116,51.394,4.606517997992255,0.0,0.0,1009.71,90.50175677613652,1006.5595839808417,1006.5595839808417,1005.7721045306562,-0.015104530656230963,1541.4988831029643,1541.4988831029643,1543.9075108341328,0.04748916586709129,0.07282760981346753,0.0,18.192,1.6306815203620166,36.311172390186535,3.2548349713806433,51.394,4.60681871468148,0.0,0.0,1009.71,90.50766479357586,1006.570923417558,1006.570923417558,1005.7579128959387,-0.0009128959387680879,1541.4442614713373,1541.4442614713373,1543.9756534189296,-0.020653418929668987,0.07263989886502939,0.20922130630522964,18.192,1.6309871217515364,36.31136010113497,3.2554617798061622,51.394,4.6076820654847435,0.0,0.0,1009.5007786936948,90.50586903295756,1006.5727244629293,1006.5727244629293,1005.7556545672664,0.001345432733501184,1541.4537495387099,1541.4537495387099,1543.9638900028267,-0.008890002826774435
663,2026-09-07,10:48:16.064,61,9,90.96,1009.71,0.0,15.01,0.0,0.0,0.0,100.0,1005.758,0.0006966566,0.003295898,1543.958,0.008233023,0.04187012,23.02864,0.00261295,1497.976,0.0005048973,6.888289,2.201186e-05,100,1,1,1,663,2026-09-07 10:48:16.064000+00:00,3,10.000166666666667,,True,0.16666944444444445,0.0,0.0,18.192,1.6305750752904058,36.384,3.2611501505808116,51.394,4.606517997992255,0.0,0.0,1009.71,90.50175677613652,1006.5562393383689,1006.5562393383689,1005.7687598881834,-0.010759888183315525,1541.5156638560288,1541.5156638560288,1543.9242915871973,0.03370841280275272,0.09103451226683443,0.0,18.192,1.6307081338014575,36.29296548773316,3.253256047747474,51.394,4.606893899988572,0.0,0.0,1009.71,90.50914191846249,1006.5704148100323,1006.5704148100323,1005.757404288413,0.0005957115870387497,1541.4473961398423,1541.4473961398423,1543.9787880874346,-0.020788087434539193,0.09079987358128674,0.2615266328815371,18.192,1.63109016590768,36.29320012641871,3.2540392378804377,51.394,4.607973174288659,0.0,0.0,1009.4484733671185,90.50689742192323,1006.5726665748247,1006.5726665748247,1005.7555966791618,0.002403320838197942,1541.4592496398195,1541.4592496398195,1543.9693901039363,-0.011390103936264495
664,2026-09-07,10:50:16.066,62,9,90.96,1009.71,0.0,15.01,0.0,0.0,0.0,100.0,1005.758,0.0007872715,0.00378418,1543.959,0.008065986,0.03649902,23.03769,0.002127988,1497.978,0.0004418101,6.88829,2.156061e-05,100,1,1,1,664,2026-09-07 10:50:16.066000+00:00,3,12.0002,,True,0.2000033333333333,0.0,0.0,18.192,1.6305750752904058,36.384,3.2611501505808116,51.394,4.606517997992255,0.0,0.0,1009.71,90.50175677613652,1006.553274694169,1006.553274694169,1005.7657952439835,-0.007795243983423461,1541.5305310147496,1541.5305310147496,1543.9391587459181,0.01984125408193904,0.1092414147202013,0.0,18.192,1.6307347481095984,36.2747585852798,3.2516770725760082,51.394,4.606969087749818,0.0,0.0,1009.71,90.51061909156456,1006.5702865979083,1006.5702865979083,1005.757276076289,0.0007239237110070462,1541.448619726468,1541.448619726468,1543.9800116740603,-0.021011674060218866,0.10895984829754407,0.3138319594578445,18.192,1.6311932230851018,36.275040151702456,3.252616516193767,51.394,4.608264319878832,0.0,0.0,1009.3961680405422,90.5079259408423,1006.5729892993648,1006.5729892993648,1005.755919403702,0.002080596298014825,1541.4628364965236,1541.4628364965236,1543.9729769606404,-0.013976960640320613
665,2026-09-07,10:52:16.068,63,9,90.96,1009.71,0.0,15.01,0.0,0.0,0.0,100.0,1005.759,0.0007485672,0.003356934,1543.959,0.007771019,0.03625488,23.04564,0.002336289,1497.979,0.0004876937,6.888293,2.06988e-05,100,1,1,1,665,2026-09-07 10:52:16.068000+00:00,3,14.000233333333334,,True,0.23333722222222222,0.0,0.0,18.192,1.6305750752904058,36.384,3.2611501505808116,51.394,4.606517997992255,0.0,0.0,1009.71,90.50175677613652,1006.5506703932425,1006.5506703932425,1005.763190943057,-0.0041909430569830874,1541.5435856363467,1541.5435856363467,1543.9522133675152,0.006786632484818256,0.1274483171735682,0.0,18.192,1.6307613632864821,36.256551682826434,3.250098045863722,51.394,4.60704427796534,0.0,0.0,1009.71,90.51209631288444,1006.5705190940757,1006.5705190940757,1005.7575085724565,0.001491427543555801,1541.4480327550202,1541.4480327550202,1543.9794247026125,-0.02042470261244489,0.12711982301380143,0.3661372860341519,18.192,1.6312962932862713,36.2568801769862,3.2511936147120752,51.394,4.608555502262237,0.0,0.0,1009.3438627139659,90.50895458973943,1006.5736729643858,1006.5736729643858,1005.7566030687229,0.0023969312770759643,1541.4646108390707,1541.4646108390707,1543.9747513031875,-0.01575130318747142
666,2026-09-07,10:54:16.070,64,9,90.96,1009.71,0.0,15.01,0.0,0.0,0.0,100.0,1005.759,0.0006198715,0.002868652,1543.964,0.00730716,0.03417969,23.05517,0.001904586,1497.981,0.0004018744,6.888281,1.941724e-05,100,1,1,1,666,2026-09-07 10:54:16.070000+00:00,3,16.000266666666665,,True,0.2666711111111111,0.0,0.0,18.192,1.6305750752904058,36.384,3.2611501505808116,51.394,4.606517997992255,0.0,0.0,1009.71,90.50175677613652,1006.54754850771,1006.54754850771,1005.7600690575244,-0.0010690575244325373,1541.5592280056158,1541.5592280056158,1543.9678557367843,-0.003855736784316832,0.14565521962693506,0.0,18.192,1.6307879793321516,36.23834478037306,3.2485189676080917,51.394,4.607119470635256,0.0,0.0,1009.71,90.51357358242451,1006.570234560465,1006.570234560465,1005.7572240388457,0.0017759611542942366,1541.4500386486693,1541.4500386486693,1543.9814305962616,-0.017430596261647224,0.14527979773005878,0.4184426126104593,18.192,1.6313993765136563,36.23872020226994,3.2497705334012763,51.394,4.608846721445847,0.0,0.0,1009.2915573873896,90.50998336863921,1006.5738397440645,1006.5738397440645,1005.7567698484016,0.0022301515983826903,1541.4689748762646,1541.4689748762646,1543.9791153403814,-0.015115340381498754
667,2026-09-07,10:56:16.072,65,9,90.96,1009.71,0.0,15.01,0.0,0.0,0.0,100.0,1005.758,0.0006609584,0.002807617,1543.969,0.006886348,0.03442383,23.06432,0.002437817,1497.983,0.0004938765,6.888272,1.822652e-05,100,1,1,1,667,2026-09-07 10:56:16.072000+00:00,3,18.0003,,True,0.300005,0.0,0.0,18.192,1.6305750752904058,36.384,3.2611501505808116,51.394,4.606517997992255,0.0,0.0,1009.71,90.50175677613652,1006.5445511042177,1006.5445511042177,1005.7570716540322,0.0009283459678499639,1541.5742397158685,1541.5742397158685,1543.982867447037,-0.013867447037000602,0.163862122080302,0.0,18.192,1.630814596246648,36.2201378779197,3.246939837806593,51.394,4.607194665759687,0.0,0.0,1009.71,90.51505090018706,1006.5700749285273,1006.5700749285273,1005.7570644069081,0.0009355930919809907,1541.4514167608656,1541.4514167608656,1543.982808708458,-0.013808708457872854,0.16343977244631613,0.4707479391867668,18.192,1.6315024727697274,36.22056022755368,3.2483472722272797,51.394,4.6091379774366406,0.0,0.0,1009.2392520608132,90.51101227756634,1006.574131632491,1006.574131632491,1005.7570617368282,0.0009382631718608536,1541.4727088284144,1541.4727088284144,1543.9828492925312,-0.013849292531176616
