SeqNo,Date,UTC Time,Nr,ProbeNr,m_SL120,m_Wasser,m_IPA,m_PG,m_MG,m_vorher,m_nachher,Pumpe_pct,Rho_M,Rho_S,Rho_Sp,C_M,C_S,C_Sp,T_M,T_S,Per_M,Per_S,RunT_M,RunT_S,N,Stabil,SensOK,Gueltig,Source_record,Timestamp,Phase,Phase_elapsed_min,Exclusion_reason,Used,Fit_used
629,2026-09-07,09:08:25.839,27,9,90.96,909.63,0.0,0.0,0.0,0.0,0.0,100.0,1005.543,0.0006053919,0.002563477,1540.252,0.007210524,0.03344727,22.3999,0.006397493,1497.794,0.001257914,6.898029,1.81523e-05,100,1,1,1,629,2026-09-07 09:08:25.839000+00:00,1,0.0,,True,True
630,2026-09-07,09:10:25.841,28,9,90.96,909.63,0.0,0.0,0.0,0.0,0.0,100.0,1005.542,0.0009716341,0.004150391,1540.276,0.008652131,0.04467773,22.42177,0.005218286,1497.798,0.0009719462,6.897971,2.212768e-05,100,1,1,1,630,2026-09-07 09:10:25.841000+00:00,1,2.000033333333333,,True,True
631,2026-09-07,09:12:25.843,29,9,90.96,909.63,0.0,0.0,0.0,0.0,0.0,100.0,1005.54,0.0005939396,0.002807617,1540.292,0.006238205,0.03063965,22.44124,0.003730904,1497.802,0.0007123146,6.897932,1.631107e-05,100,1,1,1,631,2026-09-07 09:12:25.843000+00:00,1,4.000066666666666,,True,True
632,2026-09-07,09:14:25.845,30,9,90.96,909.63,0.0,0.0,0.0,0.0,0.0,100.0,1005.54,0.0004779922,0.002075195,1540.302,0.006389807,0.03466797,22.45623,0.00364117,1497.805,0.0007818153,6.897912,1.66553e-05,100,1,1,1,632,2026-09-07 09:14:25.845000+00:00,1,6.0001,,True,True
633,2026-09-07,09:16:25.847,31,9,90.96,909.63,0.0,0.0,0.0,0.0,0.0,100.0,1005.54,0.0004587281,0.00201416,1540.31,0.00615256,0.02770996,22.46985,0.003738742,1497.807,0.000821111,6.897893,1.603653e-05,100,1,1,1,633,2026-09-07 09:16:25.847000+00:00,1,8.000133333333332,,True,True
634,2026-09-07,09:18:25.849,32,9,90.96,909.63,0.0,0.0,0.0,0.0,0.0,100.0,1005.54,0.0004918654,0.002319336,1540.323,0.006105707,0.03259277,22.4846,0.003700477,1497.811,0.0007951776,6.897863,1.592138e-05,100,1,1,1,634,2026-09-07 09:18:25.849000+00:00,1,10.000166666666667,,True,True
635,2026-09-07,09:20:25.851,33,9,90.96,909.63,0.0,0.0,0.0,0.0,0.0,100.0,1005.54,0.0004766836,0.002258301,1540.331,0.005403562,0.02600098,22.49834,0.00328032,1497.813,0.0006347407,6.897844,1.42906e-05,100,1,1,1,635,2026-09-07 09:20:25.851000+00:00,1,12.0002,,True,True
636,2026-09-07,09:22:25.853,34,9,90.96,909.63,0.0,0.0,0.0,0.0,0.0,100.0,1005.54,0.0005686777,0.002563477,1540.339,0.005824553,0.03393555,22.51012,0.003419458,1497.816,0.0007348674,6.897827,1.525553e-05,100,1,1,1,636,2026-09-07 09:22:25.853000+00:00,1,14.000233333333334,,True,True
637,2026-09-07,09:24:25.855,35,9,90.96,909.63,0.0,0.0,0.0,0.0,0.0,100.0,1005.54,0.0005525211,0.002746582,1540.348,0.005709718,0.03283691,22.5228,0.003206155,1497.818,0.0006579363,6.897806,1.500212e-05,100,1,1,1,637,2026-09-07 09:24:25.855000+00:00,1,16.000266666666665,,True,True
638,2026-09-07,09:26:25.857,36,9,90.96,909.63,0.0,0.0,0.0,0.0,0.0,100.0,1005.54,0.0004359952,0.001831055,1540.356,0.005139723,0.02502441,22.53539,0.003130744,1497.821,0.0006396258,6.897788,1.358393e-05,100,1,1,1,638,2026-09-07 09:26:25.857000+00:00,1,18.0003,,True,True
639,2026-09-07,09:28:25.859,37,9,90.96,909.63,0.0,0.0,0.0,0.0,0.0,100.0,1005.54,0.0005531447,0.002746582,1540.367,0.006064904,0.02990723,22.54853,0.003312102,1497.824,0.000643484,6.897762,1.583861e-05,100,1,1,1,639,2026-09-07 09:28:25.859000+00:00,1,20.000333333333334,,True,True
640,2026-09-07,09:30:25.861,38,9,90.96,909.63,0.0,0.0,0.0,0.0,0.0,100.0,1005.539,0.0005358679,0.002502441,1540.375,0.004738953,0.02758789,22.56065,0.002890444,1497.826,0.0005884534,6.897743,1.264562e-05,100,1,1,1,640,2026-09-07 09:30:25.861000+00:00,1,22.000366666666665,,True,True
641,2026-09-07,09:32:25.863,39,9,90.96,909.63,0.0,0.0,0.0,0.0,0.0,100.0,1005.539,0.0005782093,0.002929688,1540.382,0.005838647,0.03063965,22.57117,0.003342358,1497.828,0.000658941,6.897728,1.526594e-05,100,1,1,1,641,2026-09-07 09:32:25.863000+00:00,1,24.0004,,True,True
642,2026-09-07,09:34:25.865,40,9,90.96,909.63,0.0,0.0,0.0,0.0,0.0,100.0,1005.539,0.0005457579,0.002624512,1540.4,0.006204683,0.0279541,22.58609,0.004455169,1497.832,0.0009502084,6.897684,1.580616e-05,100,1,1,1,642,2026-09-07 09:34:25.865000+00:00,1,26.000433333333334,,True,True
643,2026-09-07,09:53:08.224,41,9,90.96,909.63,0.0,15.01,0.0,0.0,0.0,100.0,1006.602,0.001378535,0.005371094,1549.199,0.008559042,0.04272461,22.83602,0.002030174,1498.14,0.0006947616,6.874305,2.279295e-05,100,1,1,1,643,2026-09-07 09:53:08.224000+00:00,2,0.0,,True,True
644,2026-09-07,09:55:08.226,42,9,90.96,909.63,0.0,15.01,0.0,0.0,0.0,100.0,1006.607,0.00109653,0.005187988,1549.182,0.007800825,0.03674316,22.84152,0.001363201,1498.142,0.0005109308,6.874351,2.072876e-05,100,1,1,1,644,2026-09-07 09:55:08.226000+00:00,2,2.000033333333333,,True,True
645,2026-09-07,09:57:08.228,43,9,90.96,909.63,0.0,15.01,0.0,0.0,0.0,100.0,1006.611,0.007874889,0.09051514,1549.171,0.007464656,0.0402832,22.84765,0.001751602,1498.144,0.002536549,6.874383,1.99274e-05,100,0,1,0,645,2026-09-07 09:57:08.228000+00:00,2,4.000066666666666,,True,True
646,2026-09-07,09:59:08.230,44,9,90.96,909.63,0.0,15.01,0.0,0.0,0.0,100.0,1006.614,0.001206118,0.005126953,1549.155,0.009663169,0.04748535,22.85083,0.0008475023,1498.145,0.0002876676,6.874426,2.55942e-05,100,1,1,1,646,2026-09-07 09:59:08.230000+00:00,2,6.0001,,True,True
647,2026-09-07,10:01:08.232,45,9,90.96,909.63,0.0,15.01,0.0,0.0,0.0,100.0,1006.618,0.001175409,0.004821777,1549.136,0.008008055,0.04455566,22.85172,0.001088804,1498.146,0.0003869627,6.874475,2.129457e-05,100,1,1,1,647,2026-09-07 10:01:08.232000+00:00,2,8.000133333333332,,True,True
648,2026-09-07,10:03:08.234,46,9,90.96,909.63,0.0,15.01,0.0,0.0,0.0,100.0,1006.621,0.001120334,0.005004883,1549.124,0.008265975,0.04638672,22.85473,0.001070659,1498.147,0.0002615125,6.874507,2.198423e-05,100,1,1,1,648,2026-09-07 10:03:08.234000+00:00,2,10.000166666666667,,True,True
649,2026-09-07,10:05:08.236,47,9,90.96,909.63,0.0,15.01,0.0,0.0,0.0,100.0,1006.625,0.001309066,0.005493164,1549.111,0.009371948,0.03808594,22.8569,0.001023945,1498.148,0.0003465723,6.874544,2.494501e-05,100,1,1,1,649,2026-09-07 10:05:08.236000+00:00,2,12.0002,,True,True
650,2026-09-07,10:07:08.238,48,9,90.96,909.63,0.0,15.01,0.0,0.0,0.0,100.0,1006.628,0.001172953,0.005371094,1549.096,0.009285718,0.04162598,22.85848,0.00121322,1498.15,0.0003330425,6.874585,2.465874e-05,100,1,1,1,650,2026-09-07 10:07:08.238000+00:00,2,14.000233333333334,,True,True
651,2026-09-07,10:09:08.240,49,9,90.96,909.63,0.0,15.01,0.0,0.0,0.0,100.0,1006.63,0.0007394826,0.003540039,1549.085,0.006034328,0.02868652,22.86169,0.0008870443,1498.151,0.0003879649,6.874615,1.600749e-05,100,1,1,1,651,2026-09-07 10:09:08.240000+00:00,2,16.000266666666665,,True,True
652,2026-09-07,10:11:08.242,50,9,90.96,909.63,0.0,15.01,0.0,0.0,0.0,100.0,1006.633,0.0008939496,0.00402832,1549.079,0.005583167,0.02709961,22.86709,0.001937618,1498.152,0.0004439292,6.87463,1.486264e-05,100,1,1,1,652,2026-09-07 10:11:08.242000+00:00,2,18.0003,,True,True
653,2026-09-07,10:13:08.244,51,9,90.96,909.63,0.0,15.01,0.0,0.0,0.0,100.0,1006.634,0.0009447874,0.004333496,1549.074,0.006465511,0.02661133,22.87236,0.001502582,1498.154,0.0004130396,6.874644,1.72257e-05,100,1,1,1,653,2026-09-07 10:13:08.244000+00:00,2,20.000333333333334,,True,True
654,2026-09-07,10:15:08.246,52,9,90.96,909.63,0.0,15.01,0.0,0.0,0.0,100.0,1006.635,0.0007931145,0.00390625,1549.073,0.005742431,0.02832031,22.87848,0.001871216,1498.156,0.0004680906,6.874649,1.523389e-05,100,1,1,1,654,2026-09-07 10:15:08.246000+00:00,2,22.000366666666665,,True,True
655,2026-09-07,10:17:08.248,53,9,90.96,909.63,0.0,15.01,0.0,0.0,0.0,100.0,1006.637,0.000736035,0.00390625,1549.07,0.006125134,0.03112793,22.885,0.00188583,1498.157,0.0004431827,6.87466,1.615257e-05,100,1,1,1,655,2026-09-07 10:17:08.248000+00:00,2,24.0004,,True,True
656,2026-09-07,10:19:08.250,54,9,90.96,909.63,0.0,15.01,0.0,0.0,0.0,100.0,1006.638,0.0006581065,0.002990723,1549.07,0.006386566,0.03112793,22.89272,0.001557282,1498.159,0.0004179861,6.874661,1.694566e-05,100,1,1,1,656,2026-09-07 10:19:08.250000+00:00,2,26.000433333333334,,True,True
657,2026-09-07,10:21:08.252,55,9,90.96,909.63,0.0,15.01,0.0,0.0,0.0,100.0,1006.639,0.0007396027,0.00378418,1549.072,0.005438694,0.02575684,22.90019,0.002853417,1498.161,0.0006098569,6.874658,1.43973e-05,100,1,1,1,657,2026-09-07 10:21:08.252000+00:00,2,28.000466666666668,,True,True
658,2026-09-07,10:38:16.054,56,9,90.96,1009.71,0.0,15.01,0.0,0.0,0.0,100.0,1005.748,0.005477304,0.01751709,1543.975,0.0110114,0.05419922,22.97371,0.002749398,1497.963,0.001790285,6.888231,2.980093e-05,100,0,1,0,658,2026-09-07 10:38:16.054000+00:00,3,0.0,,True,True
659,2026-09-07,10:40:16.056,57,9,90.96,1009.71,0.0,15.01,0.0,0.0,0.0,100.0,1005.757,0.0007340887,0.00378418,1543.957,0.009543575,0.04577637,22.98405,0.003043793,1497.966,0.000622839,6.888281,2.567214e-05,100,1,1,1,659,2026-09-07 10:40:16.056000+00:00,3,2.000033333333333,,True,True
660,2026-09-07,10:42:16.058,58,9,90.96,1009.71,0.0,15.01,0.0,0.0,0.0,100.0,1005.757,0.0006906429,0.003540039,1543.956,0.00854353,0.03259277,22.99597,0.003414179,1497.969,0.0007319943,6.888286,2.287838e-05,100,1,1,1,660,2026-09-07 10:42:16.058000+00:00,3,4.000066666666666,,True,True
661,2026-09-07,10:44:16.060,59,9,90.96,1009.71,0.0,15.01,0.0,0.0,0.0,100.0,1005.757,0.0006544575,0.003295898,1543.953,0.008548569,0.03820801,23.00769,0.002855695,1497.972,0.0005843941,6.888297,2.280422e-05,100,1,1,1,661,2026-09-07 10:44:16.060000+00:00,3,6.0001,,True,True
662,2026-09-07,10:46:16.062,60,9,90.96,1009.71,0.0,15.01,0.0,0.0,0.0,100.0,1005.757,0.0006895786,0.003112793,1543.955,0.009133289,0.04443359,23.01843,0.002398741,1497.974,0.0005815476,6.888296,2.408954e-05,100,1,1,1,662,2026-09-07 10:46:16.062000+00:00,3,8.000133333333332,,True,True
663,2026-09-07,10:48:16.064,61,9,90.96,1009.71,0.0,15.01,0.0,0.0,0.0,100.0,1005.758,0.0006966566,0.003295898,1543.958,0.008233023,0.04187012,23.02864,0.00261295,1497.976,0.0005048973,6.888289,2.201186e-05,100,1,1,1,663,2026-09-07 10:48:16.064000+00:00,3,10.000166666666667,,True,True
664,2026-09-07,10:50:16.066,62,9,90.96,1009.71,0.0,15.01,0.0,0.0,0.0,100.0,1005.758,0.0007872715,0.00378418,1543.959,0.008065986,0.03649902,23.03769,0.002127988,1497.978,0.0004418101,6.88829,2.156061e-05,100,1,1,1,664,2026-09-07 10:50:16.066000+00:00,3,12.0002,,True,True
665,2026-09-07,10:52:16.068,63,9,90.96,1009.71,0.0,15.01,0.0,0.0,0.0,100.0,1005.759,0.0007485672,0.003356934,1543.959,0.007771019,0.03625488,23.04564,0.002336289,1497.979,0.0004876937,6.888293,2.06988e-05,100,1,1,1,665,2026-09-07 10:52:16.068000+00:00,3,14.000233333333334,,True,True
666,2026-09-07,10:54:16.070,64,9,90.96,1009.71,0.0,15.01,0.0,0.0,0.0,100.0,1005.759,0.0006198715,0.002868652,1543.964,0.00730716,0.03417969,23.05517,0.001904586,1497.981,0.0004018744,6.888281,1.941724e-05,100,1,1,1,666,2026-09-07 10:54:16.070000+00:00,3,16.000266666666665,,True,True
667,2026-09-07,10:56:16.072,65,9,90.96,1009.71,0.0,15.01,0.0,0.0,0.0,100.0,1005.758,0.0006609584,0.002807617,1543.969,0.006886348,0.03442383,23.06432,0.002437817,1497.983,0.0004938765,6.888272,1.822652e-05,100,1,1,1,667,2026-09-07 10:56:16.072000+00:00,3,18.0003,,True,True
668,2026-09-07,10:58:16.074,66,9,90.96,1009.71,0.0,15.01,0.0,0.0,0.0,100.0,1005.758,0.0007609208,0.003295898,1543.976,0.007796004,0.04602051,23.07432,0.002883951,1497.985,0.0005569695,6.888254,2.061246e-05,100,1,1,1,668,2026-09-07 10:58:16.074000+00:00,3,20.000333333333334,,True,True
669,2026-09-07,11:00:16.076,67,9,90.96,1009.71,0.0,15.01,0.0,0.0,0.0,100.0,1005.758,0.0007763904,0.003356934,1543.985,0.008004499,0.04577637,23.08464,0.002529936,1497.987,0.0004817268,6.888233,2.134824e-05,100,1,1,1,669,2026-09-07 11:00:16.076000+00:00,3,22.000366666666665,,True,True
670,2026-09-07,11:02:16.078,68,9,90.96,1009.71,0.0,15.01,0.0,0.0,0.0,100.0,1005.757,0.0006450271,0.003295898,1543.996,0.009533828,0.04223633,23.09585,0.003048921,1497.99,0.0005807823,6.888208,2.499287e-05,100,1,1,1,670,2026-09-07 11:02:16.078000+00:00,3,24.0004,,True,True
671,2026-09-07,11:04:16.081,69,9,90.96,1009.71,0.0,15.01,0.0,0.0,0.0,100.0,1005.756,0.0005657321,0.002746582,1544.007,0.006883822,0.03442383,23.10782,0.002771228,1497.992,0.0005114667,6.888181,1.816299e-05,100,1,1,1,671,2026-09-07 11:04:16.081000+00:00,3,26.00045,,True,True
672,2026-09-07,11:06:16.082,70,9,90.96,1009.71,0.0,15.01,0.0,0.0,0.0,100.0,1005.755,0.0005685824,0.002502441,1544.017,0.007655513,0.03259277,23.11854,0.002714081,1497.994,0.0005191472,6.888157,2.035459e-05,100,1,1,1,672,2026-09-07 11:06:16.082000+00:00,3,28.000466666666668,,True,True
673,2026-09-07,11:08:16.085,71,9,90.96,1009.71,0.0,15.01,0.0,0.0,0.0,100.0,1005.755,0.0006080897,0.002807617,1544.027,0.008424463,0.03833008,23.12827,0.00287115,1497.996,0.0005104931,6.888133,2.232456e-05,100,1,1,1,673,2026-09-07 11:08:16.085000+00:00,3,30.000516666666666,,True,True
674,2026-09-07,11:10:16.087,72,9,90.96,1009.71,0.0,15.01,0.0,0.0,0.0,100.0,1005.755,0.0006282888,0.003051758,1544.037,0.008164421,0.03479004,23.13815,0.002225892,1497.998,0.0005257619,6.88811,2.160646e-05,100,1,1,1,674,2026-09-07 11:10:16.087000+00:00,3,32.00055,,True,True
675,2026-09-07,11:12:16.089,73,9,90.96,1009.71,0.0,15.01,0.0,0.0,0.0,100.0,1005.754,0.0005449419,0.002441406,1544.042,0.007056087,0.03540039,23.14848,0.002417546,1498.0,0.000467653,6.888098,1.879008e-05,100,1,1,1,675,2026-09-07 11:12:16.089000+00:00,3,34.00058333333333,,True,True
676,2026-09-07,11:14:16.091,74,9,90.96,1009.71,0.0,15.01,0.0,0.0,0.0,100.0,1005.754,0.0006459715,0.002929688,1544.052,0.007370114,0.03662109,23.15854,0.002330509,1498.002,0.0005093966,6.888074,1.953429e-05,100,1,1,1,676,2026-09-07 11:14:16.091000+00:00,3,36.000616666666666,,True,True
677,2026-09-07,12:27:11.178,75,9,111.24,1009.71,0.0,15.01,0.0,0.0,0.0,100.0,1007.548,0.001368154,0.00604248,1552.43,0.01688413,0.07507324,23.15479,0.01081536,1498.431,0.002079606,6.865848,4.188006e-05,100,1,1,1,677,2026-09-07 12:27:11.178000+00:00,4,0.0,,True,True
