Phase,Kind,Evidence,Method,Start_UTC,End_UTC,Duration_h,IPA_loss_g,Water_loss_g,Total_loss_g,Segment
1,pre_stir,assumed,pre_stir_total_rate,2026-09-07T08:08:25.839000+00:00,2026-09-07T09:08:25.839000+00:00,1.0,0.07692063753813369,1.9230793624618663,2.0,
1,measurement_window,fitted_model,mixed_phase_fit,2026-09-07T09:08:25.839000+00:00,2026-09-07T09:34:25.865000+00:00,0.43334055555555556,0.27235078227749737,0.624828435767069,0.8971792180445664,1.0
2,between_phases,assumed,previous_fitted_terminal_rates,2026-09-07T09:34:25.865000+00:00,2026-09-07T09:53:08.224000+00:00,0.31176638888888886,0.1959424725268615,0.44953213493819444,0.6454746074650559,
2,measurement_window,fitted_model,mixed_phase_fit,2026-09-07T09:53:08.224000+00:00,2026-09-07T10:21:08.252000+00:00,0.46667444444444445,0.2979236669751986,0.48991138094716263,0.7878350479223613,1.0
3,between_phases,assumed,previous_fitted_terminal_rates,2026-09-07T10:21:08.252000+00:00,2026-09-07T10:38:16.054000+00:00,0.28550055555555554,0.18226276036140057,0.2997163720844269,0.48197913244582746,
3,measurement_window,fitted_model,mixed_phase_fit,2026-09-07T10:38:16.054000+00:00,2026-09-07T11:14:16.090999999+00:00,0.6000102777777777,0.3245703931672758,0.91039137322076,1.234961766388036,1.0
4,between_phases,assumed,previous_fitted_terminal_rates,2026-09-07T11:14:16.091000+00:00,2026-09-07T12:27:11.178000+00:00,1.2153019444444446,0.6574071220682969,1.843969090293498,2.501376212361795,
4,measurement_window,fitted_model,mixed_phase_fit,2026-09-07T12:27:11.178000+00:00,2026-09-07T12:53:11.205000+00:00,0.43334083333333334,0.22211026266293896,2.708738308732062,2.9308485713950008,1.0
5,between_phases,assumed,previous_fitted_terminal_rates,2026-09-07T12:53:11.205000+00:00,2026-09-07T13:05:37.066000+00:00,0.2071836111111111,0.10619263808898327,1.295068780020605,1.4012614181095884,
5,measurement_window,fitted_model,mixed_phase_fit,2026-09-07T13:05:37.066000+00:00,2026-09-07T13:33:37.095000+00:00,0.4666747222222222,0.7648950364086754,0.22539274540915816,0.9902877818178335,1.0
