SeqNo,Date,UTC Time,Nr,ProbeNr,m_SL120,m_Wasser,m_IPA,m_PG,m_MG,m_vorher,m_nachher,Pumpe_pct,Rho_M,Rho_S,Rho_Sp,C_M,C_S,C_Sp,T_M,T_S,Per_M,Per_S,RunT_M,RunT_S,N,Stabil,SensOK,Gueltig,Source_record,Timestamp,Phase,Phase_elapsed_min,Exclusion_reason,Used
302,2026-08-28,10:53:56.908,23,5,90.53,909.5,0.0,0.0,2.39,0.0,0.0,100.0,1005.051,0.00152948,0.007568359,1545.469,0.0115975,0.05285645,25.08747,0.002813718,1498.228,0.001161256,6.884825,3.063132e-05,100,1,1,1,302,2026-08-28 10:53:56.908000+00:00,2,0.0,,True
303,2026-08-28,10:55:56.910,24,5,90.53,909.5,0.0,0.0,2.39,0.0,0.0,100.0,1005.051,0.002276278,0.01049805,1545.493,0.01100849,0.05480957,25.10681,0.006021285,1498.233,0.001464985,6.884765,2.836717e-05,100,0,1,0,303,2026-08-28 10:55:56.910000+00:00,2,2.000033333333333,,True
304,2026-08-28,10:57:56.912,25,5,90.53,909.5,0.0,0.0,2.39,0.0,0.0,100.0,1005.049,0.002057339,0.009338379,1545.523,0.01292374,0.07592773,25.1318,0.005969288,1498.238,0.00130355,6.884694,3.348734e-05,100,1,1,1,304,2026-08-28 10:57:56.912000+00:00,2,4.000066666666666,,True
305,2026-08-28,10:59:56.914,26,5,90.53,909.5,0.0,0.0,2.39,0.0,0.0,100.0,1005.047,0.001772671,0.009155273,1545.552,0.01248956,0.05480957,25.15436,0.00506271,1498.242,0.00123683,6.88462,3.239745e-05,100,1,1,1,305,2026-08-28 10:59:56.914000+00:00,2,6.0001,,True
306,2026-08-28,11:01:56.916,27,5,90.53,909.5,0.0,0.0,2.39,0.0,0.0,100.0,1005.043,0.001451048,0.00793457,1545.575,0.01015994,0.04736328,25.17431,0.00439227,1498.245,0.000859249,6.884567,2.668911e-05,100,1,1,1,306,2026-08-28 11:01:56.916000+00:00,2,8.000133333333332,,True
307,2026-08-28,11:03:56.918,28,5,90.53,909.5,0.0,0.0,2.39,0.0,0.0,100.0,1005.04,0.002557887,0.01104736,1545.592,0.00973182,0.05578613,25.19112,0.003606149,1498.248,0.0005620472,6.884524,2.567186e-05,100,0,1,0,307,2026-08-28 11:03:56.918000+00:00,2,10.000166666666667,,True
308,2026-08-28,11:05:56.920,29,5,90.53,909.5,0.0,0.0,2.39,0.0,0.0,100.0,1005.039,0.002327606,0.009338379,1545.612,0.0112787,0.05822754,25.20688,0.004572446,1498.252,0.0008147956,6.884476,2.926938e-05,100,1,1,1,308,2026-08-28 11:05:56.920000+00:00,2,12.0002,,True
309,2026-08-28,11:07:56.922,30,5,90.53,909.5,0.0,0.0,2.39,0.0,0.0,100.0,1005.036,0.003631212,0.0201416,1545.63,0.01147116,0.05786133,25.22342,0.003493756,1498.255,0.0008684619,6.884433,3.031245e-05,100,0,1,0,309,2026-08-28 11:07:56.922000+00:00,2,14.000233333333334,,True
310,2026-08-28,11:09:56.924,31,5,90.53,909.5,0.0,0.0,2.39,0.0,0.0,100.0,1005.034,0.002216371,0.01092529,1545.653,0.01238933,0.06188965,25.24018,0.004482643,1498.258,0.001020968,6.884377,3.23833e-05,100,0,1,0,310,2026-08-28 11:09:56.924000+00:00,2,16.000266666666665,,True
311,2026-08-28,11:11:56.926,32,5,90.53,909.5,0.0,0.0,2.39,0.0,0.0,100.0,1005.033,0.002788489,0.01153564,1545.7,0.03013474,0.1097412,25.25892,0.005132464,1498.261,0.0009367566,6.884256,7.88761e-05,100,0,1,0,311,2026-08-28 11:11:56.926000+00:00,2,18.0003,,True
