Source_File,ProbeNr,Property,Unit,N,Mean_Measured,Mean_Simulated,Bias_ME,MAE,RMSE,MAPE_pct,Accuracy_100_minus_MAPE_pct,R2,Max_Abs_Error
Kennfeld_v2 (14)_korrigiert.csv,0,Density,kg/m^3,6,1000.99905,1001.520492804967,0.5214428049672316,0.5214428049672316,0.6885717432528926,0.05191628027457338,99.94808371972543,0.9694411232081209,0.9835888475337242
Kennfeld_v2 (14)_korrigiert.csv,0,Sound velocity,m/s,6,1519.3718333333334,1518.2344545813587,-1.1373787519747036,1.1373787519747036,1.6009301208889584,0.07372371825565659,99.92627628174435,0.995408073074067,2.3226751077568224
Kennfeld_v2 (14)_korrigiert.csv,1,Density,kg/m^3,78,1001.4772487179489,1002.3072760918108,0.8300273738620172,1.1866408328140092,2.5373604891007218,0.11887921850080985,99.88112078149919,0.24647289848479126,9.24952892807562
Kennfeld_v2 (14)_korrigiert.csv,1,Sound velocity,m/s,78,1567.0550769230772,1571.7259967559035,4.670919832826628,6.730632104828878,19.827886033718226,0.44310456630663064,99.55689543369337,-0.011448758418329597,88.10242536061583
Kennfeld_v2 (14)_korrigiert.csv,2,Density,kg/m^3,1,997.4703,997.6525609000001,0.18226090000018758,0.18226090000018758,0.18226090000018758,0.018272313471407377,99.98172768652859,,0.18226090000018758
Kennfeld_v2 (14)_korrigiert.csv,2,Sound velocity,m/s,1,1490.002,1489.4181605521433,-0.5838394478566897,0.5838394478566897,0.5838394478566897,0.03918380296514298,99.96081619703486,,0.5838394478566897
Kennfeld_v2 (14)_korrigiert.csv,3,Density,kg/m^3,80,1005.57925,1006.5888103624951,1.0095603624952105,1.0095603624952105,1.0217206710619942,0.1003879410697641,99.89961205893023,0.3320631102362186,1.288935067412126
Kennfeld_v2 (14)_korrigiert.csv,3,Sound velocity,m/s,80,1549.69265,1547.8501330076415,-1.8425169923584548,1.8425169923584548,1.9432772372749367,0.11881132128400401,99.881188678716,0.9464299139813191,2.8335796776611915
Kennfeld_v2 (14)_korrigiert.csv,4,Density,kg/m^3,113,1004.4601584070797,1005.0347677598613,0.5746093527817926,0.5777123453351638,1.0338998227295333,0.05760690845739002,99.94239309154261,0.7773442651503761,6.067812398505907
Kennfeld_v2 (14)_korrigiert.csv,4,Sound velocity,m/s,113,1564.3946637168142,1561.5462502820324,-2.848413434781859,2.848413434781859,3.146375590908329,0.1814761435982153,99.81852385640178,0.9504962488553473,6.195327404888303
Kennfeld_v2 (14)_korrigiert.csv,5,Density,kg/m^3,98,1004.9619795918368,1005.9401183119925,0.9781387201556645,0.9781387201556645,0.9905420348178182,0.09733483518906062,99.90266516481094,-9.238586103732324,1.2672643089725852
Kennfeld_v2 (14)_korrigiert.csv,5,Sound velocity,m/s,98,1545.555918367347,1543.597448345916,-1.95847002143088,1.95847002143088,2.023469195301175,0.1267112170393581,99.87328878296064,-24.347977413412316,2.602923785104167
Kennfeld_v2 (14)_korrigiert.csv,100,Density,kg/m^3,5,997.1377200000001,997.1770129,0.03929289999998673,0.03929289999998673,0.03930910101868275,0.003940569668329095,99.99605943033167,-45.178467942350885,0.04086940000013328
Kennfeld_v2 (14)_korrigiert.csv,100,Sound velocity,m/s,5,1495.2098,1495.2049248839016,-0.004875116098537547,0.004875116098537547,0.005169532882991166,0.00032604510214893326,99.99967395489786,0.9916135047736927,0.006974067581268173
Kennfeld_v2 (14)_korrigiert.csv,101,Density,kg/m^3,0,,,,,,,,,
Kennfeld_v2 (14)_korrigiert.csv,101,Sound velocity,m/s,0,,,,,,,,,
