Property,Unit,Threshold_pct,Source_File,Source_Row,ProbeNr,Nr,N,Stabil,SensOK,Gueltig,T_M,Al_wt_pct,IPA_wt_pct,PG_wt_pct,MG_wt_pct,Water_wt_pct,Measured,Simulated,Error_Sim_minus_Meas,Abs_Error,Rel_Error_pct,Abs_Rel_Error_pct
Density,kg/m³,0.5,Kennfeld_v2 (21)_korrigiert.csv,82,1,16,100,0,1,0,22.96141,2.270275762219644,7.93995377151614,4.540551524439289,0.0,85.2492189418249,994.1438,1002.7165384765948,8.572738476594736,8.572738476594736,0.862323788228095,0.862323788228095
Density,kg/m³,0.5,Kennfeld_v2 (21)_korrigiert.csv,83,1,17,100,0,0,0,22.93973,2.270275762219644,7.93995377151614,4.540551524439289,0.0,85.2492189418249,994.1528,1002.7243400275356,8.571540027535661,8.571540027535661,0.8621954318828717,0.8621954318828717
Density,kg/m³,0.5,Kennfeld_v2 (21)_korrigiert.csv,84,1,18,100,0,0,0,22.93973,2.270275762219644,7.93995377151614,4.540551524439289,0.0,85.2492189418249,994.1528,1002.7243400275356,8.571540027535661,8.571540027535661,0.8621954318828717,0.8621954318828717
Density,kg/m³,0.5,Kennfeld_v2 (21)_korrigiert.csv,68,1,2,100,1,1,1,20.73975,2.270275762219644,7.93995377151614,4.540551524439289,0.0,85.2492189418249,996.0465,1003.5159959834734,7.469495983473394,7.469495983473394,0.7499143848679146,0.7499143848679146
Density,kg/m³,0.5,Kennfeld_v2 (21)_korrigiert.csv,67,1,1,100,1,1,1,20.72178,2.270275762219644,7.93995377151614,4.540551524439289,0.0,85.2492189418249,996.0532,1003.5224623737862,7.4692623737862505,7.4692623737862505,0.7498858869974265,0.7498858869974265
Density,kg/m³,0.5,Kennfeld_v2 (21)_korrigiert.csv,563,8,86,100,0,1,0,24.35681,2.177819356433022,4.355638712866045,4.355638712866045,0.0,89.11090321783489,1000.161,1006.9517411620752,6.790741162075278,6.790741162075278,0.6789648028742651,0.6789648028742651
Density,kg/m³,0.5,Kennfeld_v2 (21)_korrigiert.csv,85,1,19,100,0,1,0,22.57611,2.270275762219644,7.93995377151614,4.540551524439289,0.0,85.2492189418249,996.7097,1002.8551885290067,6.145488529006684,6.145488529006684,0.6165775781059103,0.6165775781059103
Density,kg/m³,0.5,Kennfeld_v2 (21)_korrigiert.csv,564,8,87,100,0,1,0,24.3491,2.177819356433022,4.355638712866045,4.355638712866045,0.0,89.11090321783489,1001.346,1006.95431335818,5.608313358179998,5.608313358179998,0.5600774715413053,0.5600774715413053
Density,kg/m³,0.5,Kennfeld_v2 (21)_korrigiert.csv,264,4,97,100,0,1,0,25.09175,1.8619638232572386,6.390248124255195,5.779757268303076,0.0,85.96803078418449,997.5163,1003.0287651468198,5.51246514681975,5.51246514681975,0.5526190546279545,0.5526190546279545
Density,kg/m³,0.5,Kennfeld_v2 (21)_korrigiert.csv,86,1,20,100,1,1,1,22.39554,2.270275762219644,7.93995377151614,4.540551524439289,0.0,85.2492189418249,997.4651,1002.9201664226008,5.455066422600794,5.455066422600794,0.546892961227495,0.546892961227495
Sound velocity,m/s,1.0,Kennfeld_v2 (21)_korrigiert.csv,86,1,20,100,1,1,1,22.39554,2.270275762219644,7.93995377151614,4.540551524439289,0.0,85.2492189418249,1490.022,1579.1722774787063,89.15027747870636,89.15027747870636,5.983151757404009,5.983151757404009
Sound velocity,m/s,1.0,Kennfeld_v2 (21)_korrigiert.csv,85,1,19,100,0,1,0,22.57611,2.270275762219644,7.93995377151614,4.540551524439289,0.0,85.2492189418249,1493.799,1579.3908815887355,85.59188158873553,85.59188158873553,5.729812484058131,5.729812484058131
Sound velocity,m/s,1.0,Kennfeld_v2 (21)_korrigiert.csv,83,1,17,100,0,0,0,22.93973,2.270275762219644,7.93995377151614,4.540551524439289,0.0,85.2492189418249,1507.244,1579.8231783067183,72.5791783067184,72.5791783067184,4.815356923412428,4.815356923412428
Sound velocity,m/s,1.0,Kennfeld_v2 (21)_korrigiert.csv,84,1,18,100,0,0,0,22.93973,2.270275762219644,7.93995377151614,4.540551524439289,0.0,85.2492189418249,1507.244,1579.8231783067183,72.5791783067184,72.5791783067184,4.815356923412428,4.815356923412428
Sound velocity,m/s,1.0,Kennfeld_v2 (21)_korrigiert.csv,82,1,16,100,0,1,0,22.96141,2.270275762219644,7.93995377151614,4.540551524439289,0.0,85.2492189418249,1507.288,1579.8486165763022,72.56061657630221,72.56061657630221,4.813984890498843,4.813984890498843
