SeqNo,Date,UTC Time,Nr,ProbeNr,m_SL120,m_Wasser,m_IPA,m_PG,m_MG,m_vorher,m_nachher,Pumpe_pct,Rho_M,Rho_S,Rho_Sp,C_M,C_S,C_Sp,T_M,T_S,Per_M,Per_S,RunT_M,RunT_S,N,Stabil,SensOK,Gueltig,Source_File,Source_Row,Mass_Total_g,Al_wt_pct,IPA_wt_pct,PG_wt_pct,MG_wt_pct,Water_wt_pct,Composition_Sum_wt_pct,Evaluation_Reason,Evaluation_Usable,Rho_Sim_kg_m3,C_Sim_m_s,Simulation_Status,Rho_Error,Rho_Abs_Error,Rho_Rel_Error_pct,Rho_Abs_Rel_Error_pct,C_Error,C_Abs_Error,C_Rel_Error_pct,C_Abs_Rel_Error_pct
1,2012-01-23,00:14:28.362,1,0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,997.0609,0.001130288,0.005249023,1495.739,0.01202353,0.0447998,24.64088,0.004382846,1496.219,0.0006385954,7.021508,3.291966e-05,100,1,1,1,Kennfeld_v2 (10) korrigiert.csv,2,100.0,0.0,0.0,0.0,0.0,100.0,100.0,,True,997.03978,1495.6928434666668,ok,-0.021119999999996253,0.021119999999996253,-0.0021182256770871525,0.0021182256770871525,-0.046156533333260086,0.046156533333260086,-0.0030858681449945535,0.0030858681449945535
2,2012-01-23,00:14:58.458,2,0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,997.0598,0.001170192,0.004638672,1495.749,0.01044954,0.04321289,24.64495,0.003775247,1496.22,0.0005380613,7.021479,2.872056e-05,100,1,1,1,Kennfeld_v2 (10) korrigiert.csv,3,100.0,0.0,0.0,0.0,0.0,100.0,100.0,,True,997.0387625,1495.7041445,ok,-0.021037500000034015,0.021037500000034015,-0.0021099536858304804,0.0021099536858304804,-0.04485550000003968,0.04485550000003968,-0.002998865451358462,0.002998865451358462
3,2012-01-23,00:15:06.871,3,0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,997.0596,0.001176809,0.004638672,1495.752,0.01034916,0.04284668,24.64603,0.003716595,1496.22,0.0005300458,7.02147,2.840971e-05,100,1,1,1,Kennfeld_v2 (10) korrigiert.csv,4,100.0,0.0,0.0,0.0,0.0,100.0,100.0,,True,997.0384925,1495.7071433000003,ok,-0.021107500000084656,0.021107500000084656,-0.002116974752570925,0.002116974752570925,-0.04485669999962738,0.04485669999962738,-0.0029989396637696212,0.0029989396637696212
4,2026-08-20,09:18:06.037,1,0,100.36,1006.87,0.0,0.0,0.0,0.0,0.0,100.0,1004.935,0.0006024943,0.003051758,1543.003,0.009023429,0.04394531,23.70149,0.003078766,1497.912,0.0008050053,6.891023,2.394567e-05,100,1,1,1,Kennfeld_v2 (10) korrigiert.csv,5,1107.23,1.8128121528499048,3.6256243056998096,3.6256243056998096,0.0,90.93593923575048,100.0,,True,1004.4862542111138,1541.3277684692723,ok,-0.44874578888618544,0.44874578888618544,-0.04465421036048953,0.04465421036048953,-1.6752315307276149,1.6752315307276149,-0.10856955759176197,0.10856955759176197
5,2026-08-20,09:24:02.749,2,0,100.36,1006.87,0.0,0.0,0.0,0.0,0.0,100.0,1004.939,0.0007044451,0.002929688,1542.997,0.007206327,0.04016113,23.73992,0.00429098,1497.922,0.0009035594,6.891049,1.927731e-05,100,1,1,1,Kennfeld_v2 (10) korrigiert.csv,6,1107.23,1.8128121528499048,3.6256243056998096,3.6256243056998096,0.0,90.93593923575048,100.0,,True,1004.4743940016297,1541.3858230474955,ok,-0.4646059983703026,0.4646059983703026,-0.04623225871125537,0.04623225871125537,-1.611176952504593,1.611176952504593,-0.10441867045137436,0.10441867045137436
6,2026-08-20,09:26:07.117,3,0,100.36,1006.87,0.0,0.0,0.0,0.0,0.0,100.0,1004.94,0.000712341,0.003051758,1542.991,0.007771788,0.03881836,23.75398,0.003282262,1497.925,0.0008760545,6.891068,2.086574e-05,100,1,1,1,Kennfeld_v2 (10) korrigiert.csv,7,1107.23,1.8128121528499048,3.6256243056998096,3.6256243056998096,0.0,90.93593923575048,100.0,,True,1004.4700548205525,1541.4070624699175,ok,-0.46994517944756353,0.46994517944756353,-0.046763506224009745,0.046763506224009745,-1.583937530082494,1.583937530082494,-0.10265371153055942,0.10265371153055942
7,2026-08-20,11:32:24.579,1,1,100.36,1006.87,0.0,0.0,0.0,0.0,0.0,100.0,1005.29,0.001352826,0.004943848,1541.424,0.01041913,0.04553223,23.72909,0.001413905,1498.006,0.0004556416,6.895253,2.809287e-05,100,1,1,1,Kennfeld_v2 (10) korrigiert.csv,8,1107.23,1.8128121528499048,3.6256243056998096,3.6256243056998096,0.0,90.93593923575048,100.0,,True,1004.4777363420671,1541.3694627963002,ok,-0.8122636579328173,0.8122636579328173,-0.08079893940383544,0.08079893940383544,-0.0545372036997378,0.0545372036997378,-0.0035381052649847027,0.0035381052649847027
8,2026-08-20,11:42:02.944,2,1,100.36,1006.87,0.0,0.0,0.0,0.0,0.0,100.0,1005.355,0.004100476,0.01470947,1541.047,0.0244965,0.09643555,23.61622,0.008507211,1497.996,0.0008300083,6.896232,6.335228e-05,100,0,1,0,Kennfeld_v2 (10) korrigiert.csv,9,1107.23,1.8128121528499048,3.6256243056998096,3.6256243056998096,0.0,90.93593923575048,100.0,,True,1004.5125700435609,1541.1989485936701,ok,-0.8424299564391049,0.8424299564391049,-0.08379427728902775,0.08379427728902775,0.15194859367011304,0.15194859367011304,0.009860088217303758,0.009860088217303758
9,2026-08-20,11:52:10.626,3,1,100.36,1006.87,0.0,0.0,0.0,0.0,0.0,100.0,1005.407,0.004100963,0.0144043,1540.782,0.02505425,0.09265137,23.54464,0.008219684,1497.994,0.0008296818,6.896921,6.495976e-05,100,0,1,0,Kennfeld_v2 (10) korrigiert.csv,10,1107.23,1.8128121528499048,3.6256243056998096,3.6256243056998096,0.0,90.93593923575048,100.0,,True,1004.5346608268954,1541.09080411999,ok,-0.8723391731045922,0.8723391731045922,-0.08676478014421943,0.08676478014421943,0.30880411999009993,0.30880411999009993,0.020042038392848564,0.020042038392848564
10,2026-08-20,11:52:25.555,4,1,100.36,1006.87,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,Kennfeld_v2 (10) korrigiert.csv,11,1107.23,1.8128121528499048,3.6256243056998096,3.6256243056998096,0.0,90.93593923575048,100.0,N < 1; Rho_M ausserhalb 500..2000; C_M ausserhalb 1000..2200; T_M ausserhalb Modellbereich 20..30 degC,False,,,skipped,,,,,,,,
11,2026-08-20,11:54:25.557,5,1,100.36,1006.87,0.0,0.0,0.0,0.0,0.0,100.0,1005.423,0.003187256,0.01092529,1540.691,0.01515166,0.06555176,23.51149,0.005927483,1497.991,0.0003783404,6.897154,3.918599e-05,100,0,1,0,Kennfeld_v2 (10) korrigiert.csv,12,1107.23,1.8128121528499048,3.6256243056998096,3.6256243056998096,0.0,90.93593923575048,100.0,,True,1004.5448914480241,1541.0407184429785,ok,-0.8781085519758562,0.8781085519758562,-0.08733722542411067,0.08733722542411067,0.34971844297842836,0.34971844297842836,0.022698804820592083,0.022698804820592083
12,2026-08-20,11:56:25.559,6,1,100.36,1006.87,0.0,0.0,0.0,0.0,0.0,100.0,1005.436,0.003810688,0.01293945,1540.62,0.02488237,0.1016846,23.48755,0.008073735,1497.989,0.001009231,6.897338,6.460313e-05,100,0,1,0,Kennfeld_v2 (10) korrigiert.csv,13,1107.23,1.8128121528499048,3.6256243056998096,3.6256243056998096,0.0,90.93593923575048,100.0,,True,1004.5522797067518,1541.0045471831118,ok,-0.8837202932481887,0.8837202932481887,-0.08789423625652838,0.08789423625652838,0.384547183111863,0.384547183111863,0.02496054725447307,0.02496054725447307
13,2026-08-20,12:06:08.289,7,1,100.36,1006.87,40.15,0.0,0.0,0.0,0.0,100.0,999.0446,0.03992499,0.1965332,1572.356,0.1521285,0.6082764,24.34576,0.0293769,1496.648,0.01245824,6.814262,0.0003936504,100,0,1,0,Kennfeld_v2 (10) korrigiert.csv,14,1147.38,1.7493768411511441,6.998030295107114,3.4987536823022887,0.0,87.75383918143945,99.99999999999999,,True,998.7462293734313,1570.2617181075007,ok,-0.29837062656861235,0.29837062656861235,-0.029865596247516113,0.029865596247516113,-2.094281892499339,2.094281892499339,-0.1331938754645474,0.1331938754645474
14,2026-08-20,12:08:08.291,8,1,100.36,1006.87,40.15,0.0,0.0,0.0,0.0,100.0,999.0505,0.04014613,0.1531982,1571.906,0.1086098,0.4274902,24.34135,0.01313539,1496.635,0.009172156,6.815417,0.0002764152,100,0,1,0,Kennfeld_v2 (10) korrigiert.csv,15,1147.38,1.7493768411511441,6.998030295107114,3.4987536823022887,0.0,87.75383918143945,99.99999999999999,,True,998.7476652955852,1570.2585753160686,ok,-0.30283470441486315,0.30283470441486315,-0.030312251924688807,0.030312251924688807,-1.6474246839313764,1.6474246839313764,-0.10480427480596018,0.10480427480596018
