SeqNo,Date,UTC Time,Nr,ProbeNr,m_SL120,m_Wasser,m_IPA,m_PG,m_MG,m_vorher,m_nachher,Pumpe_pct,Rho_M,Rho_S,Rho_Sp,C_M,C_S,C_Sp,T_M,T_S,Per_M,Per_S,RunT_M,RunT_S,N,Stabil,SensOK,Gueltig,Source_File,Source_Path,Source_Row,Measurement_Time_UTC,Experiment_Key,Phase,Experiment_Elapsed_h,Phase_Elapsed_h,m_Al_nom_g,m_IPA_nom_g,m_PG_nom_g,m_Water_nom_g,m_MG_nom_g,m_Total_nom_g,Selected_For_Calibration,Selection_Method,IPA_Evaporation_Rate_g_h,IPA_Loss_g,m_IPA_eff_g,m_Total_eff_g,Al_wt_pct_eff,IPA_wt_pct_eff,PG_wt_pct_eff,MG_wt_pct_eff,Water_wt_pct_eff,Composition_Sum_wt_pct,Rho_Physics_kg_m3,C_Physics_m_s,Simulation_Status,A_Rho_kg_m3,A_C_m_s
87,2026-08-21,09:35:18.227,22,3,90.5,909.3,0.0,0.0,0.0,0.0,0.0,100.0,1004.825,0.00965446,0.03692627,1542.249,0.04472328,0.1865234,23.03746,0.005983352,1497.754,0.0009524195,6.892856,0.0001180896,100,0,1,0,Kennfeld_v2 (13).csv,C:\Users\nikla\OneDrive\Documents\01_Uni\01_Master\00_Masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (13).csv,88,2026-08-21 09:35:18.227000+00:00,Kennfeld_v2 (13).csv|Probe=3,1,0.0,0.0,18.1,36.2,36.2,909.3,0.0,999.8,False,not selected,1.6386345729364258,0.0,36.2,999.8,1.810362072414483,3.620724144828966,3.620724144828966,0.0,90.94818963792758,100.0,1006.1139350674122,1539.434523844535,ok,-1.288935067412126,2.814476155464945
88,2026-08-21,09:37:18.230,23,3,90.5,909.3,0.0,0.0,0.0,0.0,0.0,100.0,1004.849,0.005016189,0.01696777,1542.107,0.03962072,0.1787109,23.01571,0.005516862,1497.755,0.0004018463,6.893231,0.0001046074,100,0,1,0,Kennfeld_v2 (13).csv,C:\Users\nikla\OneDrive\Documents\01_Uni\01_Master\00_Masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (13).csv,89,2026-08-21 09:37:18.230000+00:00,Kennfeld_v2 (13).csv|Probe=3,1,0.033334166666666665,0.033334166666666665,18.1,36.2,36.2,909.3,0.0,999.8,False,not selected,1.6386345729364258,0.05462251796002497,36.145377482039976,999.7453774820399,1.810460984134449,3.615458325306367,3.620921968268898,0.0,90.9531587222903,100.00000000000001,1006.1302288303764,1539.3498648192806,ok,-1.2812288303763353,2.757135180719388
89,2026-08-21,09:39:18.232,24,3,90.5,909.3,0.0,0.0,0.0,0.0,0.0,100.0,1004.877,0.01009229,0.0345459,1541.944,0.05414213,0.2143555,22.98473,0.01242856,1497.754,0.0009254171,6.893659,0.0001416167,100,0,1,0,Kennfeld_v2 (13).csv,C:\Users\nikla\OneDrive\Documents\01_Uni\01_Master\00_Masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (13).csv,90,2026-08-21 09:39:18.232000+00:00,Kennfeld_v2 (13).csv|Probe=3,1,0.06666805555555555,0.06666805555555555,18.1,36.2,36.2,909.3,0.0,999.8,False,not selected,1.6386345729364258,0.10924458074377967,36.090755419256226,999.6907554192562,1.810559905838993,3.6101919742290973,3.621119811677986,0.0,90.95812830825392,100.0,1006.1494129793193,1539.248408679212,ok,-1.2724129793193697,2.6955913207880258
90,2026-08-21,09:41:18.234,25,3,90.5,909.3,0.0,0.0,0.0,0.0,0.0,100.0,1004.915,0.009593928,0.03015137,1541.721,0.05724676,0.2277832,22.92246,0.01789627,1497.749,0.001646254,6.894238,0.0001485698,100,0,1,0,Kennfeld_v2 (13).csv,C:\Users\nikla\OneDrive\Documents\01_Uni\01_Master\00_Masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (13).csv,91,2026-08-21 09:41:18.234000+00:00,Kennfeld_v2 (13).csv|Probe=3,1,0.10000194444444445,0.10000194444444445,18.1,36.2,36.2,909.3,0.0,999.8,False,not selected,1.6386345729364258,0.1638666435275344,36.03613335647247,999.6361333564724,1.8106588383540856,3.6049250476244943,3.621317676708171,0.0,90.96309843731325,100.0,1006.1783909795636,1539.089952423912,ok,-1.26339097956361,2.6310475760878944
91,2026-08-21,09:43:18.236,26,3,90.5,909.3,0.0,0.0,0.0,0.0,0.0,100.0,1004.942,0.005729487,0.02191162,1541.556,0.03550616,0.1622314,22.87024,0.0105288,1497.745,0.0008337185,6.894664,9.243513e-05,100,0,1,0,Kennfeld_v2 (13).csv,C:\Users\nikla\OneDrive\Documents\01_Uni\01_Master\00_Masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (13).csv,92,2026-08-21 09:43:18.236000+00:00,Kennfeld_v2 (13).csv|Probe=3,1,0.13333583333333335,0.13333583333333335,18.1,36.2,36.2,909.3,0.0,999.8,False,not selected,1.6386345729364258,0.21848870631128914,35.98151129368871,999.5815112936887,1.8107577816814993,3.599657545398209,3.6215155633629985,0.0,90.9680691095573,100.00000000000001,1006.2042216362719,1538.9494658246826,ok,-1.2622216362718746,2.6065341753173925
92,2026-08-21,09:45:18.238,27,3,90.5,909.3,0.0,0.0,0.0,0.0,0.0,100.0,1004.962,0.004276433,0.01800537,1541.441,0.02920001,0.1343994,22.83823,0.005514212,1497.744,0.0002025274,6.894963,7.68127e-05,100,0,1,0,Kennfeld_v2 (13).csv,C:\Users\nikla\OneDrive\Documents\01_Uni\01_Master\00_Masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (13).csv,93,2026-08-21 09:45:18.238000+00:00,Kennfeld_v2 (13).csv|Probe=3,1,0.1666697222222222,0.1666697222222222,18.1,36.2,36.2,909.3,0.0,999.8,False,not selected,1.6386345729364258,0.2731107690950438,35.92688923090496,999.5268892309049,1.8108567358230065,3.594389467455872,3.621713471646013,0.0,90.97304032507512,100.00000000000001,1006.223727123358,1538.8456599514686,ok,-1.261727123358014,2.5953400485313978
93,2026-08-21,09:47:18.240,28,3,90.5,909.3,0.0,0.0,0.0,0.0,0.0,100.0,1004.976,0.003633458,0.01135254,1541.354,0.0237383,0.1071777,22.821,0.003436239,1497.744,0.0003818233,6.895192,6.276666e-05,100,0,1,0,Kennfeld_v2 (13).csv,C:\Users\nikla\OneDrive\Documents\01_Uni\01_Master\00_Masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (13).csv,94,2026-08-21 09:47:18.240000+00:00,Kennfeld_v2 (13).csv|Probe=3,1,0.20000361111111112,0.20000361111111112,18.1,36.2,36.2,909.3,0.0,999.8,True,automatic low-noise fallback,1.6386345729364258,0.32773283187879854,35.872267168121205,999.4722671681211,1.8109557007803803,3.589120813703092,3.6219114015607605,0.0,90.97801208395578,100.0,1006.2386088504862,1538.7687880082142,ok,-1.262608850486231,2.5852119917858545
94,2026-08-21,09:49:18.242,29,3,90.5,909.3,0.0,0.0,0.0,0.0,0.0,100.0,1004.994,0.005740904,0.0189209,1541.248,0.03594041,0.1450195,22.80038,0.008786435,1497.743,0.0007952013,6.895471,9.401724e-05,100,0,1,0,Kennfeld_v2 (13).csv,C:\Users\nikla\OneDrive\Documents\01_Uni\01_Master\00_Masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (13).csv,95,2026-08-21 09:49:18.242000+00:00,Kennfeld_v2 (13).csv|Probe=3,1,0.2333375,0.2333375,18.1,36.2,36.2,909.3,0.0,999.8,False,not selected,1.6386345729364258,0.38235489466255324,35.81764510533745,999.4176451053374,1.8110546765553939,3.583851584045458,3.6221093531107877,0.0,90.98298438628836,100.0,1006.2545526479673,1538.6856711411217,ok,-1.2605526479673017,2.5623288588783453
95,2026-08-21,09:51:18.244,30,3,90.5,909.3,0.0,0.0,0.0,0.0,0.0,100.0,1005.018,0.005696333,0.019104,1541.097,0.03832928,0.151001,22.75437,0.01299034,1497.739,0.001383548,6.895862,9.936278e-05,100,0,1,0,Kennfeld_v2 (13).csv,C:\Users\nikla\OneDrive\Documents\01_Uni\01_Master\00_Masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (13).csv,96,2026-08-21 09:51:18.244000+00:00,Kennfeld_v2 (13).csv|Probe=3,1,0.2666713888888889,0.2666713888888889,18.1,36.2,36.2,909.3,0.0,999.8,False,not selected,1.6386345729364258,0.436976957446308,35.7630230425537,999.3630230425537,1.8111536631498213,3.5785817783885405,3.6223073262996426,0.0,90.987957232162,100.0,1006.2784392454822,1538.5559287245262,ok,-1.260439245482189,2.5410712754737688
96,2026-08-21,09:53:18.246,31,3,90.5,909.3,0.0,0.0,0.0,0.0,0.0,100.0,1005.036,0.003411736,0.0135498,1540.989,0.02571304,0.1124268,22.71111,0.007560941,1497.734,0.0005963009,6.896141,6.698331e-05,100,0,1,0,Kennfeld_v2 (13).csv,C:\Users\nikla\OneDrive\Documents\01_Uni\01_Master\00_Masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (13).csv,97,2026-08-21 09:53:18.246000+00:00,Kennfeld_v2 (13).csv|Probe=3,1,0.3000052777777778,0.3000052777777778,18.1,36.2,36.2,909.3,0.0,999.8,True,automatic low-noise fallback,1.6386345729364258,0.4915990202300627,35.70840097976994,999.3084009797699,1.8112526605654364,3.573311396637886,3.622505321130873,0.0,90.9929306216658,100.0,1006.3014650316409,1538.4310356771643,ok,-1.2654650316409288,2.557964322835687
97,2026-08-21,09:55:18.248,32,3,90.5,909.3,0.0,0.0,0.0,0.0,0.0,100.0,1005.051,0.003407008,0.01330566,1540.904,0.02060314,0.09277344,22.68682,0.004492071,1497.734,0.0002519652,6.896361,5.423128e-05,100,0,1,0,Kennfeld_v2 (13).csv,C:\Users\nikla\OneDrive\Documents\01_Uni\01_Master\00_Masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (13).csv,98,2026-08-21 09:55:18.248000+00:00,Kennfeld_v2 (13).csv|Probe=3,1,0.33333916666666663,0.33333916666666663,18.1,36.2,36.2,909.3,0.0,999.8,True,automatic low-noise fallback,1.6386345729364258,0.5462210830138173,35.653778916986184,999.2537789169861,1.811351668804014,3.568040438699022,3.622703337608028,0.0,90.99790455488895,100.00000000000001,1006.318558436466,1538.3409078086584,ok,-1.2675584364659471,2.5630921913416387
98,2026-08-21,09:57:18.250,33,3,90.5,909.3,0.0,0.0,0.0,0.0,0.0,100.0,1005.063,0.003733715,0.01361084,1540.843,0.01837182,0.07446289,22.67401,0.002298339,1497.734,0.0004445391,6.896521,4.8741e-05,100,0,1,0,Kennfeld_v2 (13).csv,C:\Users\nikla\OneDrive\Documents\01_Uni\01_Master\00_Masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (13).csv,99,2026-08-21 09:57:18.250000+00:00,Kennfeld_v2 (13).csv|Probe=3,1,0.3666730555555555,0.3666730555555555,18.1,36.2,36.2,909.3,0.0,999.8,True,automatic low-noise fallback,1.6386345729364258,0.600843145797572,35.599156854202434,999.1991568542023,1.8114506878673293,3.5627689044774553,3.6229013757346586,0.0,91.00287903192057,100.00000000000001,1006.3320636199749,1538.271878310265,ok,-1.2690636199748724,2.571121689735037
99,2026-08-21,09:59:18.252,34,3,90.5,909.3,0.0,0.0,0.0,0.0,0.0,100.0,1005.076,0.004120194,0.01605225,1540.762,0.02954434,0.1239014,22.65845,0.007101177,1497.734,0.000960408,6.896732,7.738303e-05,100,0,1,0,Kennfeld_v2 (13).csv,C:\Users\nikla\OneDrive\Documents\01_Uni\01_Master\00_Masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (13).csv,100,2026-08-21 09:59:18.252000+00:00,Kennfeld_v2 (13).csv|Probe=3,1,0.40000694444444446,0.40000694444444446,18.1,36.2,36.2,909.3,0.0,999.8,True,automatic low-noise fallback,1.6386345729364258,0.6554652085813268,35.54453479141868,999.1445347914187,1.811549717757157,3.557496793878671,3.623099435514314,0.0,91.00785405284986,100.0,1006.3464305013754,1538.197753574216,ok,-1.2704305013753583,2.5642464257839492
100,2026-08-21,10:01:18.254,35,3,90.5,909.3,0.0,0.0,0.0,0.0,0.0,100.0,1005.097,0.004823477,0.01922607,1540.618,0.0337535,0.1373291,22.61537,0.01114249,1497.729,0.001201802,6.897107,8.754e-05,100,0,1,0,Kennfeld_v2 (13).csv,C:\Users\nikla\OneDrive\Documents\01_Uni\01_Master\00_Masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (13).csv,101,2026-08-21 10:01:18.254000+00:00,Kennfeld_v2 (13).csv|Probe=3,1,0.43334083333333334,0.43334083333333334,18.1,36.2,36.2,909.3,0.0,999.8,False,not selected,1.6386345729364258,0.7100872713650815,35.48991272863492,999.0899127286349,1.811648758475273,3.552224106808134,3.623297516950546,0.0,91.01282961776604,100.0,1006.3694011460274,1538.072750783889,ok,-1.2724011460273914,2.5452492161109603
101,2026-08-21,10:03:18.256,36,3,90.5,909.3,0.0,0.0,0.0,0.0,0.0,100.0,1005.115,0.003793034,0.01257324,1540.515,0.01966823,0.0880127,22.5771,0.006018104,1497.726,0.0002847885,6.897374,5.134834e-05,100,0,1,0,Kennfeld_v2 (13).csv,C:\Users\nikla\OneDrive\Documents\01_Uni\01_Master\00_Masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (13).csv,102,2026-08-21 10:03:18.256000+00:00,Kennfeld_v2 (13).csv|Probe=3,1,0.4666747222222222,0.4666747222222222,18.1,36.2,36.2,909.3,0.0,999.8,True,automatic low-noise fallback,1.6386345729364258,0.7647093341488362,35.43529066585117,999.0352906658511,1.8117478100234536,3.5469508431712917,3.6234956200469073,0.0,91.01780572675835,100.0,1006.3908680438558,1537.9564745206899,ok,-1.2758680438557803,2.5585254793102195
102,2026-08-21,10:05:18.258,37,3,90.5,909.3,0.0,0.0,0.0,0.0,0.0,100.0,1005.127,0.0027381,0.01013184,1540.454,0.01861523,0.08459473,22.55964,0.00275189,1497.726,0.0003335122,6.897532,4.935675e-05,100,0,1,0,Kennfeld_v2 (13).csv,C:\Users\nikla\OneDrive\Documents\01_Uni\01_Master\00_Masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (13).csv,103,2026-08-21 10:05:18.258000+00:00,Kennfeld_v2 (13).csv|Probe=3,1,0.5000086111111111,0.5000086111111111,18.1,36.2,36.2,909.3,0.0,999.8,True,automatic low-noise fallback,1.6386345729364258,0.8193313969325908,35.38066860306741,998.9806686030673,1.8118468724034753,3.5416770028735645,3.6236937448069506,0.0,91.02278237991602,100.00000000000001,1006.4058319780329,1537.8786509108718,ok,-1.2788319780329402,2.575349089128167
