Mass_Percent,Density_20C,Density_25C,Density_27C,Density_30C,Density_35C,Density_40C,Density_45C,Density_50C,Density_52C,Density_55C,Density_60C,Density_77C
0.0,0.9982,0.99705,0.9965,0.99564,0.99403,0.99221,0.99021,0.98803,0.9876,0.98569,0.9832,0.9748
3.26,0.99229,0.99144,,0.98984,0.98816,0.98633,0.98436,0.98207,,0.97992,0.9775,
6.37,0.98735,0.98609,,0.98463,0.98301,0.98117,0.97911,0.97724,,0.97518,0.97192,
12.18,0.97961,,,0.976,,0.97152,,0.9662,,,,
14.94,0.97594,0.97412,,0.97196,0.96967,0.96745,0.96549,0.96201,,0.95898,0.95656,
20.24,0.96908,0.96645,,0.96244,0.96105,0.95835,0.95451,0.95152,,0.94861,0.94828,
27.04,0.95735,0.95399,,0.95027,0.9467,0.94267,0.94081,0.93826,,0.93444,0.93304,
31.21,0.94888,,,0.94164,,0.93418,,0.92648,,,,
45.48,0.91714,0.91317,,0.90928,0.90578,0.9012,0.89695,0.89361,,0.89,0.88444,
45.74,0.91663,,,0.90864,,0.90042,,0.89198,,,,
52.42,,,0.89551,,,,,,0.87407,,,0.85019
56.47,0.89187,,,0.88356,,0.87501,,0.86623,,,,
58.85,0.88547,0.88129,,0.87735,0.87303,0.86866,0.86419,0.85988,,0.85528,0.85095,
65.14,0.87115,,,0.86265,,0.85389,,0.84485,,,,
68.98,0.86143,0.85713,,0.85292,0.8485,0.84415,0.8395,0.83511,,0.83038,0.82584,
72.25,0.85411,,,0.84546,,0.83652,,0.82731,,,,
76.5,,,0.83798,,,,,,0.81494,,,0.78982
76.94,0.84283,0.83854,,0.83419,0.82956,0.82517,0.82048,0.81611,,0.81124,0.80649,
78.35,0.83936,,,0.83058,,0.82154,,0.8122,,,,
83.32,0.82756,,,0.81872,,0.8096,,0.80016,,,,
83.35,0.82745,0.82307,,0.81872,0.81407,0.80951,0.80479,0.80015,,0.7952,0.79001,
87.64,0.81714,,,0.80826,,0.79908,,0.7896,,,,
88.62,0.81457,0.8102,,0.80569,0.8013,0.79646,0.79166,0.78704,,0.7821,0.77701,
89.83,,,0.8055,,,,,,0.78268,,,0.7569
91.14,0.80856,,,0.79967,,0.79048,,0.78098,,,,
93.02,0.80368,0.7996,,0.79464,0.79007,0.78549,0.78072,0.77614,,0.77118,0.76635,
94.61,0.79995,,,0.7911,,0.78197,,0.77247,,,,
96.77,0.79433,0.78985,,0.78557,0.78101,0.77666,0.77192,0.76748,,0.76296,0.75791,
97.54,0.79203,,,0.78334,,0.77433,,0.76497,,,,
100.0,0.7851,0.7811,0.7812,0.77663,0.77288,0.76784,0.76397,0.75868,0.759,0.75489,0.75041,0.7335
