Mass_Percent,SoundVelocity_18C,SoundVelocity_20C,SoundVelocity_22C,SoundVelocity_25C
0.0,1476.07,1482.38,1488.36,1496.69
3.33,1509.14,1513.28,1518.26,1525.88
6.35,1539.13,1541.31,1545.38,1552.31
9.36,1569.01,1569.24,1572.41,1577.4
9.69,1572.29,1572.3,1575.38,1579.81
12.2,,,,1597.93
14.87,,,,1612.69
17.6,,,,1620.85
20.08,,,,1620.0
22.5,,,,1611.8
24.79,,,,1599.19
27.01,,,,1584.51
31.36,,,,1552.76
35.13,,,,1523.0
39.02,,,,1496.35
42.16,,,,1471.8
43.49,,,,1464.34
45.45,,,,1452.24
49.9,,,,1423.68
55.24,,,,1391.08
61.05,,,,1357.24
67.12,,,,1322.77
72.37,,,,1294.4
76.9,,,,1270.58
80.89,,,,1249.86
84.43,,,,1231.5
87.59,,,,1214.83
90.43,,,,1199.47
92.57,,,,1187.33
94.55,,,,1175.58
96.03,,,,1166.32
97.47,,,,1156.64
98.68,,,,1147.98
99.95,,,,1137.5
100.0,,,,1137.07
