Mass_Percent,SoundVelocity_18C,SoundVelocity_20C,SoundVelocity_22C,SoundVelocity_25C
0.0,1476.07,1482.38,1488.36,1496.69
0.0333,1476.4,1482.69,1488.66,1525.88
0.0635,1476.7,1482.97,1488.93,1552.31
0.0936,1477.0,1483.25,1489.2,1577.4
0.0969,1477.03,1483.28,1489.23,1579.81
0.122,1477.28,1483.51,1489.46,1597.93
0.1487,1477.55,1483.76,1489.7,1612.69
0.176,1477.82,1484.01,1489.94,1620.85
0.2008,1478.06,1484.24,1490.16,1620.0
0.225,1478.3,1484.47,1490.38,1611.8
0.2479,1478.53,1484.68,1490.59,1599.19
0.2701,1478.75,1484.89,1490.79,1584.51
0.3136,1479.18,1485.29,1491.18,1552.76
0.3513,1479.56,1485.64,1491.51,1523.0
0.3902,1479.94,1486.0,1491.86,1496.35
0.4216,1480.26,1486.29,1492.15,1471.8
0.4349,1480.39,1486.42,1492.27,1464.34
0.4545,1480.58,1486.6,1492.44,1452.24
0.499,1481.03,1487.01,1492.84,1423.68
0.5524,1481.56,1487.51,1493.32,1391.08
0.6105,1482.13,1488.05,1493.84,1357.24
0.6712,1482.74,1488.61,1494.39,1322.77
0.7237,1483.26,1489.1,1494.86,1294.4
0.769,1483.71,1489.52,1495.27,1270.58
0.8089,1484.1,1489.89,1495.62,1249.86
0.8443,1484.45,1490.22,1495.94,1231.5
0.8759,1484.77,1490.51,1496.23,1214.83
0.9043,1485.05,1490.77,1496.48,1199.47
0.9257,1485.26,1490.97,1496.67,1187.33
0.9455,1485.46,1491.15,1496.85,1175.58
0.9603,1485.61,1491.29,1496.98,1166.32
0.9747,1485.75,1491.43,1497.11,1156.64
0.9868,1485.87,1491.54,1497.22,1147.98
0.9995,1486.0,1491.66,1497.34,1137.5
1.0,1486.0,1491.66,1497.34,1137.07
