Mass_Percent,Viscosity_20C,Viscosity_25C,Viscosity_30C,Viscosity_35C,Viscosity_40C,Viscosity_45C,Viscosity_50C,Viscosity_55C,Viscosity_60C
0.0,1.002,0.89,0.797,0.719,0.653,0.596,0.547,0.504,0.466
3.2597,1.17,1.029,0.912,0.815,0.733,0.664,0.604,0.554,0.51
6.3739,1.369,1.188,1.04,0.923,0.823,0.739,0.668,0.609,0.556
14.9349,2.062,1.725,1.467,1.263,1.098,0.966,0.856,0.767,0.691
20.2391,2.544,2.089,1.735,1.48,1.27,1.103,0.969,0.862,0.774
27.0418,3.054,2.472,2.041,1.717,1.458,1.261,1.101,0.973,0.868
45.4778,3.741,3.04,2.504,2.109,1.789,1.539,1.337,1.175,1.037
58.8452,3.726,3.068,2.551,2.153,1.835,1.58,1.374,1.207,1.066
68.9842,3.481,2.894,2.425,2.062,1.765,1.525,1.328,1.168,1.033
76.9392,3.18,2.667,2.253,1.926,1.657,1.437,1.256,1.107,0.981
83.3466,2.888,2.441,2.076,1.787,1.544,1.345,1.179,1.041,0.926
88.6214,2.655,2.256,1.934,1.669,1.449,1.265,1.113,0.985,0.877
93.0241,2.484,2.127,1.824,1.585,1.379,1.208,1.064,0.944,0.84
96.7745,2.395,2.054,1.772,1.538,1.341,1.176,1.035,0.919,0.818
100.0,2.414,2.07,1.785,1.546,1.347,1.176,1.033,0.914,0.811
