Mass_Percent,Density_15C,Density_20C,Density_25C,Density_30C,Density_35C,Density_40C,Density_45C,Density_50C,Density_55C,Density_65C
0.00,0.999125,0.998230,0.997058,0.995673,0.994045,0.992240,0.990223,0.988030,0.985692,0.980550
2.16,,,0.998996,,0.995835,,0.991852,,0.987199,0.981939
3.17,,,0.999903,,0.996674,,0.992616,,0.987901,0.982584
4.01,,,1.000653,,0.997366,,0.993245,,0.988478,0.983116
8.05,,,1.004213,,1.000652,,0.996229,,0.991213,0.985634
11.69,,,1.007365,,1.003557,,0.998860,,0.993623,0.987849
14.97,,,1.010130,,1.006103,,1.001162,,0.995729,0.989784
16.57,,,1.011463,,1.007328,,1.002267,,0.996739,0.990712
18.06,,,1.012691,,1.008457,,1.003286,,0.997670,0.991566
22.21,,,1.016020,,1.011512,,1.006034,,1.000178,0.993866
24.96,,,1.018164,,1.013477,,1.007798,,1.001786,0.995339
28.08,,,1.020519,,1.015631,,1.009726,,1.003541,0.996945
29.08,,,1.021260,,1.016309,,1.010333,,1.004093,0.997450
31.16,1.026780,1.024490,1.022080,1.019560,1.016930,1.014210,1.011320,1.008300,,
31.87,,,1.023268,,1.018141,,1.011967,,1.005578,0.998806
42.71,,,1.030314,,1.024538,,1.017639,,1.010710,1.003479
50.78,1.041350,1.038230,1.034670,1.031410,1.028080,1.024660,1.021160,1.017590,,
58.48,,,1.037731,,1.031146,,1.023400,,1.015843,1.008096
63.75,1.046610,1.043130,1.039580,1.035920,1.032320,1.028610,1.024840,1.021000,,
69.45,,,1.040203,,1.033197,,1.025108,,1.017268,1.009308
73.36,1.047730,1.044110,1.040450,1.036740,1.032920,1.029180,1.025330,1.021420,,
76.87,,,1.040330,,1.033125,,1.024960,,1.017018,1.008998
77.57,,,1.040273,,1.033053,,1.024888,,1.016941,1.008919
80.32,1.047210,1.043560,1.039860,1.036120,1.032330,1.028450,1.024630,1.020710,,
80.68,,,1.039875,,1.032596,,1.024442,,1.016479,1.008456
83.81,,,1.039240,,1.031916,,1.023791,,1.015826,1.007816
85.16,1.045650,1.042040,1.038410,1.034750,1.031060,1.027330,1.023540,1.019700,,
88.72,,,1.037804,,1.030435,,1.022371,,1.014430,1.006465
90.78,1.044240,1.040570,1.036870,1.033130,1.029350,1.025530,1.021670,1.017770,,
92.69,,,1.036307,,1.028920,,1.020890,,1.012992,1.005085
94.64,1.042930,1.039260,1.035560,1.031830,1.028060,1.024250,1.020400,1.016510,,
96.04,,,1.034845,,1.027455,,1.019417,,1.011570,1.003728
97.47,,,1.034152,,1.026765,,1.018712,,1.010893,1.003082
97.62,1.041680,1.038020,1.034330,1.030600,1.026840,1.023040,1.019200,1.015330,,
98.92,,,1.033394,,1.026013,,1.017943,,1.010155,1.002380
100.00,1.040360,1.036700,1.032898,1.029310,1.025476,1.021770,1.017631,1.014070,1.009560,1.001815
