Mass_Percent,SoundVelocity_25C,SoundVelocity_35C
0.00,1498.0,1519.0
2.16,1508.4,1525.2
3.17,1513.6,1528.2
4.01,1518.0,1530.7
8.04,1535.9,1543.3
11.59,1554.1,1555.5
14.97,1570.2,1566.9
16.57,1577.5,1572.6
17.99,1582.9,1578.0
22.20,1602.1,1593.2
24.96,1614.3,1603.4
28.07,1627.5,1614.8
29.08,1632.5,1618.4
31.87,1642.7,1628.3
42.70,1676.8,1660.9
58.48,1687.6,1672.3
69.45,1660.5,1640.0
76.86,1626.9,1602.2
77.56,1622.2,1598.4
80.68,1602.9,1581.4
83.79,1581.6,1565.2
88.72,1551.3,1541.8
92.69,1531.6,1524.5
96.04,1523.0,1513.1
97.47,1518.3,1509.5
98.92,1511.4,1502.9
100.00,1500.1,1488.9
