Mass_Percent,SoundVelocity_15C,SoundVelocity_20C,SoundVelocity_25C,SoundVelocity_30C,SoundVelocity_35C,SoundVelocity_40C,SoundVelocity_45C,SoundVelocity_50C,SoundVelocity_55C,SoundVelocity_65C
0.0,1466.0,1482.5,1497.3333333333333,1509.7,1519.75,1529.5,1536.1,1542.6,1545.0,1551.0
2.160220763221899,,,1508.4,,1525.2,,1539.3,,1547.8,1552.9
3.1736313899458275,,,1513.6,,1528.2,,1541.4,,1549.3,1553.9
4.012658692267662,,,1518.0,,1530.7,,1543.1,,1550.5,1554.7
8.047850849084407,,,1535.9,,1543.3,,1552.2,,1556.8,1559.2
11.694551775167126,,,1554.1,,1555.5,,1561.0,,1563.1,1563.8
14.965728393476699,,,1570.2,,1566.9,,1569.4,,1569.1,1568.4
16.567209690339062,,,1577.5,,1572.6,,1573.6,,1572.2,1570.7
18.062336516920784,,,1582.9,,1578.0,,1577.7,,1575.1,1572.9
22.205763795430993,,,1602.1,,1593.2,,1589.0,,1583.4,1579.2
24.960279261046807,,,1614.3,,1603.4,,1596.5,,1589.0,1583.5
28.07661183321469,,,1627.5,,1614.8,,1605.0,,1595.2,1588.2
29.083610476877386,,,1632.5,,1618.4,,1607.7,,1597.2,1589.7
31.16246696879934,1677.6,1675.6,1672.7,1669.2,1664.9,1659.8,1654.2,1647.1,,
31.868967016102395,,,1642.7,,1628.3,,1615.0,,1602.5,1593.6
42.70643304033136,,,1676.8,,1660.9,,1637.9,,1617.9,1604.3
50.779444578959534,1721.6,1712.1,1702.0,1692.7,1681.5,1669.9,1658.6,1645.0,,
50.98486814037761,,,1701.7,,,,,,,
58.48421680100967,,,1687.6,,1672.3,,1637.6,,1609.2,1590.8
60.72980439861093,,,1688.3,,,,,,,
63.75455242612753,1703.4,1700.6,1688.7,1674.1,1659.2,1642.9,1628.2,1610.0,,
69.45087183215458,,,1660.5,,1640.0,,1599.9,,1568.3,1549.0
70.78317798986423,,,1658.2,,,,,,,
73.36389027454828,1688.8,1684.2,1667.2,1649.2,1630.9,1612.3,1594.5,1574.0,,
76.8670208706021,,,1626.9,,1602.2,,1559.6,,1526.7,1507.9
77.56502705443867,,,1622.2,,1598.4,,1555.5,,1522.6,1503.8
80.31910081705236,1660.0,1657.0,1638.9,1619.7,1599.6,1580.6,1562.1,1541.0,,
80.67707343604111,,,1602.9,,1581.4,,1537.6,,1504.2,1485.6
80.73313384290508,,,1616.6,,,,,,,
83.8059145704119,,,1581.6,,1565.2,,1520.3,,1486.4,1468.0
85.16430073007284,1643.6,1640.0,1620.5,1600.1,1580.1,1558.8,1538.5,1517.2,,
85.34466922101991,,,1592.8,,,,,,,
88.71985781472452,,,1551.3,,1541.8,,1495.1,,1460.2,1441.9
90.03783944629777,,,1568.8,,,,,,,
90.78435167437102,1602.8,1600.5,1581.0,1560.5,1540.6,1521.0,1500.9,1478.5,,
92.03106657760503,,,1557.4,,,,,,,
92.6928736706307,,,1531.6,,1524.5,,1476.1,,1440.5,1422.2
94.42194144442368,,,1543.1,,,,,,,
94.63816127262473,1586.3,1581.9,1562.2,1542.7,1521.3,1501.2,1482.0,1461.5,,
96.03789679533288,,,1523.0,,1513.1,,1463.2,,1426.6,1408.2
97.47293325771943,,,1518.3,,1509.5,,1458.8,,1421.8,1403.2
97.49507019425616,,,1524.9,,,,,,,
97.624536931102,1573.2,1564.0,1544.2,1525.4,1506.1,1487.0,1468.9,1449.1,,
98.92211341825593,,,1511.4,,1502.9,,1451.7,,1414.3,1395.8
100.0,1540.1,1526.5,1507.2666666666664,1499.3,1487.2,1471.2,1447.55,1442.3,1401.0,1382.8
