Mass_Percent,Viscosity_25C,Viscosity_35C,Viscosity_45C,Viscosity_55C,Viscosity_65C
2.1602,0.992,0.769,0.645,0.521,0.457
3.1736,1.041,0.794,0.668,0.531,0.466
4.0127,1.083,0.815,0.688,0.539,0.474
8.0479,1.294,0.919,0.784,0.582,0.515
11.6946,1.501,1.023,0.876,0.627,0.556
14.9657,1.701,1.124,0.96,0.672,0.597
16.5672,1.806,1.177,1.003,0.695,0.618
18.0623,1.907,1.227,1.043,0.72,0.639
22.2058,2.208,1.379,1.16,0.793,0.702
24.9603,2.425,1.491,1.242,0.848,0.749
28.0766,2.692,1.626,1.338,0.917,0.806
29.0836,2.782,1.673,1.37,0.942,0.825
31.869,3.049,1.81,1.462,1.012,0.882
42.7064,4.325,2.473,1.864,1.36,1.156
58.4842,7.287,4.049,2.675,2.147,1.75
69.4509,10.839,5.979,3.576,3.002,2.378
76.867,14.565,8.034,4.528,3.811,2.961
77.565,14.997,8.274,4.639,3.901,3.027
80.6771,17.139,9.465,5.202,4.335,3.337
83.8059,19.708,10.9,5.893,4.844,3.698
88.7199,24.829,13.774,7.318,5.842,4.398
92.6929,30.202,16.803,8.875,6.905,5.133
96.0379,35.744,19.93,10.517,8.046,5.915
97.4729,38.41,21.431,11.313,8.612,6.302
98.9221,41.249,23.027,12.15,9.223,6.72
