SeqNo,Date,UTC Time,Nr,ProbeNr,m_SL120,m_Wasser,m_IPA,m_PG,m_MG,m_vorher,m_nachher,Pumpe_pct,Rho_M,Rho_S,Rho_Sp,C_M,C_S,C_Sp,T_M,T_S,Per_M,Per_S,RunT_M,RunT_S,N,Stabil,SensOK,Gueltig,Source_File,Source_Path,Source_Row,Measurement_Time_UTC,Experiment_Key,Phase,Experiment_Elapsed_h,Phase_Elapsed_h,m_Al_nom_g,m_IPA_nom_g,m_PG_nom_g,m_Water_nom_g,m_MG_nom_g,m_Total_nom_g,Selected_For_Calibration,Selection_Method,IPA_Evaporation_Rate_g_h,IPA_Loss_g,m_IPA_eff_g,m_Total_eff_g,Al_wt_pct_eff,IPA_wt_pct_eff,PG_wt_pct_eff,MG_wt_pct_eff,Water_wt_pct_eff,Composition_Sum_wt_pct,Rho_Physics_kg_m3,C_Physics_m_s,Simulation_Status,A_Rho_kg_m3,A_C_m_s,A_Rho_Field_kg_m3,A_C_Field_m_s,Calibration_Distance,Calibration_Extrapolation,Calibration_Outside_Axes,Calibration_MG_Axis_Used,Rho_Hybrid_kg_m3,C_Hybrid_m_s
167,2026-08-27,08:21:42.504,1,4,90.51,909.45,0.0,0.0,0.0,0.0,0.0,100.0,1005.412,0.006453838,0.02374268,1541.195,0.04207953,0.1810303,22.69697,0.00235366,1497.822,0.001939161,6.895585,0.000113237,100,0,1,0,Kennfeld_v2 (13).csv,C:\Users\nikla\OneDrive\Documents\01_Uni\01_Master\00_Masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (13).csv,168,2026-08-27 08:21:42.504000+00:00,Kennfeld_v2 (13).csv|Probe=4,1,0.0,0.0,18.102,36.204,36.204,909.45,0.0,999.96,True,evaluation,1.6137895702642109,0.0,36.204,999.96,1.8102724108964359,3.6205448217928717,3.6205448217928717,0.0,90.94863794551782,100.0,1006.2200825420701,1538.8115772693739,ok,-0.8080825420701103,2.38342273062608,-1.2653177944104548,2.518110371432585,0.038028688081504454,True,PG,False,1004.9547647476597,1541.3296876408065
168,2026-08-27,08:23:42.506,2,4,90.51,909.45,0.0,0.0,0.0,0.0,0.0,100.0,1005.43,0.002727923,0.01074219,1541.082,0.02549733,0.1032715,22.70407,0.001796501,1497.828,0.0009767929,6.895888,6.863462e-05,100,0,1,0,Kennfeld_v2 (13).csv,C:\Users\nikla\OneDrive\Documents\01_Uni\01_Master\00_Masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (13).csv,169,2026-08-27 08:23:42.506000+00:00,Kennfeld_v2 (13).csv|Probe=4,1,0.033333888888888885,0.033333888888888885,18.102,36.204,36.204,909.45,0.0,999.96,True,evaluation,1.6137895702642109,0.05379388222523495,36.150206117774765,999.9062061177748,1.8103698016119565,3.6153597104003556,3.620739603223913,0.0,90.95353088476378,100.0,1006.2271846325394,1538.7798707076615,ok,-0.7971846325394836,2.302129292338577,-1.2644963186455822,2.517710008307329,0.03444762745560781,True,PG,False,1004.9626883138939,1541.297580715969
169,2026-08-27,08:25:42.507,3,4,90.51,909.45,0.0,0.0,0.0,0.0,0.0,100.0,1005.44,0.002691666,0.009521484,1541.023,0.02032704,0.09973145,22.71082,0.002235276,1497.832,0.001175432,6.896049,5.469877e-05,100,1,1,1,Kennfeld_v2 (13).csv,C:\Users\nikla\OneDrive\Documents\01_Uni\01_Master\00_Masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (13).csv,170,2026-08-27 08:25:42.507000+00:00,Kennfeld_v2 (13).csv|Probe=4,1,0.06666749999999999,0.06666749999999999,18.102,36.204,36.204,909.45,0.0,999.96,True,evaluation,1.6137895702642109,0.10758731617558927,36.09641268382441,999.8524126838245,1.8104672019953663,3.6101740842864674,3.6209344039907325,0.0,90.95842430972743,100.0,1006.2343997504022,1538.7475263523638,ok,-0.7943997504021354,2.2754736476360904,-1.2637496667411559,2.517346835086474,0.030866222057953842,True,PG,False,1004.970650083661,1541.2648731874503
170,2026-08-27,08:27:42.510,4,4,90.51,909.45,0.0,0.0,0.0,0.0,0.0,100.0,1005.448,0.002297311,0.008850098,1540.978,0.02302956,0.1134033,22.7204,0.001824217,1497.835,0.000789593,6.896172,6.200865e-05,100,1,1,1,Kennfeld_v2 (13).csv,C:\Users\nikla\OneDrive\Documents\01_Uni\01_Master\00_Masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (13).csv,171,2026-08-27 08:27:42.510000+00:00,Kennfeld_v2 (13).csv|Probe=4,1,0.10000166666666666,0.10000166666666666,18.102,36.204,36.204,909.45,0.0,999.96,True,evaluation,1.6137895702642109,0.16138164667570484,36.04261835332429,999.7986183533243,1.8105646144834775,3.604987813714601,3.621129228966955,0.0,90.96331834283497,100.0,1006.2407327924608,1538.720381695599,ok,-0.7927327924608107,2.2576183044011486,-1.2630794542311858,2.51702113833658,0.027284386511943284,True,PG,False,1004.9776533382296,1541.2374028339354
171,2026-08-27,08:29:42.512,5,4,90.51,909.45,0.0,0.0,0.0,0.0,0.0,100.0,1005.456,0.002075649,0.007507324,1540.919,0.01618988,0.07250977,22.72723,0.001707074,1497.839,0.0008585331,6.89633,4.366728e-05,100,1,1,1,Kennfeld_v2 (13).csv,C:\Users\nikla\OneDrive\Documents\01_Uni\01_Master\00_Masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (13).csv,172,2026-08-27 08:29:42.512000+00:00,Kennfeld_v2 (13).csv|Probe=4,1,0.13333555555555554,0.13333555555555554,18.102,36.204,36.204,909.45,0.0,999.96,True,evaluation,1.6137895702642109,0.2151755289009398,35.98882447109906,999.7448244710992,1.8106620366428612,3.5998010282412247,3.6213240732857224,0.0,90.96821286183018,99.99999999999999,1006.2479301045562,1538.6881926473127,ok,-0.7919301045561724,2.230807352687407,-1.2624872532846634,2.51673328658668,0.023702217074001004,True,PG,False,1004.9854428512715,1541.2049259338994
172,2026-08-27,08:31:42.513,6,4,90.51,909.45,0.0,0.0,0.0,0.0,0.0,100.0,1005.463,0.00198125,0.008239746,1540.872,0.01796841,0.08105469,22.73334,0.001372374,1497.842,0.0006508324,6.896458,4.84009e-05,100,1,1,1,Kennfeld_v2 (13).csv,C:\Users\nikla\OneDrive\Documents\01_Uni\01_Master\00_Masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (13).csv,173,2026-08-27 08:31:42.513000+00:00,Kennfeld_v2 (13).csv|Probe=4,1,0.16666916666666667,0.16666916666666667,18.102,36.204,36.204,909.45,0.0,999.96,True,evaluation,1.6137895702642109,0.2689689628512942,35.935031037148704,999.6910310371487,1.810759468474948,3.594613727790197,3.621518936949896,0.0,90.97310786678496,100.0,1006.2553561533167,1538.6546867341076,ok,-0.7923561533167458,2.2173132658924715,-1.261974534766834,2.5164837134128932,0.020119725300838654,True,PG,False,1004.9933816185498,1541.1711704475206
173,2026-08-27,08:33:42.516,7,4,90.51,909.45,0.0,0.0,0.0,0.0,0.0,100.0,1005.47,0.001763186,0.006591797,1540.819,0.01639983,0.07788086,22.73572,0.0007430151,1497.844,0.0006217844,6.896601,4.400299e-05,100,1,1,1,Kennfeld_v2 (13).csv,C:\Users\nikla\OneDrive\Documents\01_Uni\01_Master\00_Masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (13).csv,174,2026-08-27 08:33:42.516000+00:00,Kennfeld_v2 (13).csv|Probe=4,1,0.2000033333333333,0.2000033333333333,18.102,36.204,36.204,909.45,0.0,999.96,True,evaluation,1.6137895702642109,0.3227632933514097,35.88123670664859,999.6372367066487,1.8108569124173366,3.5894257825829894,3.621713824834673,0.0,90.978003480165,100.0,1006.2639527965645,1538.6143368933451,ok,-0.7939527965644402,2.2046631066548343,-1.261542675368551,2.5162729335441023,0.016536843239111414,True,PG,False,1005.0024101211959,1541.1306098268892
174,2026-08-27,08:35:42.518,8,4,90.51,909.45,0.0,0.0,0.0,0.0,0.0,100.0,1005.476,0.001288379,0.006164551,1540.781,0.01447927,0.07019043,22.73976,0.001534271,1497.846,0.0006425465,6.896703,3.907911e-05,100,1,1,1,Kennfeld_v2 (13).csv,C:\Users\nikla\OneDrive\Documents\01_Uni\01_Master\00_Masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (13).csv,175,2026-08-27 08:35:42.518000+00:00,Kennfeld_v2 (13).csv|Probe=4,1,0.23333722222222222,0.23333722222222222,18.102,36.204,36.204,909.45,0.0,999.96,True,evaluation,1.6137895702642109,0.3765571755766447,35.82744282442336,999.5834428244234,1.810954366035814,3.584237322217875,3.621908732071628,0.0,90.98289957967468,100.0,1006.2720332397705,1538.577039275912,ok,-0.7960332397705088,2.2039607240878922,-1.2611929883827615,2.516101572254817,0.012953706055004179,False,,False,1005.0108402513878,1541.093140848167
175,2026-08-27,08:37:42.520,9,4,90.51,909.45,0.0,0.0,0.0,0.0,0.0,100.0,1005.481,0.001475198,0.005310059,1540.745,0.01445697,0.0682373,22.74515,0.001621311,1497.848,0.0006974785,6.896802,3.904071e-05,100,1,1,1,Kennfeld_v2 (13).csv,C:\Users\nikla\OneDrive\Documents\01_Uni\01_Master\00_Masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (13).csv,176,2026-08-27 08:37:42.520000+00:00,Kennfeld_v2 (13).csv|Probe=4,1,0.2666711111111111,0.2666711111111111,18.102,36.204,36.204,909.45,0.0,999.96,True,evaluation,1.6137895702642109,0.4303510578018796,35.77364894219812,999.5296489421982,1.8110518301440424,3.5790483033752287,3.6221036602880847,0.0,90.98779620619264,100.0,1006.279694728373,1538.5422249008368,ok,-0.7986947283729933,2.202775099163091,-1.2609266815361244,2.5159703612819784,0.00937039935605062,False,,False,1005.0187680468368,1541.0581952621187
176,2026-08-27,08:39:42.522,10,4,90.51,909.45,0.0,0.0,0.0,0.0,0.0,100.0,1005.485,0.001089701,0.004882812,1540.721,0.01457188,0.0670166,22.7523,0.002388577,1497.851,0.0007512548,6.896869,3.936912e-05,100,1,1,1,Kennfeld_v2 (13).csv,C:\Users\nikla\OneDrive\Documents\01_Uni\01_Master\00_Masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (13).csv,177,2026-08-27 08:39:42.522000+00:00,Kennfeld_v2 (13).csv|Probe=4,1,0.300005,0.300005,18.102,36.204,36.204,909.45,0.0,999.96,True,evaluation,1.6137895702642109,0.4841449400271146,35.719855059972886,999.4758550599729,1.811149304743715,3.573858725964875,3.62229860948743,0.0,90.99269335980398,100.0,1006.2868092067558,1538.5106465624913,ok,-0.80180920675582,2.2103534375087293,-1.260744873632423,2.5158801659191825,0.005787324781416893,False,,False,1005.0260643331234,1541.0265267284105
