SeqNo,Date,UTC Time,Nr,ProbeNr,m_SL120,m_Wasser,m_IPA,m_PG,m_MG,m_vorher,m_nachher,Pumpe_pct,Rho_M,Rho_S,Rho_Sp,C_M,C_S,C_Sp,T_M,T_S,Per_M,Per_S,RunT_M,RunT_S,N,Stabil,SensOK,Gueltig,Source_File,Source_Path,Source_Row,Measurement_Time_UTC,Experiment_Key,Phase,Experiment_Elapsed_h,Phase_Elapsed_h,m_Al_nom_g,m_IPA_nom_g,m_PG_nom_g,m_Water_nom_g,m_MG_nom_g,m_Total_nom_g,Selected_For_Calibration,Selection_Method,IPA_Evaporation_Rate_g_h,IPA_Loss_g,m_IPA_eff_g,m_Total_eff_g,Al_wt_pct_eff,IPA_wt_pct_eff,PG_wt_pct_eff,MG_wt_pct_eff,Water_wt_pct_eff,Composition_Sum_wt_pct,Rho_Physics_kg_m3,C_Physics_m_s,Simulation_Status,A_Rho_kg_m3,A_C_m_s,A_Rho_Field_kg_m3,A_C_Field_m_s,Calibration_Distance,Calibration_Extrapolation,Calibration_Outside_Axes,Calibration_MG_Axis_Used,Rho_Hybrid_kg_m3,C_Hybrid_m_s
287,2026-08-28,10:11:02.995,8,5,90.53,909.5,0.0,0.0,0.0,0.0,0.0,100.0,1004.247,0.003263978,0.01312256,1545.125,0.01317991,0.06323242,24.95557,0.003110597,1498.007,0.001360134,6.885703,3.508912e-05,100,0,1,0,Kennfeld_v2 (13).csv,C:\Users\nikla\OneDrive\Documents\01_Uni\01_Master\00_Masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (13).csv,288,2026-08-28 10:11:02.995000+00:00,Kennfeld_v2 (13).csv|Probe=5,1,0.0,0.0,18.106,36.212,36.212,909.5,0.0,1000.03,True,evaluation,1.75,0.0,36.212,1000.03,1.8105456836294913,3.6210913672589826,3.6210913672589826,0.0,90.94727158185255,100.0,1005.5142643089725,1542.7560664661075,ok,-1.2672643089725852,2.3689335338924593,-1.2654059433377214,2.518152001748173,0.0383774046437719,True,PG,False,1004.2488583656349,1545.2742184678557
288,2026-08-28,10:13:02.997,9,5,90.53,909.5,0.0,0.0,0.0,0.0,0.0,100.0,1004.254,0.001395056,0.005981445,1545.125,0.01136028,0.05310059,24.96773,0.003027856,1498.012,0.0008076932,6.885708,3.031487e-05,100,1,1,1,Kennfeld_v2 (13).csv,C:\Users\nikla\OneDrive\Documents\01_Uni\01_Master\00_Masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (13).csv,289,2026-08-28 10:13:02.997000+00:00,Kennfeld_v2 (13).csv|Probe=5,1,0.033333888888888885,0.033333888888888885,18.106,36.212,36.212,909.5,0.0,1000.03,True,evaluation,1.75,0.05833430555555555,36.15366569444445,999.9716656944444,1.8106513035472895,3.6154690112481367,3.621302607094579,0.0,90.95257707811,100.0,1005.5206703175202,1542.7286949492595,ok,-1.266670317520152,2.396305050740466,-1.2645099980641317,2.517715535028055,0.03449452007461038,True,PG,False,1004.2561603194561,1545.2464104842875
289,2026-08-28,10:15:02.999,10,5,90.53,909.5,0.0,0.0,0.0,0.0,0.0,100.0,1004.257,0.001117127,0.005187988,1545.133,0.01245403,0.06982422,24.98028,0.003771347,1498.015,0.0009243626,6.885691,3.270728e-05,100,1,1,1,Kennfeld_v2 (13).csv,C:\Users\nikla\OneDrive\Documents\01_Uni\01_Master\00_Masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (13).csv,290,2026-08-28 10:15:02.999000+00:00,Kennfeld_v2 (13).csv|Probe=5,1,0.06666777777777777,0.06666777777777777,18.106,36.212,36.212,909.5,0.0,1000.03,True,evaluation,1.75,0.1166686111111111,36.095331388888894,999.9133313888889,1.8107569357886848,3.6098459992279675,3.6215138715773696,0.0,90.95788319340598,100.0,1005.5269585903728,1542.7019627343498,ok,-1.2699585903728803,2.431037265650275,-1.2637020806048207,2.517322807403764,0.03061123518343904,True,PG,False,1004.263256509768,1545.2192855417536
290,2026-08-28,10:17:03.001,11,5,90.53,909.5,0.0,0.0,0.0,0.0,0.0,100.0,1004.258,0.001036132,0.004882812,1545.173,0.02380729,0.09643555,24.99618,0.004499258,1498.019,0.001078029,6.885589,6.23744e-05,100,1,1,1,Kennfeld_v2 (13).csv,C:\Users\nikla\OneDrive\Documents\01_Uni\01_Master\00_Masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (13).csv,291,2026-08-28 10:17:03.001000+00:00,Kennfeld_v2 (13).csv|Probe=5,1,0.10000166666666666,0.10000166666666666,18.106,36.212,36.212,909.5,0.0,1000.03,True,evaluation,1.75,0.17500291666666665,36.03699708333334,999.8549970833333,1.8108625803558345,3.6042223310836565,3.621725160711669,0.0,90.96318992784884,100.0,1005.5322026984987,1542.680740713698,ok,-1.2742026984986978,2.4922592863019872,-1.2629842720632805,2.516974197225223,0.026727572897562522,True,PG,False,1004.2692184264355,1545.1977149109232
291,2026-08-28,10:19:03.003,12,5,90.53,909.5,0.0,0.0,0.0,0.0,0.0,100.0,1004.26,0.001331343,0.00769043,1545.201,0.01395706,0.07250977,25.01133,0.003429224,1498.022,0.0007736919,6.885518,3.703267e-05,100,1,1,1,Kennfeld_v2 (13).csv,C:\Users\nikla\OneDrive\Documents\01_Uni\01_Master\00_Masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (13).csv,292,2026-08-28 10:19:03.003000+00:00,Kennfeld_v2 (13).csv|Probe=5,1,0.13333555555555554,0.13333555555555554,18.106,36.212,36.212,909.5,0.0,1000.03,True,evaluation,1.75,0.2333372222222222,35.97866277777778,999.7966627777778,1.8109682372508955,3.5985980067003545,3.621936474501791,0.0,90.96849728154696,100.0,1005.5375433010192,1542.658278466669,ok,-1.27754330101925,2.5427215333311324,-1.262358543846571,2.5166701732283134,0.022843571797272266,False,,False,1004.2751847571727,1545.1749486398971
292,2026-08-28,10:21:03.005,13,5,90.53,909.5,0.0,0.0,0.0,0.0,0.0,100.0,1004.262,0.0007749931,0.004760742,1545.2,0.01173072,0.0501709,25.02415,0.00302171,1498.025,0.0006998827,6.885524,3.141189e-05,100,1,1,1,Kennfeld_v2 (13).csv,C:\Users\nikla\OneDrive\Documents\01_Uni\01_Master\00_Masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (13).csv,293,2026-08-28 10:21:03.005000+00:00,Kennfeld_v2 (13).csv|Probe=5,1,0.16666944444444445,0.16666944444444445,18.106,36.212,36.212,909.5,0.0,1000.03,True,evaluation,1.75,0.2916715277777778,35.920328472222224,999.7383284722222,1.8110739064760262,3.5929730259631905,3.6221478129520523,0.0,90.97380525460873,100.0,1005.5435981489262,1542.6319815680358,ok,-1.281598148926264,2.5680184319642194,-1.2618267534197491,2.5164113095625624,0.018959302154977882,False,,False,1004.2817713955064,1545.1483928775983
293,2026-08-28,10:23:03.007,14,5,90.53,909.5,0.0,0.0,0.0,0.0,0.0,100.0,1004.263,0.0009880165,0.004272461,1545.202,0.01263011,0.06188965,25.03624,0.003199688,1498.028,0.0007485321,6.885522,3.362369e-05,100,1,1,1,Kennfeld_v2 (13).csv,C:\Users\nikla\OneDrive\Documents\01_Uni\01_Master\00_Masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (13).csv,294,2026-08-28 10:23:03.007000+00:00,Kennfeld_v2 (13).csv|Probe=5,1,0.2000033333333333,0.2000033333333333,18.106,36.212,36.212,909.5,0.0,1000.03,True,evaluation,1.75,0.3500058333333333,35.86199416666667,999.6799941666667,1.811179588033385,3.5873473887572622,3.62235917606677,0.0,90.97911384714259,100.0,1005.5498943423131,1542.6044837121306,ok,-1.2868943423130759,2.597516287869439,-1.2613906402119623,2.5161983032726667,0.015074906775575925,False,,False,1004.2885037021011,1545.1206820154032
294,2026-08-28,10:25:03.009,15,5,90.53,909.5,0.0,0.0,0.0,0.0,0.0,100.0,1004.262,0.001029109,0.005432129,1545.206,0.01141117,0.05786133,25.05002,0.003411956,1498.031,0.000675977,6.885513,3.03345e-05,100,1,1,1,Kennfeld_v2 (13).csv,C:\Users\nikla\OneDrive\Documents\01_Uni\01_Master\00_Masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (13).csv,295,2026-08-28 10:25:03.009000+00:00,Kennfeld_v2 (13).csv|Probe=5,1,0.23333722222222222,0.23333722222222222,18.106,36.212,36.212,909.5,0.0,1000.03,True,evaluation,1.75,0.40834013888888887,35.803659861111115,999.6216598611111,1.811285281925131,3.581721094967643,3.622570563850262,0.0,90.98442305925697,100.0,1005.5556440928568,1542.5797642934501,ok,-1.29364409285688,2.626235706549778,-1.2610518215066935,2.516031994696917,0.011190726896866938,False,,False,1004.2945922713501,1545.095796288147
295,2026-08-28,10:27:03.011,16,5,90.53,909.5,0.0,0.0,0.0,0.0,0.0,100.0,1004.263,0.0009137811,0.004638672,1545.215,0.01215453,0.05969238,25.0636,0.003342895,1498.034,0.000656882,6.885495,3.243927e-05,100,1,1,1,Kennfeld_v2 (13).csv,C:\Users\nikla\OneDrive\Documents\01_Uni\01_Master\00_Masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (13).csv,296,2026-08-28 10:27:03.011000+00:00,Kennfeld_v2 (13).csv|Probe=5,1,0.2666711111111111,0.2666711111111111,18.106,36.212,36.212,909.5,0.0,1000.03,True,evaluation,1.75,0.4666744444444444,35.74532555555556,999.5633255555555,1.8113909881534238,3.5760941444793777,3.6227819763068476,0.0,90.98973289106036,100.0,1005.5614626783936,1542.5547147449715,ok,-1.2984626783935482,2.660285255028384,-1.2608117880916667,2.5159133913438816,0.007307829515385193,False,,False,1004.3006508903019,1545.0706281363155
296,2026-08-28,10:29:03.013,17,5,90.53,909.5,0.0,0.0,0.0,0.0,0.0,100.0,1004.265,0.0009237159,0.005004883,1545.203,0.01077309,0.05224609,25.0743,0.002720046,1498.036,0.0006616548,6.885529,2.874068e-05,100,1,1,1,Kennfeld_v2 (13).csv,C:\Users\nikla\OneDrive\Documents\01_Uni\01_Master\00_Masterarbeit\sim_par_ink_prop\laboratory_measurement_L-Com\measurement_data\Kennfeld_v2 (13).csv,297,2026-08-28 10:29:03.013000+00:00,Kennfeld_v2 (13).csv|Probe=5,1,0.300005,0.300005,18.106,36.212,36.212,909.5,0.0,1000.03,True,evaluation,1.75,0.52500875,35.686991250000005,999.50499125,1.8114967067204228,3.5704665371774857,3.6229934134408457,0.0,90.99504334266125,100.0,1005.568222376338,1542.524931260174,ok,-1.3032223763379989,2.6780687398259033,-1.2606718993752886,2.5158436959302515,0.003432113152271903,False,,False,1004.3075504769627,1545.0407749561043
